adi14_previous,uosc_current,class
29.49350703497163,21.73981761800549,1
27.33001566438905,25.79184034575511,1
28.138500306321497,27.410741074107047,0
28.88923604525876,25.458241947805533,1
29.839196304385656,22.059716360914866,1
30.127138022428827,22.53823196687541,0
30.39451247489746,17.008123195731017,0
30.64278875218976,18.001621612297242,0
29.65413273155519,21.294207393056475,0
28.7360949981088,18.823053158624145,1
26.808864225706376,18.40018779047218,1
23.357547893495926,24.898530091291583,1
24.263916931273553,20.041599065123695,0
23.099130809294962,22.632547091945906,1
20.347613516425785,15.68505663134856,1
17.624687130911788,17.598505696236007,1
16.909175483037668,25.244667205092536,1
16.711535284196447,25.249840853002485,1
17.33874074742248,24.48608887900327,0
18.274806785425405,20.68233353947642,1
18.52174525658243,23.03139518331161,0
18.167628804815713,25.313688402191204,1
17.838806385318048,27.7983641514426,0
14.047811285716715,32.136985555576594,0
12.590495292347144,31.831787260358386,1
11.723718980900244,33.67464714709917,0
11.781263603796566,30.50520907663741,1
11.993563461893716,27.385426892815772,1
10.348523684005812,38.083953960731904,0
9.84139887985757,45.29616724738735,1
9.479940862592802,38.155061019383176,1
9.669916171077272,41.79587880618865,1
9.846321814670004,42.747729538901595,0
36.52739609974017,11.016211916399515,1
36.066683634769795,10.700751923449292,0
35.901222962108825,11.397583103340258,0
30.784253475909622,25.58364296705452,0
30.407514357618858,26.44745501293643,1
28.696111592936987,20.504068649828078,1
27.828190657430497,20.10329201522816,1
27.777909474020287,16.042671807504803,0
20.94931758949373,18.091746962714303,0
21.726828807740823,13.347815385319764,0
20.850100747130746,25.024668661996568,0
21.022582531595226,22.66507885341846,0
18.96465301825261,19.125336279995143,1
17.64296552108821,18.533360537814385,1
18.029949940459744,23.974840469084764,0
17.774539048536305,26.17734288287027,1
19.521597386233346,21.78115975099018,1
17.83628053099605,21.20493225785105,0
16.85596897350981,22.597534560382535,1
16.43903175848917,17.862198395321165,0
27.351905880629463,42.98227227399214,0
24.396514368889193,40.04091994637346,1
23.5180218814308,38.65157398992244,0
20.313481744341985,29.467876039305487,0
18.921429054368943,25.602943840185226,0
18.333946911158463,31.432506261682025,0
17.202181312156974,33.68136187095412,1
16.527741506593383,33.28713458506989,0
16.255569177702306,30.263857267044934,1
15.199733703992365,35.26533304614739,0
14.799968119111641,35.51621465746649,1
14.428757218865249,35.2383180954608,0
14.084061382922178,30.00099267330749,0
14.132824171475516,33.81157340985156,1
13.345742014891947,41.478646253021104,0
12.614880012350055,35.67655987503232,1
11.936222438561153,42.090403875300176,0
12.060965966298456,44.50969795231997,0
10.508742724530194,24.090984102535906,0
10.551203324066408,23.367220712535282,0
11.592449135621335,22.030616651112343,0
12.559320246350902,20.930118181710338,0
12.074671102857986,23.598901098901,1
11.62463975532885,20.58849779661936,0
10.818716270723105,19.07207006191723,1
10.894874503855435,23.222917307625213,1
10.965592863192592,30.54741988643785,0
11.471529205555143,35.26624442880442,0
11.941327237748899,35.5825206580791,1
12.816823244868123,38.38355303274524,0
13.62978382290741,40.77758625813279,0
15.187370909879633,37.97508151814147,0
17.210901329108648,39.402789901124265,1
14.66350116158429,23.64773866535798,1
13.647362654291612,26.14139814600563,0
18.43783559312172,40.707841220730856,1
19.612686809556244,38.199920714206435,0
21.5913002090508,34.934560388860234,0
23.42858408001002,31.093998491570744,1
28.103873545614746,22.414338104076982,1
29.967589134721035,21.35090829231859,0
31.34619330779241,19.118047448054604,0
32.62632575421583,19.248889408464443,0
20.223506211936744,19.21139380253013,0
14.575185601099449,46.43433231459743,1
14.166002276412636,56.2979917565609,1
13.78604633206057,56.73128261177804,1
12.916829735310811,56.45098948670705,0
13.554546592099786,43.778893660313855,1
15.423272252521436,27.796629444037556,1
22.18564036177448,21.582156528700303,0
24.034625244078985,24.40108987600564,0
24.433777777973873,21.897842594564352,0
24.804419416590573,23.470062016355136,0
24.335039209540483,22.459849038908096,1
23.89918616013681,17.539360562863887,1
22.6391366890462,21.363808605188233,1
22.225102817930544,21.907519585081612,1
21.3864821100137,22.359463608892398,0
21.278555190048625,21.19047920468336,0
21.17833733579531,22.151191698592022,1
20.594244309146553,28.53547406734099,0
19.582386587333122,26.705413759481825,0
26.633500708305892,32.89703926646609,1
24.21716023652717,36.99339763163145,0
22.662838967734423,30.552163548508094,0
21.31852480705852,27.50345713227412,0
20.07023308643088,25.68820737495389,1
18.85586140719128,25.71765347360269,0
17.7821959635366,23.572125142941925,0
29.25380614078433,31.488374427887784,0
26.561938597080665,28.90510468289171,0
26.561938597080665,28.90510468289171,1
22.64447630571141,20.766228061634067,0
22.225217024745675,21.60682454800091,0
21.40025334139247,20.9438278518816,1
20.250489922857888,22.39925482890425,1
19.182852462790052,30.2793265847447,0
18.491834369966604,27.290729283839113,1
18.068313226042694,31.71212972033501,1
17.981200619141127,33.113674577969014,1
24.98727059245132,25.780138262747503,1
25.77062932335507,23.77513642819716,0
26.14294611517559,21.334289747762075,1
26.186910541257912,18.502682733675357,1
25.845676933774147,17.408876232405245,0
26.037022757697486,19.015269484327774,1
