stochk_14_current,uosc_previous,class
55.55555555555623,21.379885046451914,1
75.04713423831045,28.3890230229244,1
80.02450980392116,25.79184034575511,0
82.10784313725487,27.410741074107047,1
85.60924369747927,25.458241947805533,1
86.30952380952391,22.059716360914866,0
88.09523809523813,22.53823196687541,0
87.91208791208794,17.008123195731017,0
89.92673992674055,18.001621612297242,0
84.61538461538484,21.294207393056475,1
74.35897435897455,18.823053158624145,1
58.13908313908306,19.400939442852376,1
68.18181818181891,22.734051092864657,0
47.222222222223365,19.806918388699184,1
37.50000000000088,23.976680400614004,1
37.50000000000088,16.410981582396726,1
33.333333333334515,17.598505696236007,1
45.83333333333361,25.244667205092536,1
62.500000000000284,25.249840853002485,0
75.00000000000058,24.48608887900327,1
75.00000000000058,20.68233353947642,0
70.83333333333421,23.03139518331161,1
70.83333333333421,25.313688402191204,0
16.6666666666659,26.07199817726034,0
31.48148148148163,23.841362363563217,1
29.62962962962989,31.831787260358386,0
49.735449735449656,33.67464714709917,1
85.71428571428288,25.12902520365177,1
33.333333333334735,34.5283789301762,0
34.92063492063627,38.083953960731904,1
42.06349206349282,45.29616724738735,1
44.44444444444502,38.155061019383176,1
61.111111111110056,41.79587880618865,0
47.91666666666654,16.78437534159132,1
44.27083333333314,11.016211916399515,0
43.74999999999983,10.700751923449292,0
32.555018786902735,25.46232298297667,0
45.005611672278064,25.58364296705452,1
59.44055944055873,25.773341714390234,1
62.820512820511986,20.504068649828078,1
81.1463046757168,18.12724943793112,0
26.666666666666387,26.85638496189079,0
8.88888888888836,10.411822660098213,0
54.761904761904546,27.989222883602626,0
70.89947089947083,25.024668661996568,0
61.904761904761756,18.11371851699863,1
73.01587301587256,17.01057028925865,1
79.36507936507894,18.533360537814385,0
85.71428571428531,23.974840469084764,1
82.664995822891,30.05736330544499,1
58.333333333333705,24.4884357996983,0
49.99999999999997,21.20493225785105,1
42.42424242424193,22.597534560382535,0
66.66666666666761,33.06260287190153,0
62.247474747475366,54.05018125867856,1
51.13636363636466,40.04091994637346,0
45.83333333333361,31.2064848112204,0
45.83333333333361,29.467876039305487,0
54.166666666666366,28.43357734007535,0
50.0,31.432506261682025,1
54.166666666666366,33.68136187095412,0
46.6666666666659,34.19879062736174,1
56.66666666666533,37.75182677789487,0
66.66666666666477,35.26533304614739,1
79.99999999999828,35.51621465746649,0
83.33333333333142,35.2383180954608,0
86.66666666666458,30.00099267330749,1
83.33333333333144,33.81157340985156,0
86.66666666666553,41.478646253021104,1
79.74358974358908,35.67655987503232,0
84.61538461538456,42.090403875300176,0
36.3636363636362,19.91795366795364,0
54.54545454545517,24.090984102535906,0
66.66666666666752,23.367220712535282,0
75.757575757577,22.030616651112343,0
63.63636363636465,20.930118181710338,1
54.54545454545517,23.598901098901,0
51.51515151515144,22.619047619047183,1
48.48484848484856,19.07207006191723,1
48.48484848484856,23.222917307625213,0
56.666666666667226,30.54741988643785,0
61.515151515151814,35.26624442880442,1
57.61904761904742,35.5825206580791,0
43.80952380952266,38.38355303274524,0
38.095238095236546,40.77758625813279,0
36.507936507934886,34.37470350558354,1
66.66666666666802,24.869169266583878,1
76.19047619047716,23.64773866535798,0
42.31884057970973,45.57283897040844,1
51.7632850241545,40.707841220730856,0
71.20772946859908,38.199920714206435,0
68.88888888888879,34.934560388860234,1
72.22222222222223,30.68327462737411,1
77.7777777777778,22.414338104076982,0
79.99999999999993,21.35090829231859,0
75.55555555555544,19.118047448054604,0
71.75925925925921,17.842639591114217,0
68.68945868945805,34.670474419431535,1
66.83760683760579,46.43433231459743,1
54.456654456653865,56.2979917565609,1
54.68975468975446,56.73128261177804,0
62.77056277056304,56.45098948670705,1
69.1142191142188,34.2869896061393,1
77.1929824561402,22.53983931420083,0
78.94736842105239,21.582156528700303,0
75.43859649122804,24.40108987600564,0
68.73065015479894,21.897842594564352,0
62.919246646027176,23.470062016355136,1
50.26260504201707,22.459849038908096,1
34.98168498168489,19.436342599255358,1
35.89743589743573,21.363808605188233,1
32.30769230769172,21.907519585081612,0
32.82051282051253,22.359463608892398,0
36.66666666666652,21.19047920468336,1
38.33333333333298,22.151191698592022,0
29.166666666665826,28.53547406734099,0
20.00000000000044,26.59404670959333,1
47.22222222222239,36.42787091953472,0
62.777777777778084,36.99339763163145,0
76.1111111111116,30.552163548508094,0
83.33333333333431,27.50345713227412,1
83.93939393939486,25.68820737495389,0
87.272727272728,25.71765347360269,0
62.35294117647146,34.00538772919588,0
69.49494949494998,33.481268901568875,0
69.49494949494998,33.481268901568875,1
80.21978021978012,23.72247823860724,0
85.71428571428595,20.766228061634067,0
85.71428571428595,21.60682454800091,1
76.19047619047636,20.9438278518816,1
71.42857142857117,22.39925482890425,0
76.6233766233772,25.296009491734647,1
80.08658008658112,27.290729283839113,1
81.81818181818281,31.71212972033501,1
64.10256410256358,27.759254094145373,1
56.410256410255954,24.262813752372452,0
48.71794871794831,23.77513642819716,1
43.16239316239307,21.334289747762075,1
37.37373737373759,17.643596875088612,0
38.38383838383855,17.408876232405245,1
