price_previous,ema10_current,class
242.7,242.7479209911617,1
243.6,243.19277496110772,1
243.5,243.33424129512343,0
243.8,243.44716267918275,1
243.8,243.52137108432208,1
243.7,243.62409828516158,0
243.9,243.6871421966221,0
243.8,243.7330759820916,0
243.8,243.74682875538662,0
243.7,243.68094518336272,1
243.4,243.62421664429863,1
243.5,243.6797099783551,1
243.7,243.70511265958461,0
243.4,243.5862533612204,1
243.6,243.5521236878136,1
243.4,243.5200166835776,1
243.5,243.5442695279754,1
243.7,243.5935897757516,1
243.8,243.65212452393232,0
243.9,243.66365295426186,1
243.7,243.69973851948325,0
243.8,243.72643927452896,1
243.8,243.72445593202275,0
243.5,243.5840360620896,0
243.3,243.45028644571119,1
243.5,243.47468329362832,0
243.6,243.4946443510149,1
243.7,243.5875123366237,1
243.4,243.45672908434034,0
243.4,243.48277834173297,1
243.6,243.48026195569247,1
243.5,243.52021432738465,1
243.7,243.5585502281311,0
245.2,245.50810452669404,1
245.1,245.5659307410485,0
245.5,245.55711287366313,0
245.4,245.22668104841838,0
245.6,245.24565936352226,1
245.1,245.2036240059114,1
245.2,245.25344772369567,1
245.8,245.45208632206402,0
246.2,246.32841625520317,0
246.2,246.21236019291774,0
246.4,245.83872175958703,0
246.3,245.86239747939118,0
246.0,245.92871817021057,1
246.5,246.2231095049664,1
246.5,246.29604361787418,0
246.5,246.29393916176159,1
246.8,246.5462437742421,1
246.3,246.49611484768258,0
246.4,246.4338043895158,1
246.2,246.36181748906208,0
243.3,243.37641283585307,0
243.3,243.40324521285584,1
243.3,243.3998313758376,0
243.4,243.4354882885344,0
243.5,243.4948765202517,0
243.6,243.50019558876545,0
243.4,243.512694248719,1
243.6,243.51603380013188,0
243.2,243.36358347007842,1
243.6,243.4473852914805,0
243.6,243.4751334203021,1
243.6,243.52166584960904,0
243.7,243.57509585708831,0
243.8,243.5614420648904,1
243.5,243.6217590248139,0
243.8,243.6262742334359,1
243.6,243.69580914285018,0
243.9,243.6868606936474,0
243.4,243.4252531685399,0
243.8,243.49903655271262,0
243.8,243.54122295794483,0
243.7,243.53372787468217,0
243.5,243.55424874696445,1
243.6,243.57386234987632,0
243.6,243.6058634087236,1
243.6,243.63145054754384,1
243.7,243.67339109580487,0
243.8,243.67540528006856,0
243.7,243.6770532490116,1
243.7,243.6812253855549,0
243.7,243.69028654845218,0
243.7,243.67387081236998,0
243.6,243.6494507091071,1
243.4,243.37911578236424,1
243.5,243.4067423276598,0
244.4,243.45403016580346,1
244.0,243.68373967573535,0
244.5,243.90804745658886,0
244.7,244.03420275169705,1
245.0,244.48232238160404,1
244.8,244.5391886620677,0
244.5,244.58006802217602,0
244.5,244.54732838178035,0
243.4,243.27546065841813,0
243.3,243.39236570386976,1
243.5,243.3965775560289,1
243.4,243.46021666806632,1
243.7,243.59348370013961,0
244.1,243.66615672638144,1
244.1,243.90245075355125,1
244.6,244.3934105803183,0
244.6,244.435380861344,0
244.5,244.41641375591598,0
244.3,244.40654281174577,0
244.3,244.3831085648328,1
244.2,244.31062866381862,1
244.2,244.2660992276292,1
244.2,244.23713839633845,1
244.2,244.24009638387054,0
244.3,244.2635221719869,0
244.4,244.24350129121933,1
244.2,244.23276816722571,0
244.2,244.20298090382286,0
243.5,243.44774812135643,1
243.7,243.58341676266312,0
243.9,243.63409072635716,0
243.8,243.69655685860582,0
243.9,243.750489310581,1
243.9,243.8156214786961,0
244.0,243.850729616245,0
243.2,243.0978024922157,0
243.5,243.2223334674884,0
243.5,243.2223334674884,1
243.9,243.54469389076928,0
243.7,243.59834555003025,0
243.7,243.60711775406742,1
243.6,243.61711881023328,1
243.6,243.6911421403653,0
243.8,243.76636016075832,1
243.9,243.8257829214331,1
244.0,243.90794138184967,1
245.1,244.52553845914827,1
244.6,244.59302423718844,0
244.6,244.55386609474056,1
244.3,244.49799819973958,1
244.7,244.53205045954988,0
244.4,244.50521748676903,1
