sma200_previous,stoch_rsi_14_current,class
243.0835,100.0,1
243.101,95.6193041181328,1
243.1065,100.0,0
243.112,100.0,1
243.1185,91.26723929384715,1
243.1245,100.0,0
243.1325,91.04485588976624,0
243.139,91.04485588976624,0
243.1455,80.65900828262838,0
243.152,47.10473139803856,1
243.157,18.114273800187064,1
243.17,87.27427147493471,1
243.1845,50.63369496578653,0
243.2035,16.25870698135886,1
243.215,0.0,1
243.22550000000004,19.99722085346585,1
243.231,52.247124095496886,1
243.238,65.41630055570515,1
243.2445,77.31529121644724,0
243.249,42.492268864146226,1
243.253,73.85038129375035,0
243.2575,73.85038129375035,1
243.2625,48.20598456844496,0
243.2855,34.68016337260493,0
243.2935,59.07453707633842,1
243.297,81.57748574983876,0
243.301,81.57748574983876,1
243.3175,100.0,1
243.3445,21.344353790494093,0
243.3475,85.16067082974463,1
243.3505,47.872566859533364,1
243.354,100.0,1
243.358,100.0,0
243.5165,51.17347630761281,1
243.5275,60.38213367781202,0
243.5395,53.64109123823603,0
243.5915,56.73892330768643,0
243.5955,28.074346063089763,1
243.5995,27.14521603864653,1
243.6045,55.02432458915143,1
243.6315,49.9573019241618,0
244.579,0.0,0
244.6355,40.685717256242974,0
244.771,96.13692187877035,0
244.78800000000004,83.65620794864253,0
244.8385,88.33454660443716,1
244.89,100.0,1
244.909,100.0,0
244.928,90.65426261383531,1
245.0005,45.71769207521586,1
245.0285,45.14023347990386,0
245.0415,0.0,1
245.0535,0.0,0
245.218,92.20395515751265,0
245.1855,2.7141294901922466,1
245.17050000000003,25.70314745084002,0
245.13500000000005,46.63159785095691,0
245.1265,83.19099685973963,0
245.11,16.708620916030778,0
245.10050000000004,59.765692398602866,1
245.094,37.79479690772285,0
245.0415,28.476996527708703,1
245.024,83.94939056617491,0
245.016,83.94939056617491,1
245.007,100.0,0
244.998,100.0,0
244.98800000000003,48.37268506164109,1
244.978,90.97026693738823,0
244.971,60.409908302721284,1
244.963,96.68050150455852,0
244.958,54.879864698513906,0
244.8935,99.72813516405235,0
244.8865,99.72813516405235,0
244.8795,87.71818431464987,0
244.873,61.85059786979043,0
244.865,74.8558425022343,1
244.859,74.8558425022343,0
244.8475,74.8558425022343,1
244.841,88.80712605132376,1
244.833,100.0,0
244.824,84.38039864214826,0
244.815,64.67527056395471,1
244.807,64.67527056395471,0
244.7985,59.37525096117794,0
244.789,4.7328939332397075,0
244.7695,4.7328939332397075,1
244.5765,100.0,1
244.566,100.0,0
244.455,88.98375557720291,1
244.4475,97.33353953636237,0
244.44100000000003,99.9887940515733,0
244.435,92.37089664886213,1
244.4175,95.14327495117088,1
244.412,87.29779602613846,0
244.406,87.29779602613846,0
244.3975,84.26482981448916,0
244.1475,91.96335811126708,0
244.0465,84.7822423933027,1
244.033,45.24559670624518,1
244.0185,100.0,1
244.00600000000003,100.0,0
243.996,73.35173393948969,1
243.9705,100.0,1
243.949,83.20548203416988,0
243.9405,73.46664913090882,0
243.933,46.5799301717969,0
243.92550000000003,46.57993017179693,0
243.917,12.782206237349241,1
243.9075,0.0,1
243.88550000000004,28.03718340851975,1
243.874,28.03718340851975,1
243.8625,41.98050090227376,0
243.8525,54.74475354537569,0
243.841,19.791215705546048,1
243.82800000000003,24.603018275446768,0
243.815,0.0,0
243.68,89.5093114708942,1
243.6665,100.0,0
243.661,91.67590488561798,0
243.6565,99.07300654103969,0
243.652,99.07300654103969,1
243.6485,100.0,0
243.6455,91.60310406029741,0
243.5275,89.38507814669218,0
243.5315,90.51016299775259,0
243.5315,90.51016299775259,1
243.541,85.75895175068598,0
243.5445,84.34089184237841,0
243.5475,75.26046225985358,1
243.5505,75.26046225985358,1
243.5545,96.12914387171419,0
243.5655,89.02189991712179,1
243.5685,99.60371264094181,1
243.5715,100.0,1
243.5975,42.05776173905254,1
243.609,42.05776173905254,0
243.61550000000003,5.437578273662547,1
243.6205,0.0,1
243.6315,11.125949367706623,0
243.6345,11.12594936770667,1
