stochk_14_current,stoch_rsi_14_previous,class
55.55555555555623,83.93754063278692,1
75.04713423831045,100.0,1
80.02450980392116,95.6193041181328,0
82.10784313725487,100.0,1
85.60924369747927,100.0,1
86.30952380952391,91.26723929384715,0
88.09523809523813,100.0,0
87.91208791208794,91.04485588976624,0
89.92673992674055,91.04485588976627,0
84.61538461538484,80.65900828262838,1
74.35897435897455,47.10473139803854,1
58.13908313908306,21.14328396361089,1
68.18181818181891,37.71240329969313,0
47.222222222223365,0.0,1
37.50000000000088,30.89166434935492,1
37.50000000000088,0.0,1
33.333333333334515,19.99722085346585,1
45.83333333333361,52.247124095496886,1
62.500000000000284,65.41630055570515,0
75.00000000000058,77.31529121644729,1
75.00000000000058,42.492268864146226,0
70.83333333333421,73.85038129375035,1
70.83333333333421,73.85038129375035,0
16.6666666666659,0.0,0
31.48148148148163,24.28660159413655,1
29.62962962962989,59.07453707633842,0
49.735449735449656,81.57748574983876,1
85.71428571428288,100.0,1
33.333333333334735,43.946570765172176,0
34.92063492063627,21.344353790494136,1
42.06349206349282,85.1606708297445,1
44.44444444444502,47.872566859533435,1
61.111111111110056,100.0,0
47.91666666666654,70.48002307213666,1
44.27083333333314,51.17347630761283,0
43.74999999999983,60.38213367781202,0
32.555018786902735,35.33658083910636,0
45.005611672278064,56.738923307686385,1
59.44055944055873,9.551159609367305,1
62.820512820511986,27.14521603864653,1
81.1463046757168,100.0,0
26.666666666666387,0.0,0
8.88888888888836,28.756051257656274,0
54.761904761904546,100.0,0
70.89947089947083,96.13692187877035,0
61.904761904761756,84.15408982058239,1
73.01587301587256,100.0,1
79.36507936507894,100.0,0
85.71428571428531,100.0,1
82.664995822891,100.0,1
58.333333333333705,31.103224557005788,0
49.99999999999997,45.14023347990386,1
42.42424242424193,0.0,0
66.66666666666761,78.71121629459716,0
62.247474747475366,2.7141294901922466,1
51.13636363636466,2.7141294901922466,0
45.83333333333361,24.515437246073876,0
45.83333333333361,46.63159785095691,0
54.166666666666366,62.11121912149045,0
50.0,16.70862091603072,1
54.166666666666366,59.7656923986028,0
46.6666666666659,3.608995139268009,1
56.66666666666533,83.94939056617491,0
66.66666666666477,83.94939056617491,1
79.99999999999828,83.94939056617491,0
83.33333333333142,100.0,0
86.66666666666458,100.0,1
83.33333333333144,48.37268506164109,0
86.66666666666553,90.97026693738823,1
79.74358974358908,60.409908302721284,0
84.61538461538456,96.68050150455852,0
36.3636363636362,54.67971582219765,0
54.54545454545517,99.72813516405235,0
66.66666666666752,99.72813516405235,0
75.757575757577,87.71818431464987,0
63.63636363636465,61.85059786979043,1
54.54545454545517,74.8558425022343,0
51.51515151515144,74.8558425022343,1
48.48484848484856,74.8558425022343,1
48.48484848484856,88.80712605132376,0
56.666666666667226,100.0,0
61.515151515151814,84.38039864214826,1
57.61904761904742,64.67527056395471,0
43.80952380952266,64.67527056395471,0
38.095238095236546,59.37525096117794,0
36.507936507934886,4.7328939332397075,1
66.66666666666802,91.20842341977463,1
76.19047619047716,100.0,0
42.31884057970973,100.0,1
51.7632850241545,88.98375557720291,0
71.20772946859908,97.33353953636237,0
68.88888888888879,99.9887940515733,1
72.22222222222223,100.0,1
77.7777777777778,95.14327495117088,0
79.99999999999993,87.29779602613846,0
75.55555555555544,87.29779602613846,0
71.75925925925921,87.31825139682074,0
68.68945868945805,73.55320541789546,1
66.83760683760579,84.7822423933027,1
54.456654456653865,45.24559670624518,1
54.68975468975446,100.0,0
62.77056277056304,100.0,1
69.1142191142188,88.89314561000013,1
77.1929824561402,83.20548203416988,0
78.94736842105239,83.20548203416988,0
75.43859649122804,73.46664913090882,0
68.73065015479894,46.57993017179693,0
62.919246646027176,46.57993017179693,1
50.26260504201707,12.782206237349241,1
34.98168498168489,28.03718340851975,1
35.89743589743573,28.03718340851975,1
32.30769230769172,28.03718340851975,0
32.82051282051253,41.98050090227376,0
36.66666666666652,54.74475354537572,1
38.33333333333298,19.791215705546048,0
29.166666666665826,24.603018275446768,0
20.00000000000044,65.86169952882888,1
47.22222222222239,96.99007430814251,0
62.777777777778084,100.0,0
76.1111111111116,91.67590488561798,0
83.33333333333431,99.07300654103969,1
83.93939393939486,99.07300654103969,0
87.272727272728,100.0,0
62.35294117647146,95.0612461296213,0
69.49494949494998,100.0,0
69.49494949494998,100.0,1
80.21978021978012,100.0,0
85.71428571428595,85.75895175068598,0
85.71428571428595,84.34089184237841,1
76.19047619047636,75.26046225985358,1
71.42857142857117,75.26046225985358,0
76.6233766233772,77.52234619578424,1
80.08658008658112,89.02189991712179,1
81.81818181818281,99.60371264094181,1
64.10256410256358,90.92470966997251,1
56.410256410255954,42.05776173905254,0
48.71794871794831,42.05776173905257,1
43.16239316239307,5.4375782736624965,1
37.37373737373759,41.903373211795305,0
38.38383838383855,11.12594936770667,1
