sma50_current,sma100_current,class
243.18,243.29500000000004,1
243.182,243.296,1
243.19,243.302,0
243.2,243.308,1
243.21,243.312,1
243.226,243.31600000000003,0
243.23999999999995,243.318,0
243.25399999999996,243.32100000000003,0
243.264,243.323,0
243.264,243.32000000000005,1
243.264,243.31700000000004,1
243.278,243.31800000000004,1
243.28,243.321,0
243.276,243.318,1
243.268,243.321,1
243.266,243.324,1
243.272,243.32800000000003,1
243.28400000000002,243.33300000000003,1
243.29999999999995,243.341,0
243.308,243.34600000000003,1
243.318,243.34900000000002,0
243.32799999999997,243.353,1
243.342,243.357,0
243.4,243.366,0
243.422,243.372,1
243.442,243.375,0
243.46599999999998,243.377,1
243.52000000000004,243.378,1
243.596,243.38600000000002,0
243.596,243.38800000000003,1
243.59600000000003,243.389,1
243.594,243.392,1
243.592,243.396,0
243.864,243.568,1
243.898,243.59099999999995,0
243.926,243.61299999999997,0
244.12800000000004,243.75,0
244.164,243.76999999999995,1
244.22800000000004,243.81399999999996,1
244.272,243.838,1
244.4,243.921,0
245.924,245.595,0
245.93,245.641,0
245.98999999999995,245.68400000000003,0
246.002,245.689,0
246.05000000000004,245.715,1
246.108,245.768,1
246.122,245.786,0
246.13,245.801,1
246.198,245.87,1
246.214,245.893,0
246.212,245.90500000000003,1
246.21599999999998,245.915,0
243.768,244.886,0
243.694,244.799,1
243.67,244.766,0
243.582,244.67400000000006,0
243.55599999999998,244.6490000000001,0
243.498,244.59900000000005,0
243.466,244.57500000000005,1
243.44000000000003,244.548,0
243.288,244.396,1
243.25600000000003,244.365,0
243.25800000000004,244.344,1
243.26800000000003,244.317,0
243.306,244.292,0
243.32,244.267,1
243.34,244.247,0
243.356,244.223,1
243.376,244.201,0
243.39,244.176,0
243.456,243.892,0
243.47599999999997,243.866,0
243.484,243.84099999999998,0
243.486,243.815,0
243.488,243.791,1
243.492,243.769,0
243.498,243.743,1
243.504,243.72599999999997,1
243.51,243.711,0
243.518,243.69400000000002,0
243.52599999999998,243.681,1
243.534,243.667,0
243.54000000000005,243.654,0
243.53600000000003,243.643,0
243.548,243.62099999999995,1
243.524,243.406,1
243.522,243.393,0
243.45,243.42999999999995,1
243.474,243.44400000000002,0
243.504,243.457,0
243.528,243.47100000000003,1
243.616,243.525,1
243.63,243.543,0
243.644,243.56,0
243.658,243.571,0
243.50600000000003,243.529,0
243.51799999999997,243.51800000000003,1
243.522,243.51500000000004,1
243.52599999999998,243.51700000000002,1
243.53800000000004,243.52599999999998,0
243.548,243.53200000000004,1
243.582,243.552,1
243.69,243.589,0
243.71599999999998,243.59900000000002,0
243.73799999999997,243.604,0
243.75799999999995,243.611,0
243.79,243.614,1
243.814,243.618,1
243.814,243.63200000000003,1
243.808,243.641,1
243.8,243.65200000000004,0
243.79999999999995,243.664,0
243.794,243.67500000000004,1
243.778,243.683,0
243.76400000000004,243.69,0
243.78600000000003,243.66600000000003,1
243.81600000000003,243.66800000000003,0
243.82599999999996,243.67000000000004,0
243.83,243.67300000000003,0
243.842,243.676,1
243.854,243.68,0
243.862,243.68400000000003,0
243.51000000000005,243.65,0
243.484,243.647,0
243.484,243.647,1
243.43600000000004,243.618,0
243.426,243.61000000000004,0
243.414,243.59600000000003,1
243.404,243.584,1
243.406,243.578,0
243.41599999999997,243.56600000000003,1
243.426,243.569,1
243.44200000000004,243.576,1
243.56600000000003,243.646,1
243.612,243.687,0
243.624,243.705,1
243.634,243.718,1
243.662,243.74400000000009,0
243.672,243.7510000000001,1
