ema50_current,stochk_14_current,class
243.04244851562999,55.55555555555623,1
243.09723482203853,75.04713423831045,1
243.12724866225426,80.02450980392116,0
243.156699094496,82.10784313725487,1
243.1810730391989,85.60924369747927,1
243.2141750962919,86.30952380952391,0
243.2414438595034,88.09523809523813,0
243.26764325945183,87.91208791208794,0
243.28766645258773,89.92673992674055,0
243.2920716897411,84.61538461538484,1
243.29630417249646,74.35897435897455,1
243.3358460758752,58.13908313908306,1
243.36835825758973,68.18181818181891,0
243.3818952129344,47.222222222223365,1
243.3884166211081,37.50000000000088,1
243.39263933389682,37.50000000000088,1
243.40653350945578,33.333333333334515,1
243.42564520011646,45.83333333333361,1
243.44915619207558,62.500000000000284,0
243.46144762562298,75.00000000000058,1
243.477792216164,75.00000000000058,0
243.49349584237004,70.83333333333421,1
243.50588928220586,70.83333333333421,0
243.53107009325439,16.6666666666659,0
243.51574372563167,31.48148148148163,1
243.52518394693396,29.62962962962989,0
243.53548117421505,49.735449735449656,1
243.56641740178765,85.71428571428288,1
243.5552229905087,33.333333333334735,0
243.55697895166531,34.92063492063627,1
243.55474448297244,42.06349206349282,1
243.5598271723899,44.44444444444502,1
243.5647105406536,61.111111111110056,0
244.18102591608482,47.91666666666654,1
244.24318168121968,44.27083333333314,0
244.29321601201,43.74999999999983,0
244.55473397200885,32.555018786902735,0
244.59500498737748,45.005611672278064,1
244.65700775575604,59.44055944055873,1
244.69964402460653,62.820512820511986,1
244.8391419196336,81.1463046757168,0
246.10498976297816,26.666666666666387,0
246.1106962145661,8.88888888888836,0
246.0194204556496,54.761904761904546,0
246.0223405013616,70.89947089947083,0
246.03074637938067,61.904761904761756,1
246.08648833757584,73.01587301587256,1
246.10699971877625,79.36507936507894,0
246.11702277872755,85.71428571428531,1
246.21835573997515,82.664995822891,1
246.2333196869252,58.333333333333705,0
246.23139942716784,49.99999999999997,1
246.2274737191914,42.42424242424193,0
243.47562457812992,66.66666666666761,0
243.45194484822804,62.247474747475366,1
243.44254453094032,51.13636363636466,0
243.4193215270121,45.83333333333361,0
243.4223516561689,45.83333333333361,0
243.41068678503564,54.166666666666366,0
243.40829314679337,50.0,1
243.40391262419402,54.166666666666366,0
243.35169122077892,46.6666666666659,1
243.3612556220941,56.66666666666533,0
243.3712317520857,66.66666666666477,1
243.38719265139287,79.99999999999828,0
243.41503967685944,83.33333333333142,0
243.4226666918136,86.66666666666458,1
243.4436001301281,83.33333333333144,0
243.45464230130239,86.66666666666553,1
243.47824336277438,79.74358974358908,0
243.48731337043762,84.61538461538456,0
243.4738747829836,36.3636363636362,0
243.4928000608603,54.54545454545517,0
243.5033799701416,66.66666666666752,0
243.50386102766103,75.757575757577,0
243.5082447888069,63.63636363636465,1
243.5130702431192,54.54545454545517,0
243.52154726678987,51.51515151515144,1
243.53038622929424,48.48484848484856,1
243.54280013444543,48.48484848484856,0
243.55141925652737,56.666666666667226,0
243.55970037382176,61.515151515151814,1
243.56765674141843,57.61904761904742,0
243.57468748923145,43.80952380952266,0
243.5744529259767,38.095238095236546,0
243.580026773318,36.507936507934886,1
243.4807546650657,66.66666666666802,1
243.48089577871468,76.19047619047716,0
243.4136662072789,42.31884057970973,1
243.46363079689957,51.7632850241545,0
243.52131994420768,71.20772946859908,0
243.56314125002723,68.88888888888879,1
243.72565081729766,72.22222222222223,1
243.76031268948935,77.7777777777778,0
243.7936152725756,79.99999999999993,0
243.82169030338383,75.55555555555544,0
243.47943632327932,71.75925925925921,0
243.4577724455459,68.68945868945805,1
243.45673407018205,66.83760683760579,1
243.46750112130297,54.456654456653865,1
243.49598663110697,54.68975468975446,0
243.51489831947208,62.77056277056304,1
243.58457806898528,69.1142191142188,1
243.76641211403037,77.1929824561402,0
243.8031571362052,78.94736842105239,0
243.82939082912742,75.43859649122804,0
243.85398214441014,68.73065015479894,0
243.87736915796813,62.919246646027176,1
243.8895414750127,50.26260504201707,1
243.913461844291,34.98168498168489,1
243.9228578186069,35.89743589743573,1
243.93519328660145,32.30769230769172,0
243.95342100085227,32.82051282051253,0
243.96124994942073,36.66666666666652,1
243.96570385355844,38.33333333333298,0
243.9666751315292,29.166666666665826,0
243.7866210868114,20.00000000000044,1
243.79681520218614,47.22222222222239,0
243.8000081230579,62.777777777778084,0
243.8051565838701,76.1111111111116,0
243.81255756573015,83.33333333333431,1
243.82358988163492,83.93939393939486,0
243.82904077833697,87.272727272728,0
243.32024394552025,62.35294117647146,0
243.32228789451136,69.49494949494998,0
243.32228789451136,69.49494949494998,1
243.36140400928653,80.21978021978012,0
243.3716142565921,85.71428571428595,0
243.3768889280473,85.71428571428595,1
243.38257035500945,76.19047619047636,1
243.4034753190044,71.42857142857117,0
243.4409310230653,76.6233766233772,1
243.4659233235105,80.08658008658112,1
243.49961948710109,81.81818181818281,1
243.73536917847224,64.10256410256358,1
243.8156778387047,56.410256410255954,0
243.83835249684574,48.71794871794831,1
243.85560277871136,43.16239316239307,1
243.91716470418132,37.37373737373759,0
243.93916744850443,38.38383838383855,1
