sma50_previous,adi14_current,class
243.188,28.5086304682157,1
243.18000000000004,28.138500306321486,1
243.182,28.889236045258755,0
243.19,29.839196304385656,1
243.2,30.1271380224288,1
243.21,30.39451247489746,0
243.226,30.64278875218976,0
243.23999999999995,29.654132731555194,0
243.25399999999996,28.736094998108808,0
243.264,26.808864225706376,1
243.264,25.01929279418984,1
243.266,23.82751702419544,1
243.28,24.669145416417518,0
243.278,21.868108022296845,1
243.272,18.93572576097408,1
243.266,16.909175483037668,1
243.266,16.71153528419644,1
243.272,17.33874074742247,1
243.28400000000002,18.274806785425397,0
243.29999999999995,18.521745256582424,1
243.308,18.167628804815713,0
243.318,17.838806385318048,1
243.32799999999997,16.68817326665854,0
243.38800000000003,14.074892976867886,0
243.41000000000003,11.723718980900257,1
243.422,11.781263603796566,0
243.442,12.217731914307196,1
243.50000000000003,12.321318526539313,1
243.598,9.841398879857568,0
243.596,9.479940862592802,1
243.596,9.669916171077269,1
243.59600000000003,9.846321814669997,1
243.594,10.01012705514896,0
243.83599999999998,36.066683634769795,1
243.864,35.901222962108825,0
243.898,35.747580908923624,0
244.086,30.407514357618858,0
244.12800000000004,29.630795677328607,1
244.19600000000003,27.828190657430497,1
244.22800000000004,27.49926336354553,1
244.362,28.178075905958515,0
245.93000000000004,20.97154111331691,0
245.924,22.22618143909097,0
245.972,21.022582531595226,0
245.98999999999995,20.640385946514307,0
246.03,18.443075284331172,1
246.088,18.029949940459744,1
246.108,17.77453904853629,0
246.122,17.75913036032934,1
246.188,18.89200066982739,1
246.20999999999995,16.85596897350981,0
246.214,16.43903175848917,1
246.212,16.289187371129106,0
243.8,26.36142655977246,0
243.72,23.5180218814308,1
243.694,22.27543432637408,0
243.61,18.921429054368936,0
243.582,18.61680868381536,0
243.53000000000003,17.202181312156945,0
243.498,16.52774150659339,1
243.466,15.901475972855765,0
243.308,16.360571372737304,1
243.264,14.799968119111641,0
243.25600000000003,14.428757218865249,1
243.25800000000004,14.084061382922178,0
243.26800000000003,14.132824171475525,0
243.306,13.34574201489194,1
243.32,12.614880012350055,0
243.34,11.936222438561153,1
243.356,12.060965966298456,0
243.376,11.728211985074987,0
243.434,10.551203324066408,0
243.456,11.592449135621324,0
243.47599999999997,12.559320246350902,0
243.484,12.074671102857986,0
243.486,11.624639755328849,1
243.488,11.206753504051797,0
243.496,10.894874503855425,1
243.498,10.965592863192587,1
243.504,11.471529205555123,0
243.51,11.941327237748927,0
243.518,12.816823244868123,1
243.52599999999998,13.6297838229074,0
243.534,15.187370909879636,0
243.54000000000005,16.633701776353846,0
243.54200000000003,17.047087438593024,1
243.52,13.647362654291616,1
243.524,12.703805468948413,0
243.44,19.612686809556244,1
243.45,21.5913002090508,0
243.474,23.42858408001002,0
243.504,24.812100966834027,1
243.588,29.967589134721035,1
243.616,31.34619330779241,0
243.63,32.62632575421583,0
243.644,32.74811854588482,0
243.506,19.198150644333147,0
243.508,14.166002276412605,1
243.51799999999997,13.786046332060563,1
243.522,12.916829735310724,1
243.52599999999998,13.554546592099767,0
243.53800000000004,14.14671224483238,1
243.56600000000003,16.677219901394473,1
243.66,24.034625244078974,0
243.69,24.433777777973873,0
243.71599999999998,24.80441941659055,0
243.73799999999997,24.33503920954046,0
243.75799999999995,23.89918616013681,1
243.79,23.085019319478427,1
243.81,22.225102817930544,1
243.814,21.386482110013713,1
243.808,21.2785551900486,0
243.8,21.178337335795323,0
243.79999999999995,20.594244309146546,1
243.794,19.582386587333122,0
243.778,18.642804417077798,0
243.762,25.380583426642843,1
243.80200000000005,22.66283896773444,0
243.81600000000003,21.318524807058505,0
243.82599999999996,20.07023308643088,0
243.83,18.85586140719128,1
243.842,17.7821959635366,0
243.854,16.7852209087144,0
243.532,28.047482860480557,0
243.5,25.182504638209327,0
243.5,25.182504638209327,1
243.45,22.225217024745675,0
243.43600000000004,21.40025334139247,0
243.426,20.250489922857888,1
243.414,19.182852462790045,1
243.404,18.512652009814406,0
243.408,18.068313226042694,1
243.41599999999997,17.981200619141127,1
243.426,18.19813323954607,1
243.53800000000004,25.539220006270078,1
243.59000000000003,26.142946115175576,0
243.612,26.186910541257912,1
243.624,25.63961220031826,1
243.65000000000003,26.037022757697468,0
243.662,25.60473829445279,1
