sma10_previous,stoch_rsi_14_previous,class
242.71,83.93754063278692,1
242.95,100.0,1
243.01,95.6193041181328,0
243.12000000000003,100.0,1
243.22000000000003,100.0,1
243.32,91.26723929384715,0
243.44,100.0,0
243.55,91.04485588976624,0
243.64000000000004,91.04485588976627,0
243.71,80.65900828262838,1
243.7,47.10473139803854,1
243.68,21.14328396361089,1
243.69,37.71240329969313,0
243.63,0.0,1
243.59,30.89166434935492,1
243.59,0.0,1
243.59,19.99722085346585,1
243.56,52.247124095496886,1
243.57,65.41630055570515,0
243.58,77.31529121644729,1
243.59,42.492268864146226,0
243.63,73.85038129375035,1
243.66000000000003,73.85038129375035,0
243.66,0.0,0
243.53000000000003,24.28660159413655,1
243.5,59.07453707633842,0
243.49,81.57748574983876,1
243.51,100.0,1
243.53000000000003,43.946570765172176,0
243.51,21.344353790494136,1
243.51,85.1606708297445,1
243.49,47.872566859533435,1
243.48999999999995,100.0,0
245.25,70.48002307213666,1
245.44,51.17347630761283,0
245.65,60.38213367781202,0
245.13,35.33658083910636,0
245.17,56.738923307686385,1
245.15,9.551159609367305,1
245.14,27.14521603864653,1
245.35,100.0,0
246.44,0.0,0
246.32,28.756051257656274,0
245.78,100.0,0
245.78000000000003,96.13692187877035,0
245.75,84.15408982058239,1
246.0,100.0,1
246.14,100.0,0
246.22,100.0,1
246.43,100.0,1
246.49,31.103224557005788,0
246.52000000000004,45.14023347990386,1
246.49,0.0,0
243.40000000000003,78.71121629459716,0
243.42,2.7141294901922466,1
243.41000000000003,2.7141294901922466,0
243.40000000000003,24.515437246073876,0
243.42,46.63159785095691,0
243.48999999999995,62.11121912149045,0
243.49,16.70862091603072,1
243.47,59.7656923986028,0
243.47,3.608995139268009,1
243.43,83.94939056617491,0
243.45,83.94939056617491,1
243.45,83.94939056617491,0
243.47,100.0,0
243.48,100.0,1
243.48,48.37268506164109,0
243.54,90.97026693738823,1
243.57,60.409908302721284,0
243.64,96.68050150455852,0
243.41,54.67971582219765,0
243.40000000000003,99.72813516405235,0
243.42,99.72813516405235,0
243.44,87.71818431464987,0
243.44,61.85059786979043,1
243.47,74.8558425022343,0
243.55,74.8558425022343,1
243.6,74.8558425022343,1
243.63,88.80712605132376,0
243.67,100.0,0
243.66,84.38039864214826,1
243.64999999999995,64.67527056395471,0
243.64999999999995,64.67527056395471,0
243.67,59.37525096117794,0
243.67,4.7328939332397075,1
243.31000000000003,91.20842341977463,1
243.32,100.0,0
243.25,100.0,1
243.3,88.98375557720291,0
243.44,97.33353953636237,0
243.58,99.9887940515733,1
244.02,100.0,1
244.17,95.14327495117088,0
244.36000000000004,87.29779602613846,0
244.53000000000003,87.29779602613846,0
243.05000000000004,87.31825139682074,0
243.4,73.55320541789546,1
243.38,84.7822423933027,1
243.39,45.24559670624518,1
243.42,100.0,0
243.48,100.0,1
243.65,88.89314561000013,1
244.1,83.20548203416988,0
244.22,83.20548203416988,0
244.3,73.46664913090882,0
244.32,46.57993017179693,0
244.36000000000004,46.57993017179693,1
244.41,12.782206237349241,1
244.39,28.03718340851975,1
244.37,28.03718340851975,1
244.31,28.03718340851975,0
244.28000000000003,41.98050090227376,0
244.26,54.74475354537572,1
244.23,19.791215705546048,0
244.22,24.603018275446768,0
243.42,65.86169952882888,1
243.44,96.99007430814251,0
243.48,100.0,0
243.52000000000004,91.67590488561798,0
243.57,99.07300654103969,1
243.63,99.07300654103969,0
243.7,100.0,0
243.08,95.0612461296213,0
243.12,100.0,0
243.12,100.0,1
243.33,100.0,0
243.4,85.75895175068598,0
243.48999999999995,84.34089184237841,1
243.52,75.26046225985358,1
243.56,75.26046225985358,0
243.67,77.52234619578424,1
243.72000000000003,89.02189991712179,1
243.78000000000003,99.60371264094181,1
244.18,90.92470966997251,1
244.38,42.05776173905254,0
244.45,42.05776173905257,1
244.5,5.4375782736624965,1
244.6,41.903373211795305,0
244.62,11.12594936770667,1
