stochk_14_current,uosc_current,class
55.55555555555623,21.73981761800549,1
75.04713423831045,25.79184034575511,1
80.02450980392116,27.410741074107047,0
82.10784313725487,25.458241947805533,1
85.60924369747927,22.059716360914866,1
86.30952380952391,22.53823196687541,0
88.09523809523813,17.008123195731017,0
87.91208791208794,18.001621612297242,0
89.92673992674055,21.294207393056475,0
84.61538461538484,18.823053158624145,1
74.35897435897455,18.40018779047218,1
58.13908313908306,24.898530091291583,1
68.18181818181891,20.041599065123695,0
47.222222222223365,22.632547091945906,1
37.50000000000088,15.68505663134856,1
37.50000000000088,17.598505696236007,1
33.333333333334515,25.244667205092536,1
45.83333333333361,25.249840853002485,1
62.500000000000284,24.48608887900327,0
75.00000000000058,20.68233353947642,1
75.00000000000058,23.03139518331161,0
70.83333333333421,25.313688402191204,1
70.83333333333421,27.7983641514426,0
16.6666666666659,32.136985555576594,0
31.48148148148163,31.831787260358386,1
29.62962962962989,33.67464714709917,0
49.735449735449656,30.50520907663741,1
85.71428571428288,27.385426892815772,1
33.333333333334735,38.083953960731904,0
34.92063492063627,45.29616724738735,1
42.06349206349282,38.155061019383176,1
44.44444444444502,41.79587880618865,1
61.111111111110056,42.747729538901595,0
47.91666666666654,11.016211916399515,1
44.27083333333314,10.700751923449292,0
43.74999999999983,11.397583103340258,0
32.555018786902735,25.58364296705452,0
45.005611672278064,26.44745501293643,1
59.44055944055873,20.504068649828078,1
62.820512820511986,20.10329201522816,1
81.1463046757168,16.042671807504803,0
26.666666666666387,18.091746962714303,0
8.88888888888836,13.347815385319764,0
54.761904761904546,25.024668661996568,0
70.89947089947083,22.66507885341846,0
61.904761904761756,19.125336279995143,1
73.01587301587256,18.533360537814385,1
79.36507936507894,23.974840469084764,0
85.71428571428531,26.17734288287027,1
82.664995822891,21.78115975099018,1
58.333333333333705,21.20493225785105,0
49.99999999999997,22.597534560382535,1
42.42424242424193,17.862198395321165,0
66.66666666666761,42.98227227399214,0
62.247474747475366,40.04091994637346,1
51.13636363636466,38.65157398992244,0
45.83333333333361,29.467876039305487,0
45.83333333333361,25.602943840185226,0
54.166666666666366,31.432506261682025,0
50.0,33.68136187095412,1
54.166666666666366,33.28713458506989,0
46.6666666666659,30.263857267044934,1
56.66666666666533,35.26533304614739,0
66.66666666666477,35.51621465746649,1
79.99999999999828,35.2383180954608,0
83.33333333333142,30.00099267330749,0
86.66666666666458,33.81157340985156,1
83.33333333333144,41.478646253021104,0
86.66666666666553,35.67655987503232,1
79.74358974358908,42.090403875300176,0
84.61538461538456,44.50969795231997,0
36.3636363636362,24.090984102535906,0
54.54545454545517,23.367220712535282,0
66.66666666666752,22.030616651112343,0
75.757575757577,20.930118181710338,0
63.63636363636465,23.598901098901,1
54.54545454545517,20.58849779661936,0
51.51515151515144,19.07207006191723,1
48.48484848484856,23.222917307625213,1
48.48484848484856,30.54741988643785,0
56.666666666667226,35.26624442880442,0
61.515151515151814,35.5825206580791,1
57.61904761904742,38.38355303274524,0
43.80952380952266,40.77758625813279,0
38.095238095236546,37.97508151814147,0
36.507936507934886,39.402789901124265,1
66.66666666666802,23.64773866535798,1
76.19047619047716,26.14139814600563,0
42.31884057970973,40.707841220730856,1
51.7632850241545,38.199920714206435,0
71.20772946859908,34.934560388860234,0
68.88888888888879,31.093998491570744,1
72.22222222222223,22.414338104076982,1
77.7777777777778,21.35090829231859,0
79.99999999999993,19.118047448054604,0
75.55555555555544,19.248889408464443,0
71.75925925925921,19.21139380253013,0
68.68945868945805,46.43433231459743,1
66.83760683760579,56.2979917565609,1
54.456654456653865,56.73128261177804,1
54.68975468975446,56.45098948670705,0
62.77056277056304,43.778893660313855,1
69.1142191142188,27.796629444037556,1
77.1929824561402,21.582156528700303,0
78.94736842105239,24.40108987600564,0
75.43859649122804,21.897842594564352,0
68.73065015479894,23.470062016355136,0
62.919246646027176,22.459849038908096,1
50.26260504201707,17.539360562863887,1
34.98168498168489,21.363808605188233,1
35.89743589743573,21.907519585081612,1
32.30769230769172,22.359463608892398,0
32.82051282051253,21.19047920468336,0
36.66666666666652,22.151191698592022,1
38.33333333333298,28.53547406734099,0
29.166666666665826,26.705413759481825,0
20.00000000000044,32.89703926646609,1
47.22222222222239,36.99339763163145,0
62.777777777778084,30.552163548508094,0
76.1111111111116,27.50345713227412,0
83.33333333333431,25.68820737495389,1
83.93939393939486,25.71765347360269,0
87.272727272728,23.572125142941925,0
62.35294117647146,31.488374427887784,0
69.49494949494998,28.90510468289171,0
69.49494949494998,28.90510468289171,1
80.21978021978012,20.766228061634067,0
85.71428571428595,21.60682454800091,0
85.71428571428595,20.9438278518816,1
76.19047619047636,22.39925482890425,1
71.42857142857117,30.2793265847447,0
76.6233766233772,27.290729283839113,1
80.08658008658112,31.71212972033501,1
81.81818181818281,33.113674577969014,1
64.10256410256358,25.780138262747503,1
56.410256410255954,23.77513642819716,0
48.71794871794831,21.334289747762075,1
43.16239316239307,18.502682733675357,1
37.37373737373759,17.408876232405245,0
38.38383838383855,19.015269484327774,1
