price_current,sma200_current,class
242.9,243.0855,1
243.5,243.1065,1
243.8,243.112,0
243.8,243.1185,1
243.7,243.1245,1
243.9,243.1325,0
243.8,243.139,0
243.8,243.1455,0
243.7,243.152,0
243.4,243.157,1
243.4,243.1625,1
244.0,243.178,1
243.8,243.192,0
243.5,243.209,1
243.4,243.2205,1
243.5,243.231,1
243.7,243.238,1
243.8,243.2445,1
243.9,243.249,0
243.7,243.253,1
243.8,243.2575,0
243.8,243.2625,1
243.7,243.267,0
243.6,243.289,0
243.5,243.297,1
243.6,243.301,0
243.6,243.306,1
243.7,243.3225,1
243.4,243.3475,0
243.6,243.3505,1
243.5,243.354,1
243.7,243.358,1
243.7,243.3635,0
245.1,243.5275,1
245.5,243.5395,0
245.3,243.5515,0
245.6,243.5955,0
245.3,243.598,1
245.2,243.6045,1
245.4,243.6125,1
245.5,243.643,0
246.0,244.593,0
246.3,244.6505,0
246.3,244.78800000000004,0
246.0,244.805,0
246.1,244.8545,1
246.5,244.909,1
246.5,244.928,0
246.3,244.946,1
246.4,245.0145,1
246.4,245.0415,0
246.2,245.0535,1
246.1,245.0655,0
243.4,245.2155,0
243.3,245.17050000000003,1
243.4,245.158,0
243.5,245.1265,0
243.7,245.1195,0
243.4,245.10050000000004,0
243.6,245.094,1
243.5,245.0875,0
243.3,245.0315,1
243.6,245.016,0
243.6,245.007,1
243.7,244.998,0
243.8,244.98800000000003,0
243.5,244.978,1
243.8,244.971,0
243.6,244.963,1
243.9,244.958,0
243.6,244.9515,0
243.8,244.8865,0
243.8,244.8795,0
243.7,244.873,0
243.5,244.865,0
243.6,244.859,1
243.6,244.8535,0
243.6,244.841,1
243.7,244.833,1
243.8,244.824,0
243.7,244.815,0
243.7,244.807,1
243.7,244.7985,0
243.7,244.789,0
243.6,244.779,0
243.6,244.75800000000004,1
243.5,244.566,1
243.5,244.556,0
244.0,244.4475,1
244.5,244.44100000000003,0
244.7,244.435,0
244.4,244.428,1
244.8,244.412,1
244.5,244.406,0
244.5,244.3975,0
244.4,244.388,0
243.5,244.13,0
243.5,244.033,1
243.4,244.0185,1
243.7,244.00600000000003,1
244.1,243.996,0
243.9,243.9865,1
244.3,243.966,1
244.6,243.9405,0
244.5,243.933,0
244.3,243.92550000000003,0
244.3,243.917,0
244.2,243.9075,1
244.0,243.897,1
244.2,243.874,1
244.2,243.8625,1
244.3,243.8525,0
244.4,243.841,0
244.2,243.82800000000003,1
244.2,243.815,0
244.1,243.8035,0
243.7,243.6735,1
243.9,243.661,0
243.8,243.6565,0
243.9,243.652,0
243.9,243.6485,1
244.0,243.6455,0
243.9,243.6405,0
243.1,243.5285,0
243.4,243.534,0
243.4,243.534,1
243.7,243.5445,0
243.7,243.5475,0
243.6,243.5505,1
243.6,243.5545,1
243.9,243.5605,0
243.9,243.5685,1
244.0,243.5715,1
244.2,243.575,1
244.6,243.6035,1
244.6,243.61550000000003,0
244.3,243.6205,1
244.2,243.625,1
244.4,243.6345,0
244.4,243.64,1
