sma100_previous,wpr14_previous,class
243.301,-54.54545454545549,1
243.291,-12.500000000000892,1
243.296,-23.529411764705984,0
243.302,-5.8823529411760775,1
243.308,-12.499999999999332,1
243.312,-21.428571428572152,0
243.31600000000003,-7.142857142856707,0
243.318,-14.285714285713414,0
243.32100000000003,-15.384615384614374,0
243.323,-23.07692307692375,1
243.32000000000005,-46.15384615384532,1
243.31400000000005,-41.66666666666706,1
243.31900000000005,-50.000000000002366,0
243.31800000000004,-74.99999999999824,1
243.32,-50.00000000000001,1
243.322,-74.99999999999824,1
243.324,-62.49999999999911,1
243.32800000000003,-37.500000000000895,1
243.33300000000003,-24.99999999999823,0
243.341,-12.499999999999115,1
243.34600000000003,-37.500000000000895,0
243.34900000000002,-24.99999999999823,1
243.353,-24.99999999999823,0
243.36300000000003,-83.33333333333412,0
243.36900000000003,-77.77777777777601,1
243.372,-55.55555555555521,0
243.375,-44.4444444444448,1
243.377,-14.285714285717187,1
243.38500000000008,-57.14285714285656,0
243.38600000000002,-57.14285714285656,1
243.38800000000003,-33.333333333334906,1
243.389,-50.0,1
243.392,-16.666666666669823,0
243.551,-57.81250000000021,1
243.568,-59.375000000000135,0
243.59099999999995,-53.125000000000036,0
243.72600000000003,-59.2592592592593,0
243.75,-40.909090909091375,1
243.792,-55.555555555556076,1
243.81399999999996,-30.769230769231612,1
243.89200000000002,-11.76470588235235,0
245.59000000000003,-80.00000000000115,0
245.627,-80.00000000000115,0
245.679,-5.5555555555552045,0
245.68400000000003,-23.80952380952355,0
245.703,-38.095238095238216,1
245.748,-14.285714285714672,1
245.768,-14.285714285714672,0
245.786,-14.285714285714672,1
245.854,-14.285714285713414,1
245.881,-58.33333333333294,0
245.893,-50.0,1
245.90500000000003,-66.66666666666825,0
244.915,-29.999999999998288,0
244.831,-54.54545454545431,1
244.799,-74.99999999999824,0
244.701,-62.49999999999911,0
244.67400000000006,-50.00000000000001,0
244.62500000000003,-37.500000000000895,0
244.59900000000005,-62.49999999999911,1
244.57500000000005,-37.500000000000895,0
244.41600000000003,-60.00000000000227,1
244.38,-20.0000000000017,0
244.365,-20.0000000000017,1
244.344,-20.0000000000017,0
244.317,-10.000000000002274,0
244.292,-0.0,1
244.267,-30.000000000001133,0
244.247,-0.0,1
244.223,-20.0000000000017,0
244.201,-15.384615384614714,0
243.917,-63.63636363636294,0
243.892,-27.272727272725863,0
243.866,-27.272727272725863,0
243.84099999999998,-36.36363636363706,0
243.815,-54.54545454545431,1
243.791,-45.45454545454569,0
243.75899999999996,-45.45454545454569,1
243.743,-45.45454545454569,1
243.72599999999997,-36.36363636363706,0
243.711,-27.272727272725863,0
243.69400000000002,-40.000000000000576,1
243.681,-40.000000000000576,0
243.667,-57.14285714285889,0
243.654,-57.14285714285889,0
243.631,-66.66666666666825,1
243.414,-42.857142857141106,1
243.406,-28.57142857142741,0
243.421,-0.0,1
243.42999999999995,-30.43478260869539,0
243.44400000000002,-30.000000000000192,0
243.457,-23.333333333333908,1
243.505,-13.333333333333526,1
243.525,-19.999999999999808,0
243.543,-30.000000000000192,0
243.56,-30.000000000000192,0
243.529,-22.2222222222224,0
243.518,-33.333333333333336,1
243.51800000000003,-23.07692307692375,1
243.51500000000004,-44.4444444444448,1
243.51700000000002,-14.285714285717187,0
243.52599999999998,-9.09090909090862,1
243.54500000000004,-16.66666666666785,1
243.581,-21.052631578947604,0
243.589,-21.052631578947604,0
243.59900000000002,-26.31578947368413,0
243.604,-36.84210526315718,0
243.611,-41.1764705882349,1
243.614,-50.00000000000089,1
243.625,-61.53846153846187,1
243.63200000000003,-61.53846153846187,1
243.641,-61.53846153846187,0
243.65200000000004,-69.99999999999885,0
243.664,-59.999999999999424,1
243.67500000000004,-80.00000000000115,0
243.683,-75.00000000000179,0
243.66600000000003,-66.66666666666667,1
243.66600000000003,-41.66666666666706,0
243.66800000000003,-24.999999999998817,0
243.67000000000004,-19.999999999998863,0
243.67300000000003,-9.999999999999432,1
243.676,-9.999999999999432,0
243.68,-9.09090909090862,0
243.64499999999995,-33.333333333333336,0
243.657,-13.333333333332574,0
243.657,-13.333333333332574,1
243.62500000000003,-7.142857142856707,0
243.618,-21.428571428572152,0
243.61000000000004,-21.428571428572152,1
243.59600000000003,-28.57142857142886,1
243.584,-28.57142857142886,0
243.571,-28.57142857142741,1
243.56600000000003,-27.272727272725863,1
243.569,-18.18181818181724,1
243.63100000000003,-30.76923076923127,1
243.669,-50.00000000000055,0
243.687,-50.00000000000055,1
243.705,-61.538461538461455,1
243.733,-50.000000000000604,0
243.74400000000009,-68.18181818181765,1
