ema200_previous,uosc_previous,class
243.18028035080428,21.379885046451914,1
243.1885337173301,28.3890230229244,1
243.1933459797288,25.79184034575511,0
243.2010954335464,27.410741074107047,1
243.209079250263,25.458241947805533,1
243.21583286519532,22.059716360914866,0
243.2251322735149,22.53823196687541,0
243.2328769176945,17.008123195731017,0
243.24054450073783,18.001621612297242,0
243.24714076454683,21.294207393056475,1
243.25021911142517,18.823053158624145,1
243.2582121099501,19.400939442852376,1
243.27440708951042,22.734051092864657,0
243.2898420512497,19.806918388699184,1
243.2985633976934,23.976680400614004,1
243.30382540270813,16.410981582396726,1
243.307490484158,17.598505696236007,1
243.31357635472497,25.244667205092536,1
243.32044095829545,25.249840853002485,0
243.32760933844415,24.48608887900327,1
243.3325606057296,20.68233353947642,0
243.33861336749587,23.03139518331161,1
243.34476163872287,25.313688402191204,0
243.3645936479768,26.07199817726034,0
243.36708943313937,23.841362363563217,1
243.36950207796414,31.831787260358386,0
243.37304147719482,33.67464714709917,1
243.3858355976397,25.12902520365177,1
243.40058643874156,34.5283789301762,0
243.40151501920658,38.083953960731904,1
243.40442440981647,45.29616724738735,1
243.40646556233645,38.155061019383176,1
243.41063219057838,41.79587880618865,0
243.61502808479324,16.78437534159132,1
243.63323011555946,11.016211916399515,0
243.6555426029863,10.700751923449292,0
243.7669883818001,25.46232298297667,0
243.78647319094304,25.58364296705452,1
243.81569136677163,25.773341714390234,1
243.83102294148858,20.504068649828078,1
243.89069443206319,18.12724943793112,0
245.16937120108838,26.85638496189079,0
245.221268953558,10.411822660098213,0
245.3142976184791,27.989222883602626,0
245.3294006245415,25.024668661996568,0
245.3628215401603,18.11371851699863,1
245.4044781685112,17.01057028925865,1
245.4212968492035,18.533360537814385,0
245.43794817983886,23.974840469084764,1
245.50779196801182,30.05736330544499,1
245.5331418154762,24.4884357996983,0
245.54581640464676,21.20493225785105,1
245.55606335685874,22.597534560382535,0
244.84953514904828,33.06260287190153,0
244.79956980428062,54.05018125867856,1
244.77997663331814,40.04091994637346,0
244.7292339831289,31.2064848112204,0
244.7143552881337,29.467876039305487,0
244.68815692543944,28.43357734007535,0
244.67238046061885,31.432506261682025,1
244.6596854409755,33.68136187095412,0
244.5701668429261,34.19879062736174,1
244.54258095555105,37.75182677789487,0
244.53071026543304,35.26533304614739,1
244.51864621974252,35.51621465746649,0
244.5076972391832,35.2383180954608,0
244.49754075668758,30.00099267330749,1
244.4845002590923,33.81157340985156,0
244.4755090079956,41.478646253021104,1
244.46430570044043,35.67655987503232,0
244.4571333588858,42.090403875300176,0
244.34275097974185,19.91795366795364,0
244.33517016923562,24.090984102535906,0
244.3276647896797,23.367220712535282,0
244.31939480158763,22.030616651112343,0
244.30874984434516,20.930118181710338,1
244.2998287757349,23.598901098901,0
244.2824062421525,22.619047619047183,1
244.2735915629912,19.07207006191723,1
244.2653924091177,23.222917307625213,0
244.25795839184812,30.54741988643785,0
244.24960332002442,35.26624442880442,1
244.2416428551354,35.5825206580791,0
244.2336058629061,38.38355303274524,0
244.22533736885697,40.77758625813279,0
244.206912047493,34.37470350558354,1
244.03533324343348,24.869169266583878,1
244.02673608962624,23.64773866535798,0
243.91534511552524,45.57283897040844,1
243.9138514134928,40.707841220730856,0
243.9176591704376,38.199920714206435,0
243.92357482495086,34.934560388860234,1
243.93922171625272,30.68327462737411,1
243.94607357889316,22.414338104076982,0
243.94971645322295,21.35090829231859,0
243.95254440031627,19.118047448054604,0
243.76985276004143,17.842639591114217,0
243.71240866033918,34.670474419431535,1
243.7060902707865,46.43433231459743,1
243.698528254014,56.2979917565609,1
243.69464949960042,56.73128261177804,0
243.69556811899145,56.45098948670705,1
243.6937768964984,34.2869896061393,1
243.71981376774227,22.53983931420083,0
243.7259243286216,21.582156528700303,0
243.7312905349166,24.40108987600564,0
243.7346132963731,21.897842594564352,0
243.737591523634,23.470062016355136,1
243.73923362002532,22.459849038908096,1
243.73956739287001,19.436342599255358,1
243.74056688508657,21.363808605188233,1
243.7415564321067,21.907519585081612,0
243.74399836560193,22.359463608892398,0
243.74694381828903,21.19047920468336,1
243.7474027053993,22.151191698592022,0
243.74785702646872,28.53547406734099,0
243.68039544231635,26.59404670959333,1
243.67659891617447,36.42787091953472,0
243.67710871712399,36.99339763163145,0
243.6769298924438,30.552163548508094,0
243.67774787198908,27.50345713227412,1
243.67886918432689,25.68820737495389,0
243.6811301001497,25.71765347360269,0
243.5457242263327,34.00538772919588,0
243.5421211103425,33.481268901568875,0
243.5421211103425,33.481268901568875,1
243.54739633339383,23.72247823860724,0
243.5500049294603,20.766228061634067,0
243.55243183340087,21.60682454800091,1
243.55383956416782,20.9438278518816,1
243.55554475955554,22.39925482890425,0
243.5647780571777,25.296009491734647,1
243.5690480145738,27.290729283839113,1
243.57427050970742,31.71212972033501,1
243.6285425804848,27.759254094145373,1
243.65134221634617,24.262813752372452,0
243.6628061645771,23.77513642819716,1
243.6707037612065,21.334289747762075,1
243.68957198410823,17.643596875088612,0
243.69757533526607,17.408876232405245,1
