uosc_current,uosc_previous,class
21.73981761800549,21.379885046451914,1
25.79184034575511,28.3890230229244,1
27.410741074107047,25.79184034575511,0
25.458241947805533,27.410741074107047,1
22.059716360914866,25.458241947805533,1
22.53823196687541,22.059716360914866,0
17.008123195731017,22.53823196687541,0
18.001621612297242,17.008123195731017,0
21.294207393056475,18.001621612297242,0
18.823053158624145,21.294207393056475,1
18.40018779047218,18.823053158624145,1
24.898530091291583,19.400939442852376,1
20.041599065123695,22.734051092864657,0
22.632547091945906,19.806918388699184,1
15.68505663134856,23.976680400614004,1
17.598505696236007,16.410981582396726,1
25.244667205092536,17.598505696236007,1
25.249840853002485,25.244667205092536,1
24.48608887900327,25.249840853002485,0
20.68233353947642,24.48608887900327,1
23.03139518331161,20.68233353947642,0
25.313688402191204,23.03139518331161,1
27.7983641514426,25.313688402191204,0
32.136985555576594,26.07199817726034,0
31.831787260358386,23.841362363563217,1
33.67464714709917,31.831787260358386,0
30.50520907663741,33.67464714709917,1
27.385426892815772,25.12902520365177,1
38.083953960731904,34.5283789301762,0
45.29616724738735,38.083953960731904,1
38.155061019383176,45.29616724738735,1
41.79587880618865,38.155061019383176,1
42.747729538901595,41.79587880618865,0
11.016211916399515,16.78437534159132,1
10.700751923449292,11.016211916399515,0
11.397583103340258,10.700751923449292,0
25.58364296705452,25.46232298297667,0
26.44745501293643,25.58364296705452,1
20.504068649828078,25.773341714390234,1
20.10329201522816,20.504068649828078,1
16.042671807504803,18.12724943793112,0
18.091746962714303,26.85638496189079,0
13.347815385319764,10.411822660098213,0
25.024668661996568,27.989222883602626,0
22.66507885341846,25.024668661996568,0
19.125336279995143,18.11371851699863,1
18.533360537814385,17.01057028925865,1
23.974840469084764,18.533360537814385,0
26.17734288287027,23.974840469084764,1
21.78115975099018,30.05736330544499,1
21.20493225785105,24.4884357996983,0
22.597534560382535,21.20493225785105,1
17.862198395321165,22.597534560382535,0
42.98227227399214,33.06260287190153,0
40.04091994637346,54.05018125867856,1
38.65157398992244,40.04091994637346,0
29.467876039305487,31.2064848112204,0
25.602943840185226,29.467876039305487,0
31.432506261682025,28.43357734007535,0
33.68136187095412,31.432506261682025,1
33.28713458506989,33.68136187095412,0
30.263857267044934,34.19879062736174,1
35.26533304614739,37.75182677789487,0
35.51621465746649,35.26533304614739,1
35.2383180954608,35.51621465746649,0
30.00099267330749,35.2383180954608,0
33.81157340985156,30.00099267330749,1
41.478646253021104,33.81157340985156,0
35.67655987503232,41.478646253021104,1
42.090403875300176,35.67655987503232,0
44.50969795231997,42.090403875300176,0
24.090984102535906,19.91795366795364,0
23.367220712535282,24.090984102535906,0
22.030616651112343,23.367220712535282,0
20.930118181710338,22.030616651112343,0
23.598901098901,20.930118181710338,1
20.58849779661936,23.598901098901,0
19.07207006191723,22.619047619047183,1
23.222917307625213,19.07207006191723,1
30.54741988643785,23.222917307625213,0
35.26624442880442,30.54741988643785,0
35.5825206580791,35.26624442880442,1
38.38355303274524,35.5825206580791,0
40.77758625813279,38.38355303274524,0
37.97508151814147,40.77758625813279,0
39.402789901124265,34.37470350558354,1
23.64773866535798,24.869169266583878,1
26.14139814600563,23.64773866535798,0
40.707841220730856,45.57283897040844,1
38.199920714206435,40.707841220730856,0
34.934560388860234,38.199920714206435,0
31.093998491570744,34.934560388860234,1
22.414338104076982,30.68327462737411,1
21.35090829231859,22.414338104076982,0
19.118047448054604,21.35090829231859,0
19.248889408464443,19.118047448054604,0
19.21139380253013,17.842639591114217,0
46.43433231459743,34.670474419431535,1
56.2979917565609,46.43433231459743,1
56.73128261177804,56.2979917565609,1
56.45098948670705,56.73128261177804,0
43.778893660313855,56.45098948670705,1
27.796629444037556,34.2869896061393,1
21.582156528700303,22.53983931420083,0
24.40108987600564,21.582156528700303,0
21.897842594564352,24.40108987600564,0
23.470062016355136,21.897842594564352,0
22.459849038908096,23.470062016355136,1
17.539360562863887,22.459849038908096,1
21.363808605188233,19.436342599255358,1
21.907519585081612,21.363808605188233,1
22.359463608892398,21.907519585081612,0
21.19047920468336,22.359463608892398,0
22.151191698592022,21.19047920468336,1
28.53547406734099,22.151191698592022,0
26.705413759481825,28.53547406734099,0
32.89703926646609,26.59404670959333,1
36.99339763163145,36.42787091953472,0
30.552163548508094,36.99339763163145,0
27.50345713227412,30.552163548508094,0
25.68820737495389,27.50345713227412,1
25.71765347360269,25.68820737495389,0
23.572125142941925,25.71765347360269,0
31.488374427887784,34.00538772919588,0
28.90510468289171,33.481268901568875,0
28.90510468289171,33.481268901568875,1
20.766228061634067,23.72247823860724,0
21.60682454800091,20.766228061634067,0
20.9438278518816,21.60682454800091,1
22.39925482890425,20.9438278518816,1
30.2793265847447,22.39925482890425,0
27.290729283839113,25.296009491734647,1
31.71212972033501,27.290729283839113,1
33.113674577969014,31.71212972033501,1
25.780138262747503,27.759254094145373,1
23.77513642819716,24.262813752372452,0
21.334289747762075,23.77513642819716,1
18.502682733675357,21.334289747762075,1
17.408876232405245,17.643596875088612,0
19.015269484327774,17.408876232405245,1
