sma200_current,stoch_rsi_14_current,class
243.0855,100.0,1
243.1065,95.6193041181328,1
243.112,100.0,0
243.1185,100.0,1
243.1245,91.26723929384715,1
243.1325,100.0,0
243.139,91.04485588976624,0
243.1455,91.04485588976624,0
243.152,80.65900828262838,0
243.157,47.10473139803856,1
243.1625,18.114273800187064,1
243.178,87.27427147493471,1
243.192,50.63369496578653,0
243.209,16.25870698135886,1
243.2205,0.0,1
243.231,19.99722085346585,1
243.238,52.247124095496886,1
243.2445,65.41630055570515,1
243.249,77.31529121644724,0
243.253,42.492268864146226,1
243.2575,73.85038129375035,0
243.2625,73.85038129375035,1
243.267,48.20598456844496,0
243.289,34.68016337260493,0
243.297,59.07453707633842,1
243.301,81.57748574983876,0
243.306,81.57748574983876,1
243.3225,100.0,1
243.3475,21.344353790494093,0
243.3505,85.16067082974463,1
243.354,47.872566859533364,1
243.358,100.0,1
243.3635,100.0,0
243.5275,51.17347630761281,1
243.5395,60.38213367781202,0
243.5515,53.64109123823603,0
243.5955,56.73892330768643,0
243.598,28.074346063089763,1
243.6045,27.14521603864653,1
243.6125,55.02432458915143,1
243.643,49.9573019241618,0
244.593,0.0,0
244.6505,40.685717256242974,0
244.78800000000004,96.13692187877035,0
244.805,83.65620794864253,0
244.8545,88.33454660443716,1
244.909,100.0,1
244.928,100.0,0
244.946,90.65426261383531,1
245.0145,45.71769207521586,1
245.0415,45.14023347990386,0
245.0535,0.0,1
245.0655,0.0,0
245.2155,92.20395515751265,0
245.17050000000003,2.7141294901922466,1
245.158,25.70314745084002,0
245.1265,46.63159785095691,0
245.1195,83.19099685973963,0
245.10050000000004,16.708620916030778,0
245.094,59.765692398602866,1
245.0875,37.79479690772285,0
245.0315,28.476996527708703,1
245.016,83.94939056617491,0
245.007,83.94939056617491,1
244.998,100.0,0
244.98800000000003,100.0,0
244.978,48.37268506164109,1
244.971,90.97026693738823,0
244.963,60.409908302721284,1
244.958,96.68050150455852,0
244.9515,54.879864698513906,0
244.8865,99.72813516405235,0
244.8795,99.72813516405235,0
244.873,87.71818431464987,0
244.865,61.85059786979043,0
244.859,74.8558425022343,1
244.8535,74.8558425022343,0
244.841,74.8558425022343,1
244.833,88.80712605132376,1
244.824,100.0,0
244.815,84.38039864214826,0
244.807,64.67527056395471,1
244.7985,64.67527056395471,0
244.789,59.37525096117794,0
244.779,4.7328939332397075,0
244.75800000000004,4.7328939332397075,1
244.566,100.0,1
244.556,100.0,0
244.4475,88.98375557720291,1
244.44100000000003,97.33353953636237,0
244.435,99.9887940515733,0
244.428,92.37089664886213,1
244.412,95.14327495117088,1
244.406,87.29779602613846,0
244.3975,87.29779602613846,0
244.388,84.26482981448916,0
244.13,91.96335811126708,0
244.033,84.7822423933027,1
244.0185,45.24559670624518,1
244.00600000000003,100.0,1
243.996,100.0,0
243.9865,73.35173393948969,1
243.966,100.0,1
243.9405,83.20548203416988,0
243.933,73.46664913090882,0
243.92550000000003,46.5799301717969,0
243.917,46.57993017179693,0
243.9075,12.782206237349241,1
243.897,0.0,1
243.874,28.03718340851975,1
243.8625,28.03718340851975,1
243.8525,41.98050090227376,0
243.841,54.74475354537569,0
243.82800000000003,19.791215705546048,1
243.815,24.603018275446768,0
243.8035,0.0,0
243.6735,89.5093114708942,1
243.661,100.0,0
243.6565,91.67590488561798,0
243.652,99.07300654103969,0
243.6485,99.07300654103969,1
243.6455,100.0,0
243.6405,91.60310406029741,0
243.5285,89.38507814669218,0
243.534,90.51016299775259,0
243.534,90.51016299775259,1
243.5445,85.75895175068598,0
243.5475,84.34089184237841,0
243.5505,75.26046225985358,1
243.5545,75.26046225985358,1
243.5605,96.12914387171419,0
243.5685,89.02189991712179,1
243.5715,99.60371264094181,1
243.575,100.0,1
243.6035,42.05776173905254,1
243.61550000000003,42.05776173905254,0
243.6205,5.437578273662547,1
243.625,0.0,1
243.6345,11.125949367706623,0
243.64,11.12594936770667,1
