stochk_14_previous,stoch_rsi_14_previous,class
51.515151515151786,83.93754063278692,1
73.52207977208016,100.0,1
75.04713423831045,95.6193041181328,0
80.02450980392116,100.0,1
82.10784313725487,100.0,1
85.60924369747927,91.26723929384715,0
86.30952380952391,100.0,0
88.09523809523813,91.04485588976624,0
87.91208791208794,91.04485588976627,0
89.92673992674055,80.65900828262838,1
84.61538461538484,47.10473139803854,1
65.59829059829039,21.14328396361089,1
65.40404040404047,37.71240329969313,0
61.11111111111219,0.0,1
37.50000000000088,30.89166434935492,1
37.50000000000088,0.0,1
37.50000000000088,19.99722085346585,1
33.333333333334515,52.247124095496886,1
45.83333333333361,65.41630055570515,0
62.500000000000284,77.31529121644729,1
75.00000000000058,42.492268864146226,0
75.00000000000058,73.85038129375035,1
70.83333333333421,73.85038129375035,0
16.6666666666659,0.0,0
25.92592592592545,24.28660159413655,1
31.48148148148163,59.07453707633842,0
29.62962962962989,81.57748574983876,1
80.95238095237848,100.0,1
28.57142857143036,43.946570765172176,0
33.333333333334735,21.344353790494136,1
34.92063492063627,85.1606708297445,1
42.06349206349282,47.872566859533435,1
44.44444444444498,100.0,0
52.97181372549016,70.48002307213666,1
47.91666666666654,51.17347630761283,0
44.27083333333314,60.38213367781202,0
22.555018786902732,35.33658083910636,0
32.555018786902735,56.738923307686385,1
53.0303030303026,9.551159609367305,1
59.44055944055873,27.14521603864653,1
74.81146304675703,100.0,0
42.222222222221696,0.0,0
8.88888888888836,28.756051257656274,0
38.88888888888905,100.0,0
54.761904761904546,96.13692187877035,0
66.66666666666664,84.15408982058239,1
65.07936507936472,100.0,1
73.01587301587256,100.0,0
79.36507936507894,100.0,1
80.37741412354431,100.0,1
73.01587301587355,31.103224557005788,0
58.333333333333705,45.14023347990386,1
49.99999999999997,0.0,0
73.3333333333339,78.71121629459716,0
73.08080808080898,2.7141294901922466,1
62.247474747475366,2.7141294901922466,0
41.666666666667254,24.515437246073876,0
45.83333333333361,46.63159785095691,0
49.99999999999999,62.11121912149045,0
54.166666666666366,16.70862091603072,1
50.0,59.7656923986028,0
50.83333333333227,3.608995139268009,1
46.6666666666659,83.94939056617491,0
56.66666666666533,83.94939056617491,1
66.66666666666477,83.94939056617491,0
79.99999999999828,100.0,0
83.33333333333142,100.0,1
86.66666666666458,48.37268506164109,0
83.33333333333144,90.97026693738823,1
86.66666666666553,60.409908302721284,0
79.74358974358908,96.68050150455852,0
27.272727272726726,54.67971582219765,0
36.3636363636362,99.72813516405235,0
54.54545454545517,99.72813516405235,0
66.66666666666752,87.71818431464987,0
75.757575757577,61.85059786979043,1
63.63636363636465,74.8558425022343,0
48.48484848484856,74.8558425022343,1
51.51515151515144,74.8558425022343,1
48.48484848484856,88.80712605132376,0
48.48484848484856,100.0,0
56.666666666667226,84.38039864214826,1
61.515151515151814,64.67527056395471,0
57.61904761904742,64.67527056395471,0
43.80952380952266,59.37525096117794,0
40.47619047618873,4.7328939332397075,1
66.66666666666802,91.20842341977463,1
66.66666666666802,100.0,0
36.66666666666661,100.0,1
42.31884057970973,88.98375557720291,0
51.76328502415447,97.33353953636237,0
71.20772946859908,99.9887940515733,1
70.00000000000016,100.0,1
72.22222222222223,95.14327495117088,0
77.77777777777784,87.29779602613846,0
79.99999999999993,87.29779602613846,0
64.35185185185192,87.31825139682074,0
72.96296296296242,73.55320541789546,1
68.68945868945805,84.7822423933027,1
66.83760683760579,45.24559670624518,1
54.456654456653865,100.0,0
54.68975468975446,100.0,1
71.21212121212145,88.89314561000013,1
81.82957393483719,83.20548203416988,0
77.1929824561402,83.20548203416988,0
78.94736842105239,73.46664913090882,0
75.43859649122804,46.57993017179693,0
68.73065015479894,46.57993017179693,1
62.919246646027176,12.782206237349241,1
40.91117216117235,28.03718340851975,1
34.98168498168489,28.03718340851975,1
35.89743589743573,28.03718340851975,0
32.30769230769172,41.98050090227376,0
32.82051282051257,54.74475354537572,1
36.66666666666652,19.791215705546048,0
38.33333333333298,24.603018275446768,0
15.555555555555983,65.86169952882888,1
34.444444444445004,96.99007430814251,0
47.22222222222239,100.0,0
62.777777777778084,91.67590488561798,0
76.1111111111116,99.07300654103969,1
83.33333333333431,99.07300654103969,0
83.93939393939486,100.0,0
57.777777777778866,95.0612461296213,0
66.66666666666735,100.0,0
66.66666666666735,100.0,1
76.54012654012661,100.0,0
80.21978021978012,85.75895175068598,0
85.71428571428595,84.34089184237841,1
85.71428571428595,75.26046225985358,1
76.19047619047632,75.26046225985358,0
73.80952380952398,77.52234619578424,1
76.62337662337724,89.02189991712179,1
80.08658008658112,99.60371264094181,1
61.53846153846101,90.92470966997251,1
64.10256410256358,42.05776173905254,0
56.410256410255954,42.05776173905257,1
48.71794871794831,5.4375782736624965,1
37.60683760683783,41.903373211795305,0
37.37373737373759,11.12594936770667,1
