sma30_previous,wpr14_current,class
243.07,-22.222222222220818,1
243.02,-23.529411764705984,1
243.02,-5.8823529411760775,0
243.03333333333336,-12.499999999999332,1
243.0533333333333,-21.428571428572152,1
243.07333333333332,-7.142857142856707,0
243.09333333333333,-14.285714285713414,0
243.11,-15.384615384614374,0
243.1266666666667,-23.07692307692375,0
243.15,-46.15384615384532,1
243.16666666666663,-46.15384615384532,1
243.18666666666664,-0.0,1
243.23666666666665,-33.33333333333176,0
243.29666666666668,-62.49999999999911,1
243.35,-74.99999999999824,1
243.40666666666667,-62.49999999999911,1
243.42666666666665,-37.500000000000895,1
243.46,-24.99999999999823,1
243.4933333333333,-12.499999999999115,0
243.53333333333333,-37.500000000000895,1
243.56666666666663,-24.99999999999823,0
243.6033333333333,-24.99999999999823,1
243.63333333333333,-37.500000000000895,0
243.64,-66.66666666666825,0
243.59666666666664,-55.55555555555521,1
243.58666666666667,-44.4444444444448,0
243.58333333333331,-28.571428571430317,1
243.60333333333335,-14.285714285717187,1
243.56333333333333,-57.14285714285656,0
243.56333333333333,-33.333333333334906,1
243.57,-50.0,1
243.57,-16.666666666669823,1
243.57,-16.666666666669823,0
243.98666666666665,-59.375000000000135,1
244.03333333333333,-53.125000000000036,0
244.1,-56.24999999999986,0
244.4766666666666,-40.909090909091375,0
244.54666666666665,-54.54545454545431,1
244.64666666666665,-30.769230769231612,1
244.7,-15.384615384614714,1
244.9533333333333,-29.41176470588255,0
246.16666666666663,-93.33333333333373,0
246.22,-73.33333333333294,0
246.15,-23.80952380952355,0
246.15,-38.095238095238216,0
246.1133333333333,-33.33333333333378,1
246.09000000000003,-14.285714285714672,1
246.0966666666667,-14.285714285714672,0
246.11000000000004,-23.80952380952355,1
246.10666666666668,-50.0,1
246.11,-50.0,0
246.11666666666667,-66.66666666666825,1
246.1233333333333,-81.81818181818275,0
243.13333333333333,-19.999999999998863,0
243.1266666666667,-74.99999999999824,1
243.17333333333332,-62.49999999999911,0
243.23666666666665,-50.00000000000001,0
243.25666666666663,-25.000000000001783,0
243.30666666666667,-62.49999999999911,0
243.31666666666663,-37.500000000000895,1
243.33333333333331,-50.00000000000001,0
243.41333333333333,-50.0,1
243.44000000000003,-20.0000000000017,0
243.44666666666672,-20.0000000000017,1
243.45000000000007,-10.000000000002274,0
243.46000000000004,-0.0,0
243.4733333333334,-30.000000000001133,1
243.47333333333336,-0.0,0
243.48666666666668,-20.0000000000017,1
243.49000000000007,-15.384615384614714,0
243.51,-38.461538461538964,0
243.4933333333333,-27.272727272725863,0
243.50333333333333,-27.272727272725863,0
243.50666666666663,-36.36363636363706,0
243.51,-54.54545454545431,0
243.5133333333333,-45.45454545454569,1
243.51333333333332,-45.45454545454569,0
243.51333333333335,-45.45454545454569,1
243.51666666666668,-36.36363636363706,1
243.5333333333334,-27.272727272725863,0
243.55000000000007,-40.000000000000576,0
243.5666666666667,-40.000000000000576,1
243.58,-57.14285714285889,0
243.58333333333331,-57.14285714285889,0
243.58666666666664,-71.42857142857258,0
243.58333333333331,-66.66666666666825,1
243.52,-28.57142857142741,1
243.51,-16.66666666666588,0
243.37,-30.43478260869539,1
243.38,-30.000000000000192,0
243.41,-23.333333333333908,0
243.44666666666663,-33.333333333333336,1
243.5533333333333,-19.999999999999808,1
243.59666666666664,-30.000000000000192,0
243.63333333333333,-30.000000000000192,0
243.67,-33.333333333333336,0
243.61999999999995,-16.666666666667194,0
243.58,-23.07692307692375,1
243.54,-44.4444444444448,1
243.50666666666663,-14.285714285717187,1
243.48,-9.09090909090862,0
243.45,-27.272727272725863,1
243.38,-7.692307692307187,1
243.50333333333336,-21.052631578947604,0
243.55000000000007,-26.31578947368413,0
243.59000000000003,-36.84210526315718,0
243.63,-41.1764705882349,0
243.69666666666672,-50.00000000000089,1
243.7433333333333,-71.42857142857113,1
243.83666666666664,-61.53846153846187,1
243.87,-61.53846153846187,1
243.9,-69.99999999999885,0
243.92,-59.999999999999424,0
243.95666666666665,-80.00000000000115,1
243.98333333333332,-75.00000000000179,0
244.00666666666663,-87.50000000000091,0
243.9966666666666,-41.66666666666706,1
243.9633333333333,-24.999999999998817,0
243.94666666666663,-19.999999999998863,0
243.91333333333333,-9.999999999999432,0
243.89,-9.999999999999432,1
243.86666666666665,-9.09090909090862,0
243.85,-18.18181818181724,0
243.33666666666667,-39.999999999999616,0
243.31666666666663,-27.272727272725863,0
243.31666666666663,-27.272727272725863,1
243.2866666666666,-21.428571428572152,0
243.27999999999997,-21.428571428572152,0
243.26999999999995,-28.57142857142886,1
243.26,-28.57142857142886,1
243.25,-7.142857142856707,0
243.27666666666667,-27.272727272725863,1
243.29333333333332,-18.18181818181724,1
243.31,-0.0,1
243.5533333333333,-50.00000000000055,1
243.67333333333332,-50.00000000000055,0
243.72666666666672,-61.538461538461455,1
243.76333333333335,-70.83333333333387,1
243.85666666666668,-68.18181818181765,0
243.9,-68.18181818181765,1
