adi14_current,stoch_rsi_14_current,class
28.5086304682157,100.0,1
28.138500306321486,95.6193041181328,1
28.889236045258755,100.0,0
29.839196304385656,100.0,1
30.1271380224288,91.26723929384715,1
30.39451247489746,100.0,0
30.64278875218976,91.04485588976624,0
29.654132731555194,91.04485588976624,0
28.736094998108808,80.65900828262838,0
26.808864225706376,47.10473139803856,1
25.01929279418984,18.114273800187064,1
23.82751702419544,87.27427147493471,1
24.669145416417518,50.63369496578653,0
21.868108022296845,16.25870698135886,1
18.93572576097408,0.0,1
16.909175483037668,19.99722085346585,1
16.71153528419644,52.247124095496886,1
17.33874074742247,65.41630055570515,1
18.274806785425397,77.31529121644724,0
18.521745256582424,42.492268864146226,1
18.167628804815713,73.85038129375035,0
17.838806385318048,73.85038129375035,1
16.68817326665854,48.20598456844496,0
14.074892976867886,34.68016337260493,0
11.723718980900257,59.07453707633842,1
11.781263603796566,81.57748574983876,0
12.217731914307196,81.57748574983876,1
12.321318526539313,100.0,1
9.841398879857568,21.344353790494093,0
9.479940862592802,85.16067082974463,1
9.669916171077269,47.872566859533364,1
9.846321814669997,100.0,1
10.01012705514896,100.0,0
36.066683634769795,51.17347630761281,1
35.901222962108825,60.38213367781202,0
35.747580908923624,53.64109123823603,0
30.407514357618858,56.73892330768643,0
29.630795677328607,28.074346063089763,1
27.828190657430497,27.14521603864653,1
27.49926336354553,55.02432458915143,1
28.178075905958515,49.9573019241618,0
20.97154111331691,0.0,0
22.22618143909097,40.685717256242974,0
21.022582531595226,96.13692187877035,0
20.640385946514307,83.65620794864253,0
18.443075284331172,88.33454660443716,1
18.029949940459744,100.0,1
17.77453904853629,100.0,0
17.75913036032934,90.65426261383531,1
18.89200066982739,45.71769207521586,1
16.85596897350981,45.14023347990386,0
16.43903175848917,0.0,1
16.289187371129106,0.0,0
26.36142655977246,92.20395515751265,0
23.5180218814308,2.7141294901922466,1
22.27543432637408,25.70314745084002,0
18.921429054368936,46.63159785095691,0
18.61680868381536,83.19099685973963,0
17.202181312156945,16.708620916030778,0
16.52774150659339,59.765692398602866,1
15.901475972855765,37.79479690772285,0
16.360571372737304,28.476996527708703,1
14.799968119111641,83.94939056617491,0
14.428757218865249,83.94939056617491,1
14.084061382922178,100.0,0
14.132824171475525,100.0,0
13.34574201489194,48.37268506164109,1
12.614880012350055,90.97026693738823,0
11.936222438561153,60.409908302721284,1
12.060965966298456,96.68050150455852,0
11.728211985074987,54.879864698513906,0
10.551203324066408,99.72813516405235,0
11.592449135621324,99.72813516405235,0
12.559320246350902,87.71818431464987,0
12.074671102857986,61.85059786979043,0
11.624639755328849,74.8558425022343,1
11.206753504051797,74.8558425022343,0
10.894874503855425,74.8558425022343,1
10.965592863192587,88.80712605132376,1
11.471529205555123,100.0,0
11.941327237748927,84.38039864214826,0
12.816823244868123,64.67527056395471,1
13.6297838229074,64.67527056395471,0
15.187370909879636,59.37525096117794,0
16.633701776353846,4.7328939332397075,0
17.047087438593024,4.7328939332397075,1
13.647362654291616,100.0,1
12.703805468948413,100.0,0
19.612686809556244,88.98375557720291,1
21.5913002090508,97.33353953636237,0
23.42858408001002,99.9887940515733,0
24.812100966834027,92.37089664886213,1
29.967589134721035,95.14327495117088,1
31.34619330779241,87.29779602613846,0
32.62632575421583,87.29779602613846,0
32.74811854588482,84.26482981448916,0
19.198150644333147,91.96335811126708,0
14.166002276412605,84.7822423933027,1
13.786046332060563,45.24559670624518,1
12.916829735310724,100.0,1
13.554546592099767,100.0,0
14.14671224483238,73.35173393948969,1
16.677219901394473,100.0,1
24.034625244078974,83.20548203416988,0
24.433777777973873,73.46664913090882,0
24.80441941659055,46.5799301717969,0
24.33503920954046,46.57993017179693,0
23.89918616013681,12.782206237349241,1
23.085019319478427,0.0,1
22.225102817930544,28.03718340851975,1
21.386482110013713,28.03718340851975,1
21.2785551900486,41.98050090227376,0
21.178337335795323,54.74475354537569,0
20.594244309146546,19.791215705546048,1
19.582386587333122,24.603018275446768,0
18.642804417077798,0.0,0
25.380583426642843,89.5093114708942,1
22.66283896773444,100.0,0
21.318524807058505,91.67590488561798,0
20.07023308643088,99.07300654103969,0
18.85586140719128,99.07300654103969,1
17.7821959635366,100.0,0
16.7852209087144,91.60310406029741,0
28.047482860480557,89.38507814669218,0
25.182504638209327,90.51016299775259,0
25.182504638209327,90.51016299775259,1
22.225217024745675,85.75895175068598,0
21.40025334139247,84.34089184237841,0
20.250489922857888,75.26046225985358,1
19.182852462790045,75.26046225985358,1
18.512652009814406,96.12914387171419,0
18.068313226042694,89.02189991712179,1
17.981200619141127,99.60371264094181,1
18.19813323954607,100.0,1
25.539220006270078,42.05776173905254,1
26.142946115175576,42.05776173905254,0
26.186910541257912,5.437578273662547,1
25.63961220031826,0.0,1
26.037022757697468,11.125949367706623,0
25.60473829445279,11.12594936770667,1
