stochk_14_current,wpr14_current,class
55.55555555555623,-22.222222222220818,1
75.04713423831045,-23.529411764705984,1
80.02450980392116,-5.8823529411760775,0
82.10784313725487,-12.499999999999332,1
85.60924369747927,-21.428571428572152,1
86.30952380952391,-7.142857142856707,0
88.09523809523813,-14.285714285713414,0
87.91208791208794,-15.384615384614374,0
89.92673992674055,-23.07692307692375,0
84.61538461538484,-46.15384615384532,1
74.35897435897455,-46.15384615384532,1
58.13908313908306,-0.0,1
68.18181818181891,-33.33333333333176,0
47.222222222223365,-62.49999999999911,1
37.50000000000088,-74.99999999999824,1
37.50000000000088,-62.49999999999911,1
33.333333333334515,-37.500000000000895,1
45.83333333333361,-24.99999999999823,1
62.500000000000284,-12.499999999999115,0
75.00000000000058,-37.500000000000895,1
75.00000000000058,-24.99999999999823,0
70.83333333333421,-24.99999999999823,1
70.83333333333421,-37.500000000000895,0
16.6666666666659,-66.66666666666825,0
31.48148148148163,-55.55555555555521,1
29.62962962962989,-44.4444444444448,0
49.735449735449656,-28.571428571430317,1
85.71428571428288,-14.285714285717187,1
33.333333333334735,-57.14285714285656,0
34.92063492063627,-33.333333333334906,1
42.06349206349282,-50.0,1
44.44444444444502,-16.666666666669823,1
61.111111111110056,-16.666666666669823,0
47.91666666666654,-59.375000000000135,1
44.27083333333314,-53.125000000000036,0
43.74999999999983,-56.24999999999986,0
32.555018786902735,-40.909090909091375,0
45.005611672278064,-54.54545454545431,1
59.44055944055873,-30.769230769231612,1
62.820512820511986,-15.384615384614714,1
81.1463046757168,-29.41176470588255,0
26.666666666666387,-93.33333333333373,0
8.88888888888836,-73.33333333333294,0
54.761904761904546,-23.80952380952355,0
70.89947089947083,-38.095238095238216,0
61.904761904761756,-33.33333333333378,1
73.01587301587256,-14.285714285714672,1
79.36507936507894,-14.285714285714672,0
85.71428571428531,-23.80952380952355,1
82.664995822891,-50.0,1
58.333333333333705,-50.0,0
49.99999999999997,-66.66666666666825,1
42.42424242424193,-81.81818181818275,0
66.66666666666761,-19.999999999998863,0
62.247474747475366,-74.99999999999824,1
51.13636363636466,-62.49999999999911,0
45.83333333333361,-50.00000000000001,0
45.83333333333361,-25.000000000001783,0
54.166666666666366,-62.49999999999911,0
50.0,-37.500000000000895,1
54.166666666666366,-50.00000000000001,0
46.6666666666659,-50.0,1
56.66666666666533,-20.0000000000017,0
66.66666666666477,-20.0000000000017,1
79.99999999999828,-10.000000000002274,0
83.33333333333142,-0.0,0
86.66666666666458,-30.000000000001133,1
83.33333333333144,-0.0,0
86.66666666666553,-20.0000000000017,1
79.74358974358908,-15.384615384614714,0
84.61538461538456,-38.461538461538964,0
36.3636363636362,-27.272727272725863,0
54.54545454545517,-27.272727272725863,0
66.66666666666752,-36.36363636363706,0
75.757575757577,-54.54545454545431,0
63.63636363636465,-45.45454545454569,1
54.54545454545517,-45.45454545454569,0
51.51515151515144,-45.45454545454569,1
48.48484848484856,-36.36363636363706,1
48.48484848484856,-27.272727272725863,0
56.666666666667226,-40.000000000000576,0
61.515151515151814,-40.000000000000576,1
57.61904761904742,-57.14285714285889,0
43.80952380952266,-57.14285714285889,0
38.095238095236546,-71.42857142857258,0
36.507936507934886,-66.66666666666825,1
66.66666666666802,-28.57142857142741,1
76.19047619047716,-16.66666666666588,0
42.31884057970973,-30.43478260869539,1
51.7632850241545,-30.000000000000192,0
71.20772946859908,-23.333333333333908,0
68.88888888888879,-33.333333333333336,1
72.22222222222223,-19.999999999999808,1
77.7777777777778,-30.000000000000192,0
79.99999999999993,-30.000000000000192,0
75.55555555555544,-33.333333333333336,0
71.75925925925921,-16.666666666667194,0
68.68945868945805,-23.07692307692375,1
66.83760683760579,-44.4444444444448,1
54.456654456653865,-14.285714285717187,1
54.68975468975446,-9.09090909090862,0
62.77056277056304,-27.272727272725863,1
69.1142191142188,-7.692307692307187,1
77.1929824561402,-21.052631578947604,0
78.94736842105239,-26.31578947368413,0
75.43859649122804,-36.84210526315718,0
68.73065015479894,-41.1764705882349,0
62.919246646027176,-50.00000000000089,1
50.26260504201707,-71.42857142857113,1
34.98168498168489,-61.53846153846187,1
35.89743589743573,-61.53846153846187,1
32.30769230769172,-69.99999999999885,0
32.82051282051253,-59.999999999999424,0
36.66666666666652,-80.00000000000115,1
38.33333333333298,-75.00000000000179,0
29.166666666665826,-87.50000000000091,0
20.00000000000044,-41.66666666666706,1
47.22222222222239,-24.999999999998817,0
62.777777777778084,-19.999999999998863,0
76.1111111111116,-9.999999999999432,0
83.33333333333431,-9.999999999999432,1
83.93939393939486,-9.09090909090862,0
87.272727272728,-18.18181818181724,0
62.35294117647146,-39.999999999999616,0
69.49494949494998,-27.272727272725863,0
69.49494949494998,-27.272727272725863,1
80.21978021978012,-21.428571428572152,0
85.71428571428595,-21.428571428572152,0
85.71428571428595,-28.57142857142886,1
76.19047619047636,-28.57142857142886,1
71.42857142857117,-7.142857142856707,0
76.6233766233772,-27.272727272725863,1
80.08658008658112,-18.18181818181724,1
81.81818181818281,-0.0,1
64.10256410256358,-50.00000000000055,1
56.410256410255954,-50.00000000000055,0
48.71794871794831,-61.538461538461455,1
43.16239316239307,-70.83333333333387,1
37.37373737373759,-68.18181818181765,0
38.38383838383855,-68.18181818181765,1
