cci20_previous,uosc_current,class
-21.93861004597612,21.73981761800549,1
98.46214934662865,25.79184034575511,1
99.44153633195806,27.410741074107047,0
109.86786369240049,25.458241947805533,1
117.85839417655228,22.059716360914866,1
102.54540268262848,22.53823196687541,0
101.5148840559035,17.008123195731017,0
100.2514032848662,18.001621612297242,0
89.62036625169803,21.294207393056475,0
68.31116765052944,18.823053158624145,1
32.404516569699936,18.40018779047218,1
17.310135879888527,24.898530091291583,1
48.915501406250044,20.041599065123695,0
-16.972449761541213,22.632547091945906,1
-11.852478199791927,15.68505663134856,1
-30.68672425356317,17.598505696236007,1
-20.425177931153435,25.244667205092536,1
-5.560417832040456,25.249840853002485,1
22.40958172723565,24.48608887900327,0
35.295075132829474,20.68233353947642,1
21.399168773441684,23.03139518331161,0
12.854910300272394,25.313688402191204,1
17.648530028721336,27.7983641514426,0
-22.11970965669456,32.136985555576594,0
-44.81815314474896,31.831787260358386,1
-25.72284948559573,33.67464714709917,0
-2.3439712122770304,30.50520907663741,1
8.251245230768731,27.385426892815772,1
-21.24280038042813,38.083953960731904,0
-14.312606738079404,45.29616724738735,1
0.9751093585219838,38.155061019383176,1
10.273256892477988,41.79587880618865,1
19.401388098101425,42.747729538901595,0
151.9226115840708,11.016211916399515,1
108.8270309077913,10.700751923449292,0
128.3364314514768,11.397583103340258,0
27.99312385517817,25.58364296705452,0
40.903421667583906,26.44745501293643,1
-32.190404548676966,20.504068649828078,1
-40.56706791491077,20.10329201522816,1
51.90944694485402,16.042671807504803,0
-8.995491459682867,18.091746962714303,0
-16.855271087085068,13.347815385319764,0
7.21770126800119,25.024668661996568,0
25.74828855910637,22.66507885341846,0
1.570210856888903,19.125336279995143,1
24.008482703539052,18.533360537814385,1
35.7745350951466,23.974840469084764,0
25.988900499439648,26.17734288287027,1
49.044444732569396,21.78115975099018,1
9.0097089461724,21.20493225785105,0
14.074815463533866,22.597534560382535,1
2.074795549648184,17.862198395321165,0
1.6931903945987798,42.98227227399214,0
12.67003486075333,40.04091994637346,1
6.090511470373088,38.65157398992244,0
6.002632994934852,29.467876039305487,0
2.1022616972241503,25.602943840185226,0
10.32250636708142,31.432506261682025,0
0.20060782566124225,33.68136187095412,1
7.9331357560764895,33.28713458506989,0
-10.512683350294218,30.263857267044934,1
1.0140571852020823,35.26533304614739,0
10.155883880388977,35.51621465746649,1
8.239774257040409,35.2383180954608,0
9.782567757734258,30.00099267330749,0
14.788556684189846,33.81157340985156,1
2.145695416204102,41.478646253021104,0
9.924854323598376,35.67655987503232,1
9.226674290765313,42.090403875300176,0
18.167946716552493,44.50969795231997,0
-1.5567982264922733,24.090984102535906,0
9.666897424865118,23.367220712535282,0
20.297657338070763,22.030616651112343,0
13.134358230237774,20.930118181710338,0
0.8352073297805495,23.598901098901,1
0.9410111478481138,20.58849779661936,0
1.5732571457343036,19.07207006191723,1
3.4680404310444994,23.222917307625213,1
5.687527252733164,30.54741988643785,0
11.818834156428812,35.26624442880442,0
10.147069082510924,35.5825206580791,1
11.967321798105953,38.38355303274524,0
9.443652168006508,40.77758625813279,0
12.859754283041301,37.97508151814147,0
0.2132241625619085,39.402789901124265,1
-4.000354626029926,23.64773866535798,1
3.2464791933174246,26.14139814600563,0
30.059927471407587,40.707841220730856,1
53.19638857036657,38.199920714206435,0
81.3145467002538,34.934560388860234,0
74.3504030470735,31.093998491570744,1
81.69973293605865,22.414338104076982,1
72.76839284692278,21.35090829231859,0
53.55319289403757,19.118047448054604,0
47.95776900458728,19.248889408464443,0
-5.7915725313419575,19.21139380253013,0
11.722195488176482,46.43433231459743,1
12.39264619035711,56.2979917565609,1
13.50377462865776,56.73128261177804,1
25.677465313541607,56.45098948670705,0
47.30146802286857,43.778893660313855,1
38.023243575150225,27.796629444037556,1
61.333038218453396,21.582156528700303,0
57.36154804477928,24.40108987600564,0
40.61701965325139,21.897842594564352,0
30.899287469173284,23.470062016355136,0
23.614745532899367,22.459849038908096,1
16.207691846396994,17.539360562863887,1
8.223205462261372,21.363808605188233,1
7.776476739407178,21.907519585081612,1
2.7058180499685762,22.359463608892398,0
10.713579423575938,21.19047920468336,0
9.712520242697996,22.151191698592022,1
0.6783551786306558,28.53547406734099,0
-8.94465644412215,26.705413759481825,0
-20.00836688860914,32.89703926646609,1
-3.3938866056316583,36.99339763163145,0
4.7521805719972035,30.552163548508094,0
10.300130872784028,27.50345713227412,0
11.893405724981433,25.68820737495389,1
13.609423164598494,25.71765347360269,0
21.45268599887544,23.572125142941925,0
12.383244020872727,31.488374427887784,0
22.634572329555308,28.90510468289171,0
22.634572329555308,28.90510468289171,1
49.93076117163393,20.766228061634067,0
41.92757825674757,21.60682454800091,0
34.02023926196701,20.9438278518816,1
17.073708397702525,22.39925482890425,1
19.24499833813184,30.2793265847447,0
36.18590817735621,27.290729283839113,1
29.4195555761516,31.71212972033501,1
35.2728580864134,33.113674577969014,1
93.41935005226318,25.780138262747503,1
38.33324415451012,23.77513642819716,0
38.25601746660492,21.334289747762075,1
21.18985839706248,18.502682733675357,1
26.090087134056763,17.408876232405245,0
20.7488672030532,19.015269484327774,1
