sma200_current,wpr14_current,class
243.0855,-22.222222222220818,1
243.1065,-23.529411764705984,1
243.112,-5.8823529411760775,0
243.1185,-12.499999999999332,1
243.1245,-21.428571428572152,1
243.1325,-7.142857142856707,0
243.139,-14.285714285713414,0
243.1455,-15.384615384614374,0
243.152,-23.07692307692375,0
243.157,-46.15384615384532,1
243.1625,-46.15384615384532,1
243.178,-0.0,1
243.192,-33.33333333333176,0
243.209,-62.49999999999911,1
243.2205,-74.99999999999824,1
243.231,-62.49999999999911,1
243.238,-37.500000000000895,1
243.2445,-24.99999999999823,1
243.249,-12.499999999999115,0
243.253,-37.500000000000895,1
243.2575,-24.99999999999823,0
243.2625,-24.99999999999823,1
243.267,-37.500000000000895,0
243.289,-66.66666666666825,0
243.297,-55.55555555555521,1
243.301,-44.4444444444448,0
243.306,-28.571428571430317,1
243.3225,-14.285714285717187,1
243.3475,-57.14285714285656,0
243.3505,-33.333333333334906,1
243.354,-50.0,1
243.358,-16.666666666669823,1
243.3635,-16.666666666669823,0
243.5275,-59.375000000000135,1
243.5395,-53.125000000000036,0
243.5515,-56.24999999999986,0
243.5955,-40.909090909091375,0
243.598,-54.54545454545431,1
243.6045,-30.769230769231612,1
243.6125,-15.384615384614714,1
243.643,-29.41176470588255,0
244.593,-93.33333333333373,0
244.6505,-73.33333333333294,0
244.78800000000004,-23.80952380952355,0
244.805,-38.095238095238216,0
244.8545,-33.33333333333378,1
244.909,-14.285714285714672,1
244.928,-14.285714285714672,0
244.946,-23.80952380952355,1
245.0145,-50.0,1
245.0415,-50.0,0
245.0535,-66.66666666666825,1
245.0655,-81.81818181818275,0
245.2155,-19.999999999998863,0
245.17050000000003,-74.99999999999824,1
245.158,-62.49999999999911,0
245.1265,-50.00000000000001,0
245.1195,-25.000000000001783,0
245.10050000000004,-62.49999999999911,0
245.094,-37.500000000000895,1
245.0875,-50.00000000000001,0
245.0315,-50.0,1
245.016,-20.0000000000017,0
245.007,-20.0000000000017,1
244.998,-10.000000000002274,0
244.98800000000003,-0.0,0
244.978,-30.000000000001133,1
244.971,-0.0,0
244.963,-20.0000000000017,1
244.958,-15.384615384614714,0
244.9515,-38.461538461538964,0
244.8865,-27.272727272725863,0
244.8795,-27.272727272725863,0
244.873,-36.36363636363706,0
244.865,-54.54545454545431,0
244.859,-45.45454545454569,1
244.8535,-45.45454545454569,0
244.841,-45.45454545454569,1
244.833,-36.36363636363706,1
244.824,-27.272727272725863,0
244.815,-40.000000000000576,0
244.807,-40.000000000000576,1
244.7985,-57.14285714285889,0
244.789,-57.14285714285889,0
244.779,-71.42857142857258,0
244.75800000000004,-66.66666666666825,1
244.566,-28.57142857142741,1
244.556,-16.66666666666588,0
244.4475,-30.43478260869539,1
244.44100000000003,-30.000000000000192,0
244.435,-23.333333333333908,0
244.428,-33.333333333333336,1
244.412,-19.999999999999808,1
244.406,-30.000000000000192,0
244.3975,-30.000000000000192,0
244.388,-33.333333333333336,0
244.13,-16.666666666667194,0
244.033,-23.07692307692375,1
244.0185,-44.4444444444448,1
244.00600000000003,-14.285714285717187,1
243.996,-9.09090909090862,0
243.9865,-27.272727272725863,1
243.966,-7.692307692307187,1
243.9405,-21.052631578947604,0
243.933,-26.31578947368413,0
243.92550000000003,-36.84210526315718,0
243.917,-41.1764705882349,0
243.9075,-50.00000000000089,1
243.897,-71.42857142857113,1
243.874,-61.53846153846187,1
243.8625,-61.53846153846187,1
243.8525,-69.99999999999885,0
243.841,-59.999999999999424,0
243.82800000000003,-80.00000000000115,1
243.815,-75.00000000000179,0
243.8035,-87.50000000000091,0
243.6735,-41.66666666666706,1
243.661,-24.999999999998817,0
243.6565,-19.999999999998863,0
243.652,-9.999999999999432,0
243.6485,-9.999999999999432,1
243.6455,-9.09090909090862,0
243.6405,-18.18181818181724,0
243.5285,-39.999999999999616,0
243.534,-27.272727272725863,0
243.534,-27.272727272725863,1
243.5445,-21.428571428572152,0
243.5475,-21.428571428572152,0
243.5505,-28.57142857142886,1
243.5545,-28.57142857142886,1
243.5605,-7.142857142856707,0
243.5685,-27.272727272725863,1
243.5715,-18.18181818181724,1
243.575,-0.0,1
243.6035,-50.00000000000055,1
243.61550000000003,-50.00000000000055,0
243.6205,-61.538461538461455,1
243.625,-70.83333333333387,1
243.6345,-68.18181818181765,0
243.64,-68.18181818181765,1
