sma200_current,sma200_previous,class
243.0855,243.0835,1
243.1065,243.101,1
243.112,243.1065,0
243.1185,243.112,1
243.1245,243.1185,1
243.1325,243.1245,0
243.139,243.1325,0
243.1455,243.139,0
243.152,243.1455,0
243.157,243.152,1
243.1625,243.157,1
243.178,243.17,1
243.192,243.1845,0
243.209,243.2035,1
243.2205,243.215,1
243.231,243.22550000000004,1
243.238,243.231,1
243.2445,243.238,1
243.249,243.2445,0
243.253,243.249,1
243.2575,243.253,0
243.2625,243.2575,1
243.267,243.2625,0
243.289,243.2855,0
243.297,243.2935,1
243.301,243.297,0
243.306,243.301,1
243.3225,243.3175,1
243.3475,243.3445,0
243.3505,243.3475,1
243.354,243.3505,1
243.358,243.354,1
243.3635,243.358,0
243.5275,243.5165,1
243.5395,243.5275,0
243.5515,243.5395,0
243.5955,243.5915,0
243.598,243.5955,1
243.6045,243.5995,1
243.6125,243.6045,1
243.643,243.6315,0
244.593,244.579,0
244.6505,244.6355,0
244.78800000000004,244.771,0
244.805,244.78800000000004,0
244.8545,244.8385,1
244.909,244.89,1
244.928,244.909,0
244.946,244.928,1
245.0145,245.0005,1
245.0415,245.0285,0
245.0535,245.0415,1
245.0655,245.0535,0
245.2155,245.218,0
245.17050000000003,245.1855,1
245.158,245.17050000000003,0
245.1265,245.13500000000005,0
245.1195,245.1265,0
245.10050000000004,245.11,0
245.094,245.10050000000004,1
245.0875,245.094,0
245.0315,245.0415,1
245.016,245.024,0
245.007,245.016,1
244.998,245.007,0
244.98800000000003,244.998,0
244.978,244.98800000000003,1
244.971,244.978,0
244.963,244.971,1
244.958,244.963,0
244.9515,244.958,0
244.8865,244.8935,0
244.8795,244.8865,0
244.873,244.8795,0
244.865,244.873,0
244.859,244.865,1
244.8535,244.859,0
244.841,244.8475,1
244.833,244.841,1
244.824,244.833,0
244.815,244.824,0
244.807,244.815,1
244.7985,244.807,0
244.789,244.7985,0
244.779,244.789,0
244.75800000000004,244.7695,1
244.566,244.5765,1
244.556,244.566,0
244.4475,244.455,1
244.44100000000003,244.4475,0
244.435,244.44100000000003,0
244.428,244.435,1
244.412,244.4175,1
244.406,244.412,0
244.3975,244.406,0
244.388,244.3975,0
244.13,244.1475,0
244.033,244.0465,1
244.0185,244.033,1
244.00600000000003,244.0185,1
243.996,244.00600000000003,0
243.9865,243.996,1
243.966,243.9705,1
243.9405,243.949,0
243.933,243.9405,0
243.92550000000003,243.933,0
243.917,243.92550000000003,0
243.9075,243.917,1
243.897,243.9075,1
243.874,243.88550000000004,1
243.8625,243.874,1
243.8525,243.8625,0
243.841,243.8525,0
243.82800000000003,243.841,1
243.815,243.82800000000003,0
243.8035,243.815,0
243.6735,243.68,1
243.661,243.6665,0
243.6565,243.661,0
243.652,243.6565,0
243.6485,243.652,1
243.6455,243.6485,0
243.6405,243.6455,0
243.5285,243.5275,0
243.534,243.5315,0
243.534,243.5315,1
243.5445,243.541,0
243.5475,243.5445,0
243.5505,243.5475,1
243.5545,243.5505,1
243.5605,243.5545,0
243.5685,243.5655,1
243.5715,243.5685,1
243.575,243.5715,1
243.6035,243.5975,1
243.61550000000003,243.609,0
243.6205,243.61550000000003,1
243.625,243.6205,1
243.6345,243.6315,0
243.64,243.6345,1
