ema50_current,ema50_previous,class
243.04244851562999,243.05081734269802,1
243.09723482203853,243.0801567765349,1
243.12724866225426,243.09723482203853,0
243.156699094496,243.12724866225426,1
243.1810730391989,243.156699094496,1
243.2141750962919,243.1810730391989,0
243.2414438595034,243.2141750962919,0
243.26764325945183,243.2414438595034,0
243.28766645258773,243.26764325945183,0
243.2920716897411,243.28766645258773,1
243.29630417249646,243.2920716897411,1
243.3358460758752,243.30490584953125,1
243.36835825758973,243.3507402272872,0
243.3818952129344,243.37771325986583,1
243.3884166211081,243.38922113110297,1
243.39263933389682,243.38825726589275,1
243.40653350945578,243.39263933389682,1
243.42564520011646,243.40653350945578,1
243.44915619207558,243.42564520011646,0
243.46144762562298,243.44915619207558,1
243.477792216164,243.46144762562298,0
243.49349584237004,243.477792216164,1
243.50588928220586,243.49349584237004,0
243.53107009325439,243.52442472476272,0
243.51574372563167,243.51255442376754,1
243.52518394693396,243.51574372563167,0
243.53548117421505,243.52518394693396,1
243.56641740178765,243.5545785459897,1
243.5552229905087,243.56219727325947,0
243.55697895166531,243.5552229905087,1
243.55474448297244,243.55697895166531,1
243.5598271723899,243.55474448297244,1
243.5647105406536,243.5598271723899,0
244.18102591608482,244.13457566301184,1
244.24318168121968,244.18102591608482,0
244.29321601201,244.24318168121968,0
244.55473397200885,244.49865839231296,0
244.59500498737748,244.55473397200885,1
244.65700775575604,244.6246263992505,1
244.69964402460653,244.65700775575604,1
244.8391419196336,244.8000337612191,0
246.10498976297816,246.11119101088147,0
246.1106962145661,246.1010535779913,0
246.0194204556496,246.00222037498435,0
246.0223405013616,246.0194204556496,0
246.03074637938067,246.02153319613763,1
246.08648833757584,246.06322380568764,1
246.10699971877625,246.08648833757584,0
246.11702277872755,246.10699971877625,1
246.21835573997515,246.20774843612026,1
246.2333196869252,246.2252391078703,0
246.23139942716784,246.2333196869252,1
246.2274737191914,246.23139942716784,0
243.47562457812992,243.48892970336541,0
243.45194484822804,243.46644913507347,1
243.44254453094032,243.45194484822804,0
243.4193215270121,243.4249696349054,0
243.4223516561689,243.4193215270121,0
243.41068678503564,243.4213413881039,0
243.40829314679337,243.41068678503564,1
243.40391262419402,243.40829314679337,0
243.35169122077892,243.36018757137555,1
243.3612556220941,243.3540655555481,0
243.3712317520857,243.3612556220941,1
243.38719265139287,243.3712317520857,0
243.41503967685944,243.38719265139287,0
243.4226666918136,243.41503967685944,1
243.4436001301281,243.4226666918136,0
243.45464230130239,243.4436001301281,1
243.47824336277438,243.45464230130239,0
243.48731337043762,243.47824336277438,0
243.4738747829836,243.4535383943004,0
243.4928000608603,243.4738747829836,0
243.5033799701416,243.4928000608603,0
243.50386102766103,243.5033799701416,0
243.5082447888069,243.50386102766103,1
243.5130702431192,243.5082447888069,0
243.52154726678987,243.5177064639288,1
243.53038622929424,243.52154726678987,1
243.54280013444543,243.53038622929424,0
243.55141925652737,243.54280013444543,0
243.55970037382176,243.55141925652737,1
243.56765674141843,243.55970037382176,0
243.57468748923145,243.56765674141843,0
243.5744529259767,243.57468748923145,0
243.580026773318,243.57729558812068,1
243.4807546650657,243.4786918402208,1
243.48089577871468,243.4807546650657,0
243.4136662072789,243.38654096331402,1
243.46363079689957,243.4136662072789,0
243.52131994420768,243.46363079689957,0
243.56314125002723,243.52131994420768,1
243.72565081729766,243.67285872345792,1
243.76031268948935,243.72565081729766,0
243.7936152725756,243.76031268948935,0
243.82169030338383,243.7936152725756,0
243.47943632327932,243.4785969895356,0
243.4577724455459,243.45285561946952,1
243.45673407018205,243.4577724455459,1
243.46750112130297,243.45673407018205,1
243.49598663110697,243.46750112130297,0
243.51489831947208,243.49598663110697,1
243.58457806898528,243.5502679699613,1
243.76641211403037,243.72280836140885,0
243.8031571362052,243.76641211403037,0
243.82939082912742,243.8031571362052,0
243.85398214441014,243.82939082912742,0
243.87736915796813,243.85398214441014,1
243.8895414750127,243.87736915796813,1
243.913461844291,243.90048910839386,1
243.9228578186069,243.913461844291,1
243.93519328660145,243.9228578186069,0
243.95342100085227,243.93519328660145,0
243.96124994942073,243.95342100085227,1
243.96570385355844,243.96124994942073,0
243.9666751315292,243.96570385355844,0
243.7866210868114,243.78249283555442,1
243.79681520218614,243.7881330243901,0
243.8000081230579,243.79681520218614,0
243.8051565838701,243.8000081230579,0
243.81255756573015,243.8051565838701,1
243.82358988163492,243.81255756573015,0
243.82904077833697,243.82358988163492,0
243.32024394552025,243.3362586496526,0
243.32228789451136,243.32422517571862,0
243.32228789451136,243.32422517571862,1
243.36140400928653,243.35205431816294,0
243.3716142565921,243.36140400928653,0
243.3768889280473,243.3716142565921,1
243.38257035500945,243.3768889280473,1
243.4034753190044,243.38257035500945,0
243.4409310230653,243.41963891186245,1
243.4659233235105,243.4409310230653,1
243.49961948710109,243.4659233235105,1
243.73536917847224,243.69113701774154,1
243.8156778387047,243.77663953392852,0
243.83835249684574,243.8156778387047,1
243.85560277871136,243.83835249684574,1
243.91716470418132,243.8936252381765,0
243.93916744850443,243.91716470418132,1
