sma200_current,stochk_14_previous,class
243.0855,51.515151515151786,1
243.1065,73.52207977208016,1
243.112,75.04713423831045,0
243.1185,80.02450980392116,1
243.1245,82.10784313725487,1
243.1325,85.60924369747927,0
243.139,86.30952380952391,0
243.1455,88.09523809523813,0
243.152,87.91208791208794,0
243.157,89.92673992674055,1
243.1625,84.61538461538484,1
243.178,65.59829059829039,1
243.192,65.40404040404047,0
243.209,61.11111111111219,1
243.2205,37.50000000000088,1
243.231,37.50000000000088,1
243.238,37.50000000000088,1
243.2445,33.333333333334515,1
243.249,45.83333333333361,0
243.253,62.500000000000284,1
243.2575,75.00000000000058,0
243.2625,75.00000000000058,1
243.267,70.83333333333421,0
243.289,16.6666666666659,0
243.297,25.92592592592545,1
243.301,31.48148148148163,0
243.306,29.62962962962989,1
243.3225,80.95238095237848,1
243.3475,28.57142857143036,0
243.3505,33.333333333334735,1
243.354,34.92063492063627,1
243.358,42.06349206349282,1
243.3635,44.44444444444498,0
243.5275,52.97181372549016,1
243.5395,47.91666666666654,0
243.5515,44.27083333333314,0
243.5955,22.555018786902732,0
243.598,32.555018786902735,1
243.6045,53.0303030303026,1
243.6125,59.44055944055873,1
243.643,74.81146304675703,0
244.593,42.222222222221696,0
244.6505,8.88888888888836,0
244.78800000000004,38.88888888888905,0
244.805,54.761904761904546,0
244.8545,66.66666666666664,1
244.909,65.07936507936472,1
244.928,73.01587301587256,0
244.946,79.36507936507894,1
245.0145,80.37741412354431,1
245.0415,73.01587301587355,0
245.0535,58.333333333333705,1
245.0655,49.99999999999997,0
245.2155,73.3333333333339,0
245.17050000000003,73.08080808080898,1
245.158,62.247474747475366,0
245.1265,41.666666666667254,0
245.1195,45.83333333333361,0
245.10050000000004,49.99999999999999,0
245.094,54.166666666666366,1
245.0875,50.0,0
245.0315,50.83333333333227,1
245.016,46.6666666666659,0
245.007,56.66666666666533,1
244.998,66.66666666666477,0
244.98800000000003,79.99999999999828,0
244.978,83.33333333333142,1
244.971,86.66666666666458,0
244.963,83.33333333333144,1
244.958,86.66666666666553,0
244.9515,79.74358974358908,0
244.8865,27.272727272726726,0
244.8795,36.3636363636362,0
244.873,54.54545454545517,0
244.865,66.66666666666752,0
244.859,75.757575757577,1
244.8535,63.63636363636465,0
244.841,48.48484848484856,1
244.833,51.51515151515144,1
244.824,48.48484848484856,0
244.815,48.48484848484856,0
244.807,56.666666666667226,1
244.7985,61.515151515151814,0
244.789,57.61904761904742,0
244.779,43.80952380952266,0
244.75800000000004,40.47619047618873,1
244.566,66.66666666666802,1
244.556,66.66666666666802,0
244.4475,36.66666666666661,1
244.44100000000003,42.31884057970973,0
244.435,51.76328502415447,0
244.428,71.20772946859908,1
244.412,70.00000000000016,1
244.406,72.22222222222223,0
244.3975,77.77777777777784,0
244.388,79.99999999999993,0
244.13,64.35185185185192,0
244.033,72.96296296296242,1
244.0185,68.68945868945805,1
244.00600000000003,66.83760683760579,1
243.996,54.456654456653865,0
243.9865,54.68975468975446,1
243.966,71.21212121212145,1
243.9405,81.82957393483719,0
243.933,77.1929824561402,0
243.92550000000003,78.94736842105239,0
243.917,75.43859649122804,0
243.9075,68.73065015479894,1
243.897,62.919246646027176,1
243.874,40.91117216117235,1
243.8625,34.98168498168489,1
243.8525,35.89743589743573,0
243.841,32.30769230769172,0
243.82800000000003,32.82051282051257,1
243.815,36.66666666666652,0
243.8035,38.33333333333298,0
243.6735,15.555555555555983,1
243.661,34.444444444445004,0
243.6565,47.22222222222239,0
243.652,62.777777777778084,0
243.6485,76.1111111111116,1
243.6455,83.33333333333431,0
243.6405,83.93939393939486,0
243.5285,57.777777777778866,0
243.534,66.66666666666735,0
243.534,66.66666666666735,1
243.5445,76.54012654012661,0
243.5475,80.21978021978012,0
243.5505,85.71428571428595,1
243.5545,85.71428571428595,1
243.5605,76.19047619047632,0
243.5685,73.80952380952398,1
243.5715,76.62337662337724,1
243.575,80.08658008658112,1
243.6035,61.53846153846101,1
243.61550000000003,64.10256410256358,0
243.6205,56.410256410255954,1
243.625,48.71794871794831,1
243.6345,37.60683760683783,0
243.64,37.37373737373759,1
