adi14_current,uosc_previous,class
28.5086304682157,21.379885046451914,1
28.138500306321486,28.3890230229244,1
28.889236045258755,25.79184034575511,0
29.839196304385656,27.410741074107047,1
30.1271380224288,25.458241947805533,1
30.39451247489746,22.059716360914866,0
30.64278875218976,22.53823196687541,0
29.654132731555194,17.008123195731017,0
28.736094998108808,18.001621612297242,0
26.808864225706376,21.294207393056475,1
25.01929279418984,18.823053158624145,1
23.82751702419544,19.400939442852376,1
24.669145416417518,22.734051092864657,0
21.868108022296845,19.806918388699184,1
18.93572576097408,23.976680400614004,1
16.909175483037668,16.410981582396726,1
16.71153528419644,17.598505696236007,1
17.33874074742247,25.244667205092536,1
18.274806785425397,25.249840853002485,0
18.521745256582424,24.48608887900327,1
18.167628804815713,20.68233353947642,0
17.838806385318048,23.03139518331161,1
16.68817326665854,25.313688402191204,0
14.074892976867886,26.07199817726034,0
11.723718980900257,23.841362363563217,1
11.781263603796566,31.831787260358386,0
12.217731914307196,33.67464714709917,1
12.321318526539313,25.12902520365177,1
9.841398879857568,34.5283789301762,0
9.479940862592802,38.083953960731904,1
9.669916171077269,45.29616724738735,1
9.846321814669997,38.155061019383176,1
10.01012705514896,41.79587880618865,0
36.066683634769795,16.78437534159132,1
35.901222962108825,11.016211916399515,0
35.747580908923624,10.700751923449292,0
30.407514357618858,25.46232298297667,0
29.630795677328607,25.58364296705452,1
27.828190657430497,25.773341714390234,1
27.49926336354553,20.504068649828078,1
28.178075905958515,18.12724943793112,0
20.97154111331691,26.85638496189079,0
22.22618143909097,10.411822660098213,0
21.022582531595226,27.989222883602626,0
20.640385946514307,25.024668661996568,0
18.443075284331172,18.11371851699863,1
18.029949940459744,17.01057028925865,1
17.77453904853629,18.533360537814385,0
17.75913036032934,23.974840469084764,1
18.89200066982739,30.05736330544499,1
16.85596897350981,24.4884357996983,0
16.43903175848917,21.20493225785105,1
16.289187371129106,22.597534560382535,0
26.36142655977246,33.06260287190153,0
23.5180218814308,54.05018125867856,1
22.27543432637408,40.04091994637346,0
18.921429054368936,31.2064848112204,0
18.61680868381536,29.467876039305487,0
17.202181312156945,28.43357734007535,0
16.52774150659339,31.432506261682025,1
15.901475972855765,33.68136187095412,0
16.360571372737304,34.19879062736174,1
14.799968119111641,37.75182677789487,0
14.428757218865249,35.26533304614739,1
14.084061382922178,35.51621465746649,0
14.132824171475525,35.2383180954608,0
13.34574201489194,30.00099267330749,1
12.614880012350055,33.81157340985156,0
11.936222438561153,41.478646253021104,1
12.060965966298456,35.67655987503232,0
11.728211985074987,42.090403875300176,0
10.551203324066408,19.91795366795364,0
11.592449135621324,24.090984102535906,0
12.559320246350902,23.367220712535282,0
12.074671102857986,22.030616651112343,0
11.624639755328849,20.930118181710338,1
11.206753504051797,23.598901098901,0
10.894874503855425,22.619047619047183,1
10.965592863192587,19.07207006191723,1
11.471529205555123,23.222917307625213,0
11.941327237748927,30.54741988643785,0
12.816823244868123,35.26624442880442,1
13.6297838229074,35.5825206580791,0
15.187370909879636,38.38355303274524,0
16.633701776353846,40.77758625813279,0
17.047087438593024,34.37470350558354,1
13.647362654291616,24.869169266583878,1
12.703805468948413,23.64773866535798,0
19.612686809556244,45.57283897040844,1
21.5913002090508,40.707841220730856,0
23.42858408001002,38.199920714206435,0
24.812100966834027,34.934560388860234,1
29.967589134721035,30.68327462737411,1
31.34619330779241,22.414338104076982,0
32.62632575421583,21.35090829231859,0
32.74811854588482,19.118047448054604,0
19.198150644333147,17.842639591114217,0
14.166002276412605,34.670474419431535,1
13.786046332060563,46.43433231459743,1
12.916829735310724,56.2979917565609,1
13.554546592099767,56.73128261177804,0
14.14671224483238,56.45098948670705,1
16.677219901394473,34.2869896061393,1
24.034625244078974,22.53983931420083,0
24.433777777973873,21.582156528700303,0
24.80441941659055,24.40108987600564,0
24.33503920954046,21.897842594564352,0
23.89918616013681,23.470062016355136,1
23.085019319478427,22.459849038908096,1
22.225102817930544,19.436342599255358,1
21.386482110013713,21.363808605188233,1
21.2785551900486,21.907519585081612,0
21.178337335795323,22.359463608892398,0
20.594244309146546,21.19047920468336,1
19.582386587333122,22.151191698592022,0
18.642804417077798,28.53547406734099,0
25.380583426642843,26.59404670959333,1
22.66283896773444,36.42787091953472,0
21.318524807058505,36.99339763163145,0
20.07023308643088,30.552163548508094,0
18.85586140719128,27.50345713227412,1
17.7821959635366,25.68820737495389,0
16.7852209087144,25.71765347360269,0
28.047482860480557,34.00538772919588,0
25.182504638209327,33.481268901568875,0
25.182504638209327,33.481268901568875,1
22.225217024745675,23.72247823860724,0
21.40025334139247,20.766228061634067,0
20.250489922857888,21.60682454800091,1
19.182852462790045,20.9438278518816,1
18.512652009814406,22.39925482890425,0
18.068313226042694,25.296009491734647,1
17.981200619141127,27.290729283839113,1
18.19813323954607,31.71212972033501,1
25.539220006270078,27.759254094145373,1
26.142946115175576,24.262813752372452,0
26.186910541257912,23.77513642819716,1
25.63961220031826,21.334289747762075,1
26.037022757697468,17.643596875088612,0
25.60473829445279,17.408876232405245,1
