sma50_current,stochk_14_current,class
243.18,55.55555555555623,1
243.182,75.04713423831045,1
243.19,80.02450980392116,0
243.2,82.10784313725487,1
243.21,85.60924369747927,1
243.226,86.30952380952391,0
243.23999999999995,88.09523809523813,0
243.25399999999996,87.91208791208794,0
243.264,89.92673992674055,0
243.264,84.61538461538484,1
243.264,74.35897435897455,1
243.278,58.13908313908306,1
243.28,68.18181818181891,0
243.276,47.222222222223365,1
243.268,37.50000000000088,1
243.266,37.50000000000088,1
243.272,33.333333333334515,1
243.28400000000002,45.83333333333361,1
243.29999999999995,62.500000000000284,0
243.308,75.00000000000058,1
243.318,75.00000000000058,0
243.32799999999997,70.83333333333421,1
243.342,70.83333333333421,0
243.4,16.6666666666659,0
243.422,31.48148148148163,1
243.442,29.62962962962989,0
243.46599999999998,49.735449735449656,1
243.52000000000004,85.71428571428288,1
243.596,33.333333333334735,0
243.596,34.92063492063627,1
243.59600000000003,42.06349206349282,1
243.594,44.44444444444502,1
243.592,61.111111111110056,0
243.864,47.91666666666654,1
243.898,44.27083333333314,0
243.926,43.74999999999983,0
244.12800000000004,32.555018786902735,0
244.164,45.005611672278064,1
244.22800000000004,59.44055944055873,1
244.272,62.820512820511986,1
244.4,81.1463046757168,0
245.924,26.666666666666387,0
245.93,8.88888888888836,0
245.98999999999995,54.761904761904546,0
246.002,70.89947089947083,0
246.05000000000004,61.904761904761756,1
246.108,73.01587301587256,1
246.122,79.36507936507894,0
246.13,85.71428571428531,1
246.198,82.664995822891,1
246.214,58.333333333333705,0
246.212,49.99999999999997,1
246.21599999999998,42.42424242424193,0
243.768,66.66666666666761,0
243.694,62.247474747475366,1
243.67,51.13636363636466,0
243.582,45.83333333333361,0
243.55599999999998,45.83333333333361,0
243.498,54.166666666666366,0
243.466,50.0,1
243.44000000000003,54.166666666666366,0
243.288,46.6666666666659,1
243.25600000000003,56.66666666666533,0
243.25800000000004,66.66666666666477,1
243.26800000000003,79.99999999999828,0
243.306,83.33333333333142,0
243.32,86.66666666666458,1
243.34,83.33333333333144,0
243.356,86.66666666666553,1
243.376,79.74358974358908,0
243.39,84.61538461538456,0
243.456,36.3636363636362,0
243.47599999999997,54.54545454545517,0
243.484,66.66666666666752,0
243.486,75.757575757577,0
243.488,63.63636363636465,1
243.492,54.54545454545517,0
243.498,51.51515151515144,1
243.504,48.48484848484856,1
243.51,48.48484848484856,0
243.518,56.666666666667226,0
243.52599999999998,61.515151515151814,1
243.534,57.61904761904742,0
243.54000000000005,43.80952380952266,0
243.53600000000003,38.095238095236546,0
243.548,36.507936507934886,1
243.524,66.66666666666802,1
243.522,76.19047619047716,0
243.45,42.31884057970973,1
243.474,51.7632850241545,0
243.504,71.20772946859908,0
243.528,68.88888888888879,1
243.616,72.22222222222223,1
243.63,77.7777777777778,0
243.644,79.99999999999993,0
243.658,75.55555555555544,0
243.50600000000003,71.75925925925921,0
243.51799999999997,68.68945868945805,1
243.522,66.83760683760579,1
243.52599999999998,54.456654456653865,1
243.53800000000004,54.68975468975446,0
243.548,62.77056277056304,1
243.582,69.1142191142188,1
243.69,77.1929824561402,0
243.71599999999998,78.94736842105239,0
243.73799999999997,75.43859649122804,0
243.75799999999995,68.73065015479894,0
243.79,62.919246646027176,1
243.814,50.26260504201707,1
243.814,34.98168498168489,1
243.808,35.89743589743573,1
243.8,32.30769230769172,0
243.79999999999995,32.82051282051253,0
243.794,36.66666666666652,1
243.778,38.33333333333298,0
243.76400000000004,29.166666666665826,0
243.78600000000003,20.00000000000044,1
243.81600000000003,47.22222222222239,0
243.82599999999996,62.777777777778084,0
243.83,76.1111111111116,0
243.842,83.33333333333431,1
243.854,83.93939393939486,0
243.862,87.272727272728,0
243.51000000000005,62.35294117647146,0
243.484,69.49494949494998,0
243.484,69.49494949494998,1
243.43600000000004,80.21978021978012,0
243.426,85.71428571428595,0
243.414,85.71428571428595,1
243.404,76.19047619047636,1
243.406,71.42857142857117,0
243.41599999999997,76.6233766233772,1
243.426,80.08658008658112,1
243.44200000000004,81.81818181818281,1
243.56600000000003,64.10256410256358,1
243.612,56.410256410255954,0
243.624,48.71794871794831,1
243.634,43.16239316239307,1
243.662,37.37373737373759,0
243.672,38.38383838383855,1
