sma100_current,stochk_14_previous,class
243.29500000000004,51.515151515151786,1
243.296,73.52207977208016,1
243.302,75.04713423831045,0
243.308,80.02450980392116,1
243.312,82.10784313725487,1
243.31600000000003,85.60924369747927,0
243.318,86.30952380952391,0
243.32100000000003,88.09523809523813,0
243.323,87.91208791208794,0
243.32000000000005,89.92673992674055,1
243.31700000000004,84.61538461538484,1
243.31800000000004,65.59829059829039,1
243.321,65.40404040404047,0
243.318,61.11111111111219,1
243.321,37.50000000000088,1
243.324,37.50000000000088,1
243.32800000000003,37.50000000000088,1
243.33300000000003,33.333333333334515,1
243.341,45.83333333333361,0
243.34600000000003,62.500000000000284,1
243.34900000000002,75.00000000000058,0
243.353,75.00000000000058,1
243.357,70.83333333333421,0
243.366,16.6666666666659,0
243.372,25.92592592592545,1
243.375,31.48148148148163,0
243.377,29.62962962962989,1
243.378,80.95238095237848,1
243.38600000000002,28.57142857143036,0
243.38800000000003,33.333333333334735,1
243.389,34.92063492063627,1
243.392,42.06349206349282,1
243.396,44.44444444444498,0
243.568,52.97181372549016,1
243.59099999999995,47.91666666666654,0
243.61299999999997,44.27083333333314,0
243.75,22.555018786902732,0
243.76999999999995,32.555018786902735,1
243.81399999999996,53.0303030303026,1
243.838,59.44055944055873,1
243.921,74.81146304675703,0
245.595,42.222222222221696,0
245.641,8.88888888888836,0
245.68400000000003,38.88888888888905,0
245.689,54.761904761904546,0
245.715,66.66666666666664,1
245.768,65.07936507936472,1
245.786,73.01587301587256,0
245.801,79.36507936507894,1
245.87,80.37741412354431,1
245.893,73.01587301587355,0
245.90500000000003,58.333333333333705,1
245.915,49.99999999999997,0
244.886,73.3333333333339,0
244.799,73.08080808080898,1
244.766,62.247474747475366,0
244.67400000000006,41.666666666667254,0
244.6490000000001,45.83333333333361,0
244.59900000000005,49.99999999999999,0
244.57500000000005,54.166666666666366,1
244.548,50.0,0
244.396,50.83333333333227,1
244.365,46.6666666666659,0
244.344,56.66666666666533,1
244.317,66.66666666666477,0
244.292,79.99999999999828,0
244.267,83.33333333333142,1
244.247,86.66666666666458,0
244.223,83.33333333333144,1
244.201,86.66666666666553,0
244.176,79.74358974358908,0
243.892,27.272727272726726,0
243.866,36.3636363636362,0
243.84099999999998,54.54545454545517,0
243.815,66.66666666666752,0
243.791,75.757575757577,1
243.769,63.63636363636465,0
243.743,48.48484848484856,1
243.72599999999997,51.51515151515144,1
243.711,48.48484848484856,0
243.69400000000002,48.48484848484856,0
243.681,56.666666666667226,1
243.667,61.515151515151814,0
243.654,57.61904761904742,0
243.643,43.80952380952266,0
243.62099999999995,40.47619047618873,1
243.406,66.66666666666802,1
243.393,66.66666666666802,0
243.42999999999995,36.66666666666661,1
243.44400000000002,42.31884057970973,0
243.457,51.76328502415447,0
243.47100000000003,71.20772946859908,1
243.525,70.00000000000016,1
243.543,72.22222222222223,0
243.56,77.77777777777784,0
243.571,79.99999999999993,0
243.529,64.35185185185192,0
243.51800000000003,72.96296296296242,1
243.51500000000004,68.68945868945805,1
243.51700000000002,66.83760683760579,1
243.52599999999998,54.456654456653865,0
243.53200000000004,54.68975468975446,1
243.552,71.21212121212145,1
243.589,81.82957393483719,0
243.59900000000002,77.1929824561402,0
243.604,78.94736842105239,0
243.611,75.43859649122804,0
243.614,68.73065015479894,1
243.618,62.919246646027176,1
243.63200000000003,40.91117216117235,1
243.641,34.98168498168489,1
243.65200000000004,35.89743589743573,0
243.664,32.30769230769172,0
243.67500000000004,32.82051282051257,1
243.683,36.66666666666652,0
243.69,38.33333333333298,0
243.66600000000003,15.555555555555983,1
243.66800000000003,34.444444444445004,0
243.67000000000004,47.22222222222239,0
243.67300000000003,62.777777777778084,0
243.676,76.1111111111116,1
243.68,83.33333333333431,0
243.68400000000003,83.93939393939486,0
243.65,57.777777777778866,0
243.647,66.66666666666735,0
243.647,66.66666666666735,1
243.618,76.54012654012661,0
243.61000000000004,80.21978021978012,0
243.59600000000003,85.71428571428595,1
243.584,85.71428571428595,1
243.578,76.19047619047632,0
243.56600000000003,73.80952380952398,1
243.569,76.62337662337724,1
243.576,80.08658008658112,1
243.646,61.53846153846101,1
243.687,64.10256410256358,0
243.705,56.410256410255954,1
243.718,48.71794871794831,1
243.74400000000009,37.60683760683783,0
243.7510000000001,37.37373737373759,1
