sma50_current,adi14_current,class
243.18,28.5086304682157,1
243.182,28.138500306321486,1
243.19,28.889236045258755,0
243.2,29.839196304385656,1
243.21,30.1271380224288,1
243.226,30.39451247489746,0
243.23999999999995,30.64278875218976,0
243.25399999999996,29.654132731555194,0
243.264,28.736094998108808,0
243.264,26.808864225706376,1
243.264,25.01929279418984,1
243.278,23.82751702419544,1
243.28,24.669145416417518,0
243.276,21.868108022296845,1
243.268,18.93572576097408,1
243.266,16.909175483037668,1
243.272,16.71153528419644,1
243.28400000000002,17.33874074742247,1
243.29999999999995,18.274806785425397,0
243.308,18.521745256582424,1
243.318,18.167628804815713,0
243.32799999999997,17.838806385318048,1
243.342,16.68817326665854,0
243.4,14.074892976867886,0
243.422,11.723718980900257,1
243.442,11.781263603796566,0
243.46599999999998,12.217731914307196,1
243.52000000000004,12.321318526539313,1
243.596,9.841398879857568,0
243.596,9.479940862592802,1
243.59600000000003,9.669916171077269,1
243.594,9.846321814669997,1
243.592,10.01012705514896,0
243.864,36.066683634769795,1
243.898,35.901222962108825,0
243.926,35.747580908923624,0
244.12800000000004,30.407514357618858,0
244.164,29.630795677328607,1
244.22800000000004,27.828190657430497,1
244.272,27.49926336354553,1
244.4,28.178075905958515,0
245.924,20.97154111331691,0
245.93,22.22618143909097,0
245.98999999999995,21.022582531595226,0
246.002,20.640385946514307,0
246.05000000000004,18.443075284331172,1
246.108,18.029949940459744,1
246.122,17.77453904853629,0
246.13,17.75913036032934,1
246.198,18.89200066982739,1
246.214,16.85596897350981,0
246.212,16.43903175848917,1
246.21599999999998,16.289187371129106,0
243.768,26.36142655977246,0
243.694,23.5180218814308,1
243.67,22.27543432637408,0
243.582,18.921429054368936,0
243.55599999999998,18.61680868381536,0
243.498,17.202181312156945,0
243.466,16.52774150659339,1
243.44000000000003,15.901475972855765,0
243.288,16.360571372737304,1
243.25600000000003,14.799968119111641,0
243.25800000000004,14.428757218865249,1
243.26800000000003,14.084061382922178,0
243.306,14.132824171475525,0
243.32,13.34574201489194,1
243.34,12.614880012350055,0
243.356,11.936222438561153,1
243.376,12.060965966298456,0
243.39,11.728211985074987,0
243.456,10.551203324066408,0
243.47599999999997,11.592449135621324,0
243.484,12.559320246350902,0
243.486,12.074671102857986,0
243.488,11.624639755328849,1
243.492,11.206753504051797,0
243.498,10.894874503855425,1
243.504,10.965592863192587,1
243.51,11.471529205555123,0
243.518,11.941327237748927,0
243.52599999999998,12.816823244868123,1
243.534,13.6297838229074,0
243.54000000000005,15.187370909879636,0
243.53600000000003,16.633701776353846,0
243.548,17.047087438593024,1
243.524,13.647362654291616,1
243.522,12.703805468948413,0
243.45,19.612686809556244,1
243.474,21.5913002090508,0
243.504,23.42858408001002,0
243.528,24.812100966834027,1
243.616,29.967589134721035,1
243.63,31.34619330779241,0
243.644,32.62632575421583,0
243.658,32.74811854588482,0
243.50600000000003,19.198150644333147,0
243.51799999999997,14.166002276412605,1
243.522,13.786046332060563,1
243.52599999999998,12.916829735310724,1
243.53800000000004,13.554546592099767,0
243.548,14.14671224483238,1
243.582,16.677219901394473,1
243.69,24.034625244078974,0
243.71599999999998,24.433777777973873,0
243.73799999999997,24.80441941659055,0
243.75799999999995,24.33503920954046,0
243.79,23.89918616013681,1
243.814,23.085019319478427,1
243.814,22.225102817930544,1
243.808,21.386482110013713,1
243.8,21.2785551900486,0
243.79999999999995,21.178337335795323,0
243.794,20.594244309146546,1
243.778,19.582386587333122,0
243.76400000000004,18.642804417077798,0
243.78600000000003,25.380583426642843,1
243.81600000000003,22.66283896773444,0
243.82599999999996,21.318524807058505,0
243.83,20.07023308643088,0
243.842,18.85586140719128,1
243.854,17.7821959635366,0
243.862,16.7852209087144,0
243.51000000000005,28.047482860480557,0
243.484,25.182504638209327,0
243.484,25.182504638209327,1
243.43600000000004,22.225217024745675,0
243.426,21.40025334139247,0
243.414,20.250489922857888,1
243.404,19.182852462790045,1
243.406,18.512652009814406,0
243.41599999999997,18.068313226042694,1
243.426,17.981200619141127,1
243.44200000000004,18.19813323954607,1
243.56600000000003,25.539220006270078,1
243.612,26.142946115175576,0
243.624,26.186910541257912,1
243.634,25.63961220031826,1
243.662,26.037022757697468,0
243.672,25.60473829445279,1
