stoch_rsi_14_current,wpr14_current,class
100.0,-22.222222222220818,1
95.6193041181328,-23.529411764705984,1
100.0,-5.8823529411760775,0
100.0,-12.499999999999332,1
91.26723929384715,-21.428571428572152,1
100.0,-7.142857142856707,0
91.04485588976624,-14.285714285713414,0
91.04485588976624,-15.384615384614374,0
80.65900828262838,-23.07692307692375,0
47.10473139803856,-46.15384615384532,1
18.114273800187064,-46.15384615384532,1
87.27427147493471,-0.0,1
50.63369496578653,-33.33333333333176,0
16.25870698135886,-62.49999999999911,1
0.0,-74.99999999999824,1
19.99722085346585,-62.49999999999911,1
52.247124095496886,-37.500000000000895,1
65.41630055570515,-24.99999999999823,1
77.31529121644724,-12.499999999999115,0
42.492268864146226,-37.500000000000895,1
73.85038129375035,-24.99999999999823,0
73.85038129375035,-24.99999999999823,1
48.20598456844496,-37.500000000000895,0
34.68016337260493,-66.66666666666825,0
59.07453707633842,-55.55555555555521,1
81.57748574983876,-44.4444444444448,0
81.57748574983876,-28.571428571430317,1
100.0,-14.285714285717187,1
21.344353790494093,-57.14285714285656,0
85.16067082974463,-33.333333333334906,1
47.872566859533364,-50.0,1
100.0,-16.666666666669823,1
100.0,-16.666666666669823,0
51.17347630761281,-59.375000000000135,1
60.38213367781202,-53.125000000000036,0
53.64109123823603,-56.24999999999986,0
56.73892330768643,-40.909090909091375,0
28.074346063089763,-54.54545454545431,1
27.14521603864653,-30.769230769231612,1
55.02432458915143,-15.384615384614714,1
49.9573019241618,-29.41176470588255,0
0.0,-93.33333333333373,0
40.685717256242974,-73.33333333333294,0
96.13692187877035,-23.80952380952355,0
83.65620794864253,-38.095238095238216,0
88.33454660443716,-33.33333333333378,1
100.0,-14.285714285714672,1
100.0,-14.285714285714672,0
90.65426261383531,-23.80952380952355,1
45.71769207521586,-50.0,1
45.14023347990386,-50.0,0
0.0,-66.66666666666825,1
0.0,-81.81818181818275,0
92.20395515751265,-19.999999999998863,0
2.7141294901922466,-74.99999999999824,1
25.70314745084002,-62.49999999999911,0
46.63159785095691,-50.00000000000001,0
83.19099685973963,-25.000000000001783,0
16.708620916030778,-62.49999999999911,0
59.765692398602866,-37.500000000000895,1
37.79479690772285,-50.00000000000001,0
28.476996527708703,-50.0,1
83.94939056617491,-20.0000000000017,0
83.94939056617491,-20.0000000000017,1
100.0,-10.000000000002274,0
100.0,-0.0,0
48.37268506164109,-30.000000000001133,1
90.97026693738823,-0.0,0
60.409908302721284,-20.0000000000017,1
96.68050150455852,-15.384615384614714,0
54.879864698513906,-38.461538461538964,0
99.72813516405235,-27.272727272725863,0
99.72813516405235,-27.272727272725863,0
87.71818431464987,-36.36363636363706,0
61.85059786979043,-54.54545454545431,0
74.8558425022343,-45.45454545454569,1
74.8558425022343,-45.45454545454569,0
74.8558425022343,-45.45454545454569,1
88.80712605132376,-36.36363636363706,1
100.0,-27.272727272725863,0
84.38039864214826,-40.000000000000576,0
64.67527056395471,-40.000000000000576,1
64.67527056395471,-57.14285714285889,0
59.37525096117794,-57.14285714285889,0
4.7328939332397075,-71.42857142857258,0
4.7328939332397075,-66.66666666666825,1
100.0,-28.57142857142741,1
100.0,-16.66666666666588,0
88.98375557720291,-30.43478260869539,1
97.33353953636237,-30.000000000000192,0
99.9887940515733,-23.333333333333908,0
92.37089664886213,-33.333333333333336,1
95.14327495117088,-19.999999999999808,1
87.29779602613846,-30.000000000000192,0
87.29779602613846,-30.000000000000192,0
84.26482981448916,-33.333333333333336,0
91.96335811126708,-16.666666666667194,0
84.7822423933027,-23.07692307692375,1
45.24559670624518,-44.4444444444448,1
100.0,-14.285714285717187,1
100.0,-9.09090909090862,0
73.35173393948969,-27.272727272725863,1
100.0,-7.692307692307187,1
83.20548203416988,-21.052631578947604,0
73.46664913090882,-26.31578947368413,0
46.5799301717969,-36.84210526315718,0
46.57993017179693,-41.1764705882349,0
12.782206237349241,-50.00000000000089,1
0.0,-71.42857142857113,1
28.03718340851975,-61.53846153846187,1
28.03718340851975,-61.53846153846187,1
41.98050090227376,-69.99999999999885,0
54.74475354537569,-59.999999999999424,0
19.791215705546048,-80.00000000000115,1
24.603018275446768,-75.00000000000179,0
0.0,-87.50000000000091,0
89.5093114708942,-41.66666666666706,1
100.0,-24.999999999998817,0
91.67590488561798,-19.999999999998863,0
99.07300654103969,-9.999999999999432,0
99.07300654103969,-9.999999999999432,1
100.0,-9.09090909090862,0
91.60310406029741,-18.18181818181724,0
89.38507814669218,-39.999999999999616,0
90.51016299775259,-27.272727272725863,0
90.51016299775259,-27.272727272725863,1
85.75895175068598,-21.428571428572152,0
84.34089184237841,-21.428571428572152,0
75.26046225985358,-28.57142857142886,1
75.26046225985358,-28.57142857142886,1
96.12914387171419,-7.142857142856707,0
89.02189991712179,-27.272727272725863,1
99.60371264094181,-18.18181818181724,1
100.0,-0.0,1
42.05776173905254,-50.00000000000055,1
42.05776173905254,-50.00000000000055,0
5.437578273662547,-61.538461538461455,1
0.0,-70.83333333333387,1
11.125949367706623,-68.18181818181765,0
11.12594936770667,-68.18181818181765,1
