price_previous,rsi14_previous,class
242.7,-18.500407777050388,1
243.6,22.277730058028173,1
243.5,18.323516316432432,0
243.8,24.76988694583753,1
243.8,24.76988694583753,1
243.7,20.836230548135052,0
243.9,25.061974356347164,0
243.8,21.160900258450692,0
243.8,21.160900258450692,0
243.7,16.63657763603696,1
243.4,2.0195353174736543,1
243.5,6.891463635604608,1
243.7,10.70939285789956,0
243.4,-3.2624860165443152,1
243.6,5.487411210615363,1
243.4,-3.6859918027169267,1
243.5,1.4764203268832716,1
243.7,9.80194180284569,1
243.8,13.201650031964023,0
243.9,16.27345156714425,1
243.7,7.283662721075642,0
243.8,11.054133230035717,1
243.8,11.054133230035717,0
243.5,-5.936793576603848,0
243.3,-17.166401136642552,1
243.5,-1.8018360413373105,0
243.6,3.879108784747871,1
243.7,9.435306228375024,1
243.4,-11.488438602341231,0
243.4,-11.488438602341231,1
243.6,6.330362858200742,1
243.5,-1.4717048687383991,1
243.7,11.475843209984506,0
245.2,15.14059670309007,1
245.1,13.221505730246008,0
245.5,18.43960836214133,0
245.4,14.34111631089749,0
245.6,17.25881243782385,1
245.1,5.905346588094147,1
245.2,8.048925420453926,1
245.8,18.768620519672453,0
246.2,-0.8428364144832301,0
246.2,0.911012377284422,0
246.4,12.641082726109602,0
246.3,9.801070102429053,0
246.0,0.9916716784941996,1
246.5,14.416792227493048,1
246.5,14.416792227493048,0
246.5,14.416792227493048,1
246.8,19.221440772531565,1
246.3,1.8709722321077609,0
246.4,5.405951629219104,1
246.2,-2.5038297766230784,0
243.3,-6.150531008400961,0
243.3,-5.600105261462119,1
243.3,-5.600105261462119,0
243.4,-1.1787977486342385,0
243.5,3.306361955186631,0
243.6,6.4456307818778384,0
243.4,-2.762020923949265,1
243.6,5.9699577150342416,0
243.2,-12.486775411882064,1
243.6,6.856219078603374,0
243.6,6.856219078603374,1
243.6,6.856219078603374,0
243.7,10.721733542434123,0
243.8,14.178119011846904,1
243.5,-0.03684619839033587,0
243.8,11.691889745498088,1
243.6,3.2774596066687,0
243.9,13.264134705584324,0
243.4,-2.718588666353128,0
243.8,13.165260463896034,0
243.8,13.165260463896034,0
243.7,8.797373830786142,0
243.5,-0.6103819943709112,1
243.6,4.04546886116195,0
243.6,4.04546886116195,1
243.6,4.04546886116195,1
243.7,9.105602555029165,0
243.8,13.440854767851606,0
243.7,7.7325750963479996,1
243.7,7.7325750963479996,0
243.7,7.7325750963479996,0
243.7,7.7325750963479996,0
243.6,0.05464813789346579,1
243.4,-3.859525899504817,1
243.5,4.479630263448527,0
244.4,24.075709840091942,1
244.0,14.870054547444001,0
244.5,21.847498941927253,0
244.7,24.066345659842824,1
245.0,24.99650351135679,1
244.8,20.89329138579868,0
244.5,14.265025644511836,0
244.5,14.265025644511836,0
243.4,-0.5454863517553861,0
243.3,-3.324890305382766,1
243.5,2.909462573438901,1
243.4,-0.23818501028578964,1
243.7,8.252658882880041,0
244.1,16.40549302351181,1
244.1,14.214068076582675,1
244.6,19.886834504894253,0
244.6,19.886834504894253,0
244.5,17.170004990813286,0
244.3,11.31837219125427,0
244.3,11.31837219125427,1
244.2,7.925117668432094,1
244.2,7.332991651174751,1
244.2,7.332991651174751,1
244.2,7.332991651174751,0
244.3,10.673170498435098,0
244.4,13.730899528751936,1
244.2,5.357636294818363,0
244.2,5.357636294818363,0
243.5,-16.133402973734732,1
243.7,-1.2465530181078464,0
243.9,9.36253235347283,0
243.8,3.7889043781124334,0
243.9,8.74183825941924,1
243.9,8.74183825941924,0
244.0,13.303380404559007,0
243.2,-1.5354069851347134,0
243.5,8.92272293346524,0
243.5,8.92272293346524,1
243.9,18.62249972232605,0
243.7,11.949982401766976,0
243.7,11.949982401766976,1
243.6,8.08071200286345,1
243.6,8.08071200286345,0
243.8,13.165609045334008,1
243.9,15.957350925430362,1
244.0,18.526293204782466,1
245.1,32.469328302472526,1
244.6,19.36181058648505,0
244.6,19.36181058648505,1
244.3,9.53922653204694,1
244.7,18.119227408984532,0
244.4,9.22750320370183,1
