ema10_previous,wpr14_current,class
242.71412565586436,-22.222222222220818,1
243.10379487591626,-23.529411764705984,1
243.19277496110772,-5.8823529411760775,0
243.33424129512343,-12.499999999999332,1
243.44716267918275,-21.428571428572152,1
243.52137108432208,-7.142857142856707,0
243.62409828516158,-14.285714285713414,0
243.6871421966221,-15.384615384614374,0
243.7330759820916,-23.07692307692375,0
243.74682875538662,-46.15384615384532,1
243.68094518336272,-46.15384615384532,1
243.60163179988075,-0.0,1
243.68057527488227,-33.33333333333176,0
243.61577470198813,-62.49999999999911,1
243.58592895177216,-74.99999999999824,1
243.52446483548383,-62.49999999999911,1
243.5200166835776,-37.500000000000895,1
243.5442695279754,-24.99999999999823,1
243.5935897757516,-12.499999999999115,0
243.65212452393232,-37.500000000000895,1
243.66365295426186,-24.99999999999823,0
243.69973851948325,-24.99999999999823,1
243.72643927452896,-37.500000000000895,0
243.59084244749508,-66.66666666666825,0
243.4495929163659,-55.55555555555521,1
243.45028644571119,-44.4444444444448,0
243.47468329362832,-28.571428571430317,1
243.55561245998678,-14.285714285717187,1
243.47623816563598,-57.14285714285656,0
243.45672908434034,-33.333333333334906,1
243.48277834173297,-50.0,1
243.48026195569247,-16.666666666669823,1
243.52021432738465,-16.666666666669823,0
245.53321954948075,-59.375000000000135,1
245.50810452669404,-53.125000000000036,0
245.5659307410485,-56.24999999999986,0
245.12991604518257,-40.909090909091375,0
245.22668104841838,-54.54545454545431,1
245.2078806496128,-30.769230769231612,1
245.2036240059114,-15.384615384614714,1
245.4310849109149,-29.41176470588255,0
246.41865419052056,-93.33333333333373,0
246.1997872983417,-73.33333333333294,0
245.7362154839397,-23.80952380952355,0
245.83872175958703,-38.095238095238216,0
245.87685030515075,-33.33333333333378,1
246.11325995708577,-14.285714285714672,1
246.2231095049664,-14.285714285714672,0
246.29604361787418,-23.80952380952355,1
246.56493715452262,-50.0,1
246.50711977555991,-50.0,0
246.49611484768258,-66.66666666666825,1
246.4338043895158,-81.81818181818275,0
243.3711712438205,-19.999999999998863,0
243.42963990254498,-74.99999999999824,1
243.40324521285584,-62.49999999999911,0
243.41424973454428,-50.00000000000001,0
243.4354882885344,-25.000000000001783,0
243.52246127515772,-62.49999999999911,0
243.50019558876545,-37.500000000000895,1
243.512694248719,-50.00000000000001,0
243.39151836631362,-50.0,1
243.40656829370056,-20.0000000000017,0
243.4473852914805,-20.0000000000017,1
243.4751334203021,-10.000000000002274,0
243.52166584960904,-0.0,0
243.57509585708831,-30.000000000001133,1
243.5614420648904,-0.0,0
243.6217590248139,-20.0000000000017,1
243.6262742334359,-15.384615384614714,0
243.69580914285018,-38.461538461538964,0
243.34542740393653,-27.272727272725863,0
243.4252531685399,-27.272727272725863,0
243.49903655271262,-36.36363636363706,0
243.54122295794483,-54.54545454545431,0
243.53372787468217,-45.45454545454569,1
243.55424874696445,-45.45454545454569,0
243.5899098431678,-45.45454545454569,1
243.6058634087236,-36.36363636363706,1
243.63145054754384,-27.272727272725863,0
243.67339109580487,-40.000000000000576,0
243.67540528006856,-40.000000000000576,1
243.6770532490116,-57.14285714285889,0
243.6812253855549,-57.14285714285889,0
243.69028654845218,-71.42857142857258,0
243.66043975557545,-66.66666666666825,1
243.3488013138351,-28.57142857142741,1
243.37911578236424,-16.66666666666588,0
243.31544699070977,-30.43478260869539,1
243.45403016580346,-30.000000000000192,0
243.68373967573535,-23.333333333333908,0
243.90804745658886,-33.333333333333336,1
244.35995771947742,-19.999999999999808,1
244.48232238160404,-30.000000000000192,0
244.5391886620677,-30.000000000000192,0
244.58006802217602,-33.333333333333336,0
243.21175779073772,-16.666666666667194,0
243.3753495895052,-23.07692307692375,1
243.39236570386976,-44.4444444444448,1
243.3965775560289,-14.285714285717187,1
243.46021666806632,-9.09090909090862,0
243.59348370013961,-27.272727272725863,1
243.77959338601846,-7.692307692307187,1
244.30608611173585,-21.052631578947604,0
244.3934105803183,-26.31578947368413,0
244.435380861344,-36.84210526315718,0
244.41641375591598,-41.1764705882349,0
244.40654281174577,-50.00000000000089,1
244.3831085648328,-71.42857142857113,1
244.2876905629889,-61.53846153846187,1
244.2660992276292,-61.53846153846187,1
244.23713839633845,-69.99999999999885,0
244.24009638387054,-59.999999999999424,0
244.2635221719869,-80.00000000000115,1
244.24350129121933,-75.00000000000179,0
244.23276816722571,-87.50000000000091,0
243.39169214832455,-41.66666666666706,1
243.4992596959261,-24.999999999998817,0
243.58341676266312,-19.999999999998863,0
243.63409072635716,-9.999999999999432,0
243.69655685860582,-9.999999999999432,1
243.750489310581,-9.09090909090862,0
243.8156214786961,-18.18181818181724,0
243.0938628480981,-39.999999999999616,0
243.17940070676468,-27.272727272725863,0
243.17940070676468,-27.272727272725863,1
243.48602225867037,-21.428571428572152,0
243.54469389076928,-21.428571428572152,0
243.59834555003025,-28.57142857142886,1
243.60711775406742,-28.57142857142886,1
243.61711881023328,-7.142857142856707,0
243.71940587343246,-27.272727272725863,1
243.76636016075832,-18.18181818181724,1
243.8257829214331,-0.0,1
244.4744783595258,-50.00000000000055,1
244.5673149042939,-50.00000000000055,0
244.59302423718844,-61.538461538461455,1
244.55386609474056,-70.83333333333387,1
244.5544923880077,-68.18181818181765,0
244.53205045954988,-68.18181818181765,1
