stochk_14_current,adi14_current,class
55.55555555555623,28.5086304682157,1
75.04713423831045,28.138500306321486,1
80.02450980392116,28.889236045258755,0
82.10784313725487,29.839196304385656,1
85.60924369747927,30.1271380224288,1
86.30952380952391,30.39451247489746,0
88.09523809523813,30.64278875218976,0
87.91208791208794,29.654132731555194,0
89.92673992674055,28.736094998108808,0
84.61538461538484,26.808864225706376,1
74.35897435897455,25.01929279418984,1
58.13908313908306,23.82751702419544,1
68.18181818181891,24.669145416417518,0
47.222222222223365,21.868108022296845,1
37.50000000000088,18.93572576097408,1
37.50000000000088,16.909175483037668,1
33.333333333334515,16.71153528419644,1
45.83333333333361,17.33874074742247,1
62.500000000000284,18.274806785425397,0
75.00000000000058,18.521745256582424,1
75.00000000000058,18.167628804815713,0
70.83333333333421,17.838806385318048,1
70.83333333333421,16.68817326665854,0
16.6666666666659,14.074892976867886,0
31.48148148148163,11.723718980900257,1
29.62962962962989,11.781263603796566,0
49.735449735449656,12.217731914307196,1
85.71428571428288,12.321318526539313,1
33.333333333334735,9.841398879857568,0
34.92063492063627,9.479940862592802,1
42.06349206349282,9.669916171077269,1
44.44444444444502,9.846321814669997,1
61.111111111110056,10.01012705514896,0
47.91666666666654,36.066683634769795,1
44.27083333333314,35.901222962108825,0
43.74999999999983,35.747580908923624,0
32.555018786902735,30.407514357618858,0
45.005611672278064,29.630795677328607,1
59.44055944055873,27.828190657430497,1
62.820512820511986,27.49926336354553,1
81.1463046757168,28.178075905958515,0
26.666666666666387,20.97154111331691,0
8.88888888888836,22.22618143909097,0
54.761904761904546,21.022582531595226,0
70.89947089947083,20.640385946514307,0
61.904761904761756,18.443075284331172,1
73.01587301587256,18.029949940459744,1
79.36507936507894,17.77453904853629,0
85.71428571428531,17.75913036032934,1
82.664995822891,18.89200066982739,1
58.333333333333705,16.85596897350981,0
49.99999999999997,16.43903175848917,1
42.42424242424193,16.289187371129106,0
66.66666666666761,26.36142655977246,0
62.247474747475366,23.5180218814308,1
51.13636363636466,22.27543432637408,0
45.83333333333361,18.921429054368936,0
45.83333333333361,18.61680868381536,0
54.166666666666366,17.202181312156945,0
50.0,16.52774150659339,1
54.166666666666366,15.901475972855765,0
46.6666666666659,16.360571372737304,1
56.66666666666533,14.799968119111641,0
66.66666666666477,14.428757218865249,1
79.99999999999828,14.084061382922178,0
83.33333333333142,14.132824171475525,0
86.66666666666458,13.34574201489194,1
83.33333333333144,12.614880012350055,0
86.66666666666553,11.936222438561153,1
79.74358974358908,12.060965966298456,0
84.61538461538456,11.728211985074987,0
36.3636363636362,10.551203324066408,0
54.54545454545517,11.592449135621324,0
66.66666666666752,12.559320246350902,0
75.757575757577,12.074671102857986,0
63.63636363636465,11.624639755328849,1
54.54545454545517,11.206753504051797,0
51.51515151515144,10.894874503855425,1
48.48484848484856,10.965592863192587,1
48.48484848484856,11.471529205555123,0
56.666666666667226,11.941327237748927,0
61.515151515151814,12.816823244868123,1
57.61904761904742,13.6297838229074,0
43.80952380952266,15.187370909879636,0
38.095238095236546,16.633701776353846,0
36.507936507934886,17.047087438593024,1
66.66666666666802,13.647362654291616,1
76.19047619047716,12.703805468948413,0
42.31884057970973,19.612686809556244,1
51.7632850241545,21.5913002090508,0
71.20772946859908,23.42858408001002,0
68.88888888888879,24.812100966834027,1
72.22222222222223,29.967589134721035,1
77.7777777777778,31.34619330779241,0
79.99999999999993,32.62632575421583,0
75.55555555555544,32.74811854588482,0
71.75925925925921,19.198150644333147,0
68.68945868945805,14.166002276412605,1
66.83760683760579,13.786046332060563,1
54.456654456653865,12.916829735310724,1
54.68975468975446,13.554546592099767,0
62.77056277056304,14.14671224483238,1
69.1142191142188,16.677219901394473,1
77.1929824561402,24.034625244078974,0
78.94736842105239,24.433777777973873,0
75.43859649122804,24.80441941659055,0
68.73065015479894,24.33503920954046,0
62.919246646027176,23.89918616013681,1
50.26260504201707,23.085019319478427,1
34.98168498168489,22.225102817930544,1
35.89743589743573,21.386482110013713,1
32.30769230769172,21.2785551900486,0
32.82051282051253,21.178337335795323,0
36.66666666666652,20.594244309146546,1
38.33333333333298,19.582386587333122,0
29.166666666665826,18.642804417077798,0
20.00000000000044,25.380583426642843,1
47.22222222222239,22.66283896773444,0
62.777777777778084,21.318524807058505,0
76.1111111111116,20.07023308643088,0
83.33333333333431,18.85586140719128,1
83.93939393939486,17.7821959635366,0
87.272727272728,16.7852209087144,0
62.35294117647146,28.047482860480557,0
69.49494949494998,25.182504638209327,0
69.49494949494998,25.182504638209327,1
80.21978021978012,22.225217024745675,0
85.71428571428595,21.40025334139247,0
85.71428571428595,20.250489922857888,1
76.19047619047636,19.182852462790045,1
71.42857142857117,18.512652009814406,0
76.6233766233772,18.068313226042694,1
80.08658008658112,17.981200619141127,1
81.81818181818281,18.19813323954607,1
64.10256410256358,25.539220006270078,1
56.410256410255954,26.142946115175576,0
48.71794871794831,26.186910541257912,1
43.16239316239307,25.63961220031826,1
37.37373737373759,26.037022757697468,0
38.38383838383855,25.60473829445279,1
