sma50_current,stoch_rsi_14_previous,class
243.18,83.93754063278692,1
243.182,100.0,1
243.19,95.6193041181328,0
243.2,100.0,1
243.21,100.0,1
243.226,91.26723929384715,0
243.23999999999995,100.0,0
243.25399999999996,91.04485588976624,0
243.264,91.04485588976627,0
243.264,80.65900828262838,1
243.264,47.10473139803854,1
243.278,21.14328396361089,1
243.28,37.71240329969313,0
243.276,0.0,1
243.268,30.89166434935492,1
243.266,0.0,1
243.272,19.99722085346585,1
243.28400000000002,52.247124095496886,1
243.29999999999995,65.41630055570515,0
243.308,77.31529121644729,1
243.318,42.492268864146226,0
243.32799999999997,73.85038129375035,1
243.342,73.85038129375035,0
243.4,0.0,0
243.422,24.28660159413655,1
243.442,59.07453707633842,0
243.46599999999998,81.57748574983876,1
243.52000000000004,100.0,1
243.596,43.946570765172176,0
243.596,21.344353790494136,1
243.59600000000003,85.1606708297445,1
243.594,47.872566859533435,1
243.592,100.0,0
243.864,70.48002307213666,1
243.898,51.17347630761283,0
243.926,60.38213367781202,0
244.12800000000004,35.33658083910636,0
244.164,56.738923307686385,1
244.22800000000004,9.551159609367305,1
244.272,27.14521603864653,1
244.4,100.0,0
245.924,0.0,0
245.93,28.756051257656274,0
245.98999999999995,100.0,0
246.002,96.13692187877035,0
246.05000000000004,84.15408982058239,1
246.108,100.0,1
246.122,100.0,0
246.13,100.0,1
246.198,100.0,1
246.214,31.103224557005788,0
246.212,45.14023347990386,1
246.21599999999998,0.0,0
243.768,78.71121629459716,0
243.694,2.7141294901922466,1
243.67,2.7141294901922466,0
243.582,24.515437246073876,0
243.55599999999998,46.63159785095691,0
243.498,62.11121912149045,0
243.466,16.70862091603072,1
243.44000000000003,59.7656923986028,0
243.288,3.608995139268009,1
243.25600000000003,83.94939056617491,0
243.25800000000004,83.94939056617491,1
243.26800000000003,83.94939056617491,0
243.306,100.0,0
243.32,100.0,1
243.34,48.37268506164109,0
243.356,90.97026693738823,1
243.376,60.409908302721284,0
243.39,96.68050150455852,0
243.456,54.67971582219765,0
243.47599999999997,99.72813516405235,0
243.484,99.72813516405235,0
243.486,87.71818431464987,0
243.488,61.85059786979043,1
243.492,74.8558425022343,0
243.498,74.8558425022343,1
243.504,74.8558425022343,1
243.51,88.80712605132376,0
243.518,100.0,0
243.52599999999998,84.38039864214826,1
243.534,64.67527056395471,0
243.54000000000005,64.67527056395471,0
243.53600000000003,59.37525096117794,0
243.548,4.7328939332397075,1
243.524,91.20842341977463,1
243.522,100.0,0
243.45,100.0,1
243.474,88.98375557720291,0
243.504,97.33353953636237,0
243.528,99.9887940515733,1
243.616,100.0,1
243.63,95.14327495117088,0
243.644,87.29779602613846,0
243.658,87.29779602613846,0
243.50600000000003,87.31825139682074,0
243.51799999999997,73.55320541789546,1
243.522,84.7822423933027,1
243.52599999999998,45.24559670624518,1
243.53800000000004,100.0,0
243.548,100.0,1
243.582,88.89314561000013,1
243.69,83.20548203416988,0
243.71599999999998,83.20548203416988,0
243.73799999999997,73.46664913090882,0
243.75799999999995,46.57993017179693,0
243.79,46.57993017179693,1
243.814,12.782206237349241,1
243.814,28.03718340851975,1
243.808,28.03718340851975,1
243.8,28.03718340851975,0
243.79999999999995,41.98050090227376,0
243.794,54.74475354537572,1
243.778,19.791215705546048,0
243.76400000000004,24.603018275446768,0
243.78600000000003,65.86169952882888,1
243.81600000000003,96.99007430814251,0
243.82599999999996,100.0,0
243.83,91.67590488561798,0
243.842,99.07300654103969,1
243.854,99.07300654103969,0
243.862,100.0,0
243.51000000000005,95.0612461296213,0
243.484,100.0,0
243.484,100.0,1
243.43600000000004,100.0,0
243.426,85.75895175068598,0
243.414,84.34089184237841,1
243.404,75.26046225985358,1
243.406,75.26046225985358,0
243.41599999999997,77.52234619578424,1
243.426,89.02189991712179,1
243.44200000000004,99.60371264094181,1
243.56600000000003,90.92470966997251,1
243.612,42.05776173905254,0
243.624,42.05776173905257,1
243.634,5.4375782736624965,1
243.662,41.903373211795305,0
243.672,11.12594936770667,1
