ema100_current,sma200_current,class
243.18905225418166,243.0855,1
243.2059823509734,243.1065,1
243.21960454887298,243.112,0
243.23295700028004,243.1185,1
243.24344502462958,243.1245,1
243.2576857613686,243.1325,0
243.26904448124196,243.139,0
243.28048818799888,243.1455,0
243.28941517665172,243.152,0
243.29067523904556,243.157,1
243.29191034970887,243.1625,1
243.31029924093696,243.178,1
243.3284839227556,243.192,0
243.33751678839408,243.209,1
243.3447663049139,243.2205,1
243.3498359170736,243.231,1
243.3580095074276,243.238,1
243.36831135455623,243.2445,1
243.38131913882043,243.249,0
243.38917921106997,243.253,1
243.3982440122856,243.2575,0
243.40743922451642,243.2625,1
243.41447215531707,243.267,0
243.43239618066715,243.289,0
243.42857866939048,243.297,1
243.43290288727312,243.301,0
243.4368315650493,243.306,1
243.4505651585406,243.3225,1
243.45160054841358,243.3475,0
243.4551589754741,243.3505,1
243.4563568285833,243.354,1
243.4621111819273,243.358,1
243.46806149971002,243.3635,0
243.82994300544357,243.5275,1
243.8701414176561,243.5395,0
243.90527351363698,243.5515,0
244.10478228197974,243.5955,0
244.13464820015275,243.598,1
244.18798273851326,243.6045,1
244.21942096903098,243.6125,1
244.32506238048538,243.643,0
245.83408383388885,244.593,0
245.87057307332157,244.6505,0
245.86638279248183,244.78800000000004,0
245.87057823792648,244.805,0
245.8842262192538,244.8545,1
245.92862768583853,244.909,1
245.94552040561916,244.928,0
245.95718848396888,244.946,1
246.03293930986325,245.0145,1
246.05245192054863,245.0415,0
246.0590926090496,245.0535,1
246.06300177668945,245.0655,0
244.2284174956066,245.2155,0
244.15737520939186,245.17050000000003,1
244.13215058352168,245.158,0
244.06549234972576,245.1265,0
244.05050707671853,245.1195,0
244.01353315183098,245.10050000000004,0
243.9979064878408,245.094,1
243.9796793286337,245.0875,0
243.8651202898652,245.0315,1
243.845215351992,245.016,0
243.83385144982952,245.007,1
243.82283330127632,244.998,0
243.8146333559607,244.98800000000003,0
243.8006551917408,244.978,1
243.79444397705845,244.971,0
243.78315571256888,244.963,1
243.7786513961876,244.958,0
243.76736594404213,244.9515,0
243.62229653862755,244.8865,0
243.61775770628597,244.8795,0
243.61163846582176,244.873,0
243.6013700903672,244.865,0
243.59390507115882,244.859,1
243.58720769817168,244.8535,0
243.57971296384312,244.841,1
243.57682638085092,244.833,1
243.57659697999665,244.824,0
243.5737720996549,244.815,0
243.57224280565552,244.807,1
243.570433882676,244.7985,0
243.5689706919833,244.789,0
243.5661761014024,244.779,0
243.56075797658417,244.75800000000004,1
243.45396621440563,244.566,1
243.45084891813374,244.556,0
243.43766415086878,244.4475,1
243.4630392727289,244.44100000000003,0
243.49156240093876,244.435,0
243.51389003269833,244.428,1
243.60340637005638,244.412,1
243.62673911589187,244.406,0
243.64929991512696,244.3975,0
243.66757429566596,244.388,0
243.51813622269586,244.13,0
243.49600610749957,244.033,1
243.49317526037171,244.0185,1
243.4978906238292,244.00600000000003,1
243.512602790038,243.996,0
243.52213349409507,243.9865,1
243.55822548539874,243.966,1
243.64952012843827,243.9405,0
243.669460434308,243.933,0
243.68349592644898,243.92550000000003,0
243.6978733121113,243.917,0
243.7087461509301,243.9075,1
243.71575320199963,243.897,1
243.73903722122918,243.874,1
243.7509544053113,243.8625,1
243.765235627629,243.8525,0
243.78152416351418,243.841,0
243.79321984606514,243.82800000000003,1
243.8037541948537,243.815,0
243.81178983262703,243.8035,0
243.7321990925196,243.6735,1
243.73551672689067,243.661,0
243.73741344744647,243.6565,0
243.74156271922902,243.652,0
243.74562982721366,243.6485,1
243.751906508456,243.6455,0
243.7560787009608,243.6405,0
243.51991036140927,243.5285,0
243.51617674725293,243.534,0
243.51617674725293,243.534,1
243.51986470045483,243.5445,0
243.52095243985409,243.5475,0
243.51817896966287,243.5505,1
243.51608024373226,243.5545,1
243.521823142967,243.5605,0
243.5310351816962,243.5685,1
243.5412513498301,243.5715,1
243.55646526176227,243.575,1
243.67698746346886,243.6035,1
243.72574573034674,243.61550000000003,0
243.74269551855275,243.6205,1
243.7557799092213,243.625,1
243.79482958383943,243.6345,0
243.80898254064275,243.64,1
