ema10_previous,sma50_current,class
242.71412565586436,243.18,1
243.10379487591626,243.182,1
243.19277496110772,243.19,0
243.33424129512343,243.2,1
243.44716267918275,243.21,1
243.52137108432208,243.226,0
243.62409828516158,243.23999999999995,0
243.6871421966221,243.25399999999996,0
243.7330759820916,243.264,0
243.74682875538662,243.264,1
243.68094518336272,243.264,1
243.60163179988075,243.278,1
243.68057527488227,243.28,0
243.61577470198813,243.276,1
243.58592895177216,243.268,1
243.52446483548383,243.266,1
243.5200166835776,243.272,1
243.5442695279754,243.28400000000002,1
243.5935897757516,243.29999999999995,0
243.65212452393232,243.308,1
243.66365295426186,243.318,0
243.69973851948325,243.32799999999997,1
243.72643927452896,243.342,0
243.59084244749508,243.4,0
243.4495929163659,243.422,1
243.45028644571119,243.442,0
243.47468329362832,243.46599999999998,1
243.55561245998678,243.52000000000004,1
243.47623816563598,243.596,0
243.45672908434034,243.596,1
243.48277834173297,243.59600000000003,1
243.48026195569247,243.594,1
243.52021432738465,243.592,0
245.53321954948075,243.864,1
245.50810452669404,243.898,0
245.5659307410485,243.926,0
245.12991604518257,244.12800000000004,0
245.22668104841838,244.164,1
245.2078806496128,244.22800000000004,1
245.2036240059114,244.272,1
245.4310849109149,244.4,0
246.41865419052056,245.924,0
246.1997872983417,245.93,0
245.7362154839397,245.98999999999995,0
245.83872175958703,246.002,0
245.87685030515075,246.05000000000004,1
246.11325995708577,246.108,1
246.2231095049664,246.122,0
246.29604361787418,246.13,1
246.56493715452262,246.198,1
246.50711977555991,246.214,0
246.49611484768258,246.212,1
246.4338043895158,246.21599999999998,0
243.3711712438205,243.768,0
243.42963990254498,243.694,1
243.40324521285584,243.67,0
243.41424973454428,243.582,0
243.4354882885344,243.55599999999998,0
243.52246127515772,243.498,0
243.50019558876545,243.466,1
243.512694248719,243.44000000000003,0
243.39151836631362,243.288,1
243.40656829370056,243.25600000000003,0
243.4473852914805,243.25800000000004,1
243.4751334203021,243.26800000000003,0
243.52166584960904,243.306,0
243.57509585708831,243.32,1
243.5614420648904,243.34,0
243.6217590248139,243.356,1
243.6262742334359,243.376,0
243.69580914285018,243.39,0
243.34542740393653,243.456,0
243.4252531685399,243.47599999999997,0
243.49903655271262,243.484,0
243.54122295794483,243.486,0
243.53372787468217,243.488,1
243.55424874696445,243.492,0
243.5899098431678,243.498,1
243.6058634087236,243.504,1
243.63145054754384,243.51,0
243.67339109580487,243.518,0
243.67540528006856,243.52599999999998,1
243.6770532490116,243.534,0
243.6812253855549,243.54000000000005,0
243.69028654845218,243.53600000000003,0
243.66043975557545,243.548,1
243.3488013138351,243.524,1
243.37911578236424,243.522,0
243.31544699070977,243.45,1
243.45403016580346,243.474,0
243.68373967573535,243.504,0
243.90804745658886,243.528,1
244.35995771947742,243.616,1
244.48232238160404,243.63,0
244.5391886620677,243.644,0
244.58006802217602,243.658,0
243.21175779073772,243.50600000000003,0
243.3753495895052,243.51799999999997,1
243.39236570386976,243.522,1
243.3965775560289,243.52599999999998,1
243.46021666806632,243.53800000000004,0
243.59348370013961,243.548,1
243.77959338601846,243.582,1
244.30608611173585,243.69,0
244.3934105803183,243.71599999999998,0
244.435380861344,243.73799999999997,0
244.41641375591598,243.75799999999995,0
244.40654281174577,243.79,1
244.3831085648328,243.814,1
244.2876905629889,243.814,1
244.2660992276292,243.808,1
244.23713839633845,243.8,0
244.24009638387054,243.79999999999995,0
244.2635221719869,243.794,1
244.24350129121933,243.778,0
244.23276816722571,243.76400000000004,0
243.39169214832455,243.78600000000003,1
243.4992596959261,243.81600000000003,0
243.58341676266312,243.82599999999996,0
243.63409072635716,243.83,0
243.69655685860582,243.842,1
243.750489310581,243.854,0
243.8156214786961,243.862,0
243.0938628480981,243.51000000000005,0
243.17940070676468,243.484,0
243.17940070676468,243.484,1
243.48602225867037,243.43600000000004,0
243.54469389076928,243.426,0
243.59834555003025,243.414,1
243.60711775406742,243.404,1
243.61711881023328,243.406,0
243.71940587343246,243.41599999999997,1
243.76636016075832,243.426,1
243.8257829214331,243.44200000000004,1
244.4744783595258,243.56600000000003,1
244.5673149042939,243.612,0
244.59302423718844,243.624,1
244.55386609474056,243.634,1
244.5544923880077,243.662,0
244.53205045954988,243.672,1
