wpr14_previous,uosc_previous,class
-54.54545454545549,21.379885046451914,1
-12.500000000000892,28.3890230229244,1
-23.529411764705984,25.79184034575511,0
-5.8823529411760775,27.410741074107047,1
-12.499999999999332,25.458241947805533,1
-21.428571428572152,22.059716360914866,0
-7.142857142856707,22.53823196687541,0
-14.285714285713414,17.008123195731017,0
-15.384615384614374,18.001621612297242,0
-23.07692307692375,21.294207393056475,1
-46.15384615384532,18.823053158624145,1
-41.66666666666706,19.400939442852376,1
-50.000000000002366,22.734051092864657,0
-74.99999999999824,19.806918388699184,1
-50.00000000000001,23.976680400614004,1
-74.99999999999824,16.410981582396726,1
-62.49999999999911,17.598505696236007,1
-37.500000000000895,25.244667205092536,1
-24.99999999999823,25.249840853002485,0
-12.499999999999115,24.48608887900327,1
-37.500000000000895,20.68233353947642,0
-24.99999999999823,23.03139518331161,1
-24.99999999999823,25.313688402191204,0
-83.33333333333412,26.07199817726034,0
-77.77777777777601,23.841362363563217,1
-55.55555555555521,31.831787260358386,0
-44.4444444444448,33.67464714709917,1
-14.285714285717187,25.12902520365177,1
-57.14285714285656,34.5283789301762,0
-57.14285714285656,38.083953960731904,1
-33.333333333334906,45.29616724738735,1
-50.0,38.155061019383176,1
-16.666666666669823,41.79587880618865,0
-57.81250000000021,16.78437534159132,1
-59.375000000000135,11.016211916399515,0
-53.125000000000036,10.700751923449292,0
-59.2592592592593,25.46232298297667,0
-40.909090909091375,25.58364296705452,1
-55.555555555556076,25.773341714390234,1
-30.769230769231612,20.504068649828078,1
-11.76470588235235,18.12724943793112,0
-80.00000000000115,26.85638496189079,0
-80.00000000000115,10.411822660098213,0
-5.5555555555552045,27.989222883602626,0
-23.80952380952355,25.024668661996568,0
-38.095238095238216,18.11371851699863,1
-14.285714285714672,17.01057028925865,1
-14.285714285714672,18.533360537814385,0
-14.285714285714672,23.974840469084764,1
-14.285714285713414,30.05736330544499,1
-58.33333333333294,24.4884357996983,0
-50.0,21.20493225785105,1
-66.66666666666825,22.597534560382535,0
-29.999999999998288,33.06260287190153,0
-54.54545454545431,54.05018125867856,1
-74.99999999999824,40.04091994637346,0
-62.49999999999911,31.2064848112204,0
-50.00000000000001,29.467876039305487,0
-37.500000000000895,28.43357734007535,0
-62.49999999999911,31.432506261682025,1
-37.500000000000895,33.68136187095412,0
-60.00000000000227,34.19879062736174,1
-20.0000000000017,37.75182677789487,0
-20.0000000000017,35.26533304614739,1
-20.0000000000017,35.51621465746649,0
-10.000000000002274,35.2383180954608,0
-0.0,30.00099267330749,1
-30.000000000001133,33.81157340985156,0
-0.0,41.478646253021104,1
-20.0000000000017,35.67655987503232,0
-15.384615384614714,42.090403875300176,0
-63.63636363636294,19.91795366795364,0
-27.272727272725863,24.090984102535906,0
-27.272727272725863,23.367220712535282,0
-36.36363636363706,22.030616651112343,0
-54.54545454545431,20.930118181710338,1
-45.45454545454569,23.598901098901,0
-45.45454545454569,22.619047619047183,1
-45.45454545454569,19.07207006191723,1
-36.36363636363706,23.222917307625213,0
-27.272727272725863,30.54741988643785,0
-40.000000000000576,35.26624442880442,1
-40.000000000000576,35.5825206580791,0
-57.14285714285889,38.38355303274524,0
-57.14285714285889,40.77758625813279,0
-66.66666666666825,34.37470350558354,1
-42.857142857141106,24.869169266583878,1
-28.57142857142741,23.64773866535798,0
-0.0,45.57283897040844,1
-30.43478260869539,40.707841220730856,0
-30.000000000000192,38.199920714206435,0
-23.333333333333908,34.934560388860234,1
-13.333333333333526,30.68327462737411,1
-19.999999999999808,22.414338104076982,0
-30.000000000000192,21.35090829231859,0
-30.000000000000192,19.118047448054604,0
-22.2222222222224,17.842639591114217,0
-33.333333333333336,34.670474419431535,1
-23.07692307692375,46.43433231459743,1
-44.4444444444448,56.2979917565609,1
-14.285714285717187,56.73128261177804,0
-9.09090909090862,56.45098948670705,1
-16.66666666666785,34.2869896061393,1
-21.052631578947604,22.53983931420083,0
-21.052631578947604,21.582156528700303,0
-26.31578947368413,24.40108987600564,0
-36.84210526315718,21.897842594564352,0
-41.1764705882349,23.470062016355136,1
-50.00000000000089,22.459849038908096,1
-61.53846153846187,19.436342599255358,1
-61.53846153846187,21.363808605188233,1
-61.53846153846187,21.907519585081612,0
-69.99999999999885,22.359463608892398,0
-59.999999999999424,21.19047920468336,1
-80.00000000000115,22.151191698592022,0
-75.00000000000179,28.53547406734099,0
-66.66666666666667,26.59404670959333,1
-41.66666666666706,36.42787091953472,0
-24.999999999998817,36.99339763163145,0
-19.999999999998863,30.552163548508094,0
-9.999999999999432,27.50345713227412,1
-9.999999999999432,25.68820737495389,0
-9.09090909090862,25.71765347360269,0
-33.333333333333336,34.00538772919588,0
-13.333333333332574,33.481268901568875,0
-13.333333333332574,33.481268901568875,1
-7.142857142856707,23.72247823860724,0
-21.428571428572152,20.766228061634067,0
-21.428571428572152,21.60682454800091,1
-28.57142857142886,20.9438278518816,1
-28.57142857142886,22.39925482890425,0
-28.57142857142741,25.296009491734647,1
-27.272727272725863,27.290729283839113,1
-18.18181818181724,31.71212972033501,1
-30.76923076923127,27.759254094145373,1
-50.00000000000055,24.262813752372452,0
-50.00000000000055,23.77513642819716,1
-61.538461538461455,21.334289747762075,1
-50.000000000000604,17.643596875088612,0
-68.18181818181765,17.408876232405245,1
