price_previous,stoch_rsi_14_current,class
242.7,100.0,1
243.6,95.6193041181328,1
243.5,100.0,0
243.8,100.0,1
243.8,91.26723929384715,1
243.7,100.0,0
243.9,91.04485588976624,0
243.8,91.04485588976624,0
243.8,80.65900828262838,0
243.7,47.10473139803856,1
243.4,18.114273800187064,1
243.5,87.27427147493471,1
243.7,50.63369496578653,0
243.4,16.25870698135886,1
243.6,0.0,1
243.4,19.99722085346585,1
243.5,52.247124095496886,1
243.7,65.41630055570515,1
243.8,77.31529121644724,0
243.9,42.492268864146226,1
243.7,73.85038129375035,0
243.8,73.85038129375035,1
243.8,48.20598456844496,0
243.5,34.68016337260493,0
243.3,59.07453707633842,1
243.5,81.57748574983876,0
243.6,81.57748574983876,1
243.7,100.0,1
243.4,21.344353790494093,0
243.4,85.16067082974463,1
243.6,47.872566859533364,1
243.5,100.0,1
243.7,100.0,0
245.2,51.17347630761281,1
245.1,60.38213367781202,0
245.5,53.64109123823603,0
245.4,56.73892330768643,0
245.6,28.074346063089763,1
245.1,27.14521603864653,1
245.2,55.02432458915143,1
245.8,49.9573019241618,0
246.2,0.0,0
246.2,40.685717256242974,0
246.4,96.13692187877035,0
246.3,83.65620794864253,0
246.0,88.33454660443716,1
246.5,100.0,1
246.5,100.0,0
246.5,90.65426261383531,1
246.8,45.71769207521586,1
246.3,45.14023347990386,0
246.4,0.0,1
246.2,0.0,0
243.3,92.20395515751265,0
243.3,2.7141294901922466,1
243.3,25.70314745084002,0
243.4,46.63159785095691,0
243.5,83.19099685973963,0
243.6,16.708620916030778,0
243.4,59.765692398602866,1
243.6,37.79479690772285,0
243.2,28.476996527708703,1
243.6,83.94939056617491,0
243.6,83.94939056617491,1
243.6,100.0,0
243.7,100.0,0
243.8,48.37268506164109,1
243.5,90.97026693738823,0
243.8,60.409908302721284,1
243.6,96.68050150455852,0
243.9,54.879864698513906,0
243.4,99.72813516405235,0
243.8,99.72813516405235,0
243.8,87.71818431464987,0
243.7,61.85059786979043,0
243.5,74.8558425022343,1
243.6,74.8558425022343,0
243.6,74.8558425022343,1
243.6,88.80712605132376,1
243.7,100.0,0
243.8,84.38039864214826,0
243.7,64.67527056395471,1
243.7,64.67527056395471,0
243.7,59.37525096117794,0
243.7,4.7328939332397075,0
243.6,4.7328939332397075,1
243.4,100.0,1
243.5,100.0,0
244.4,88.98375557720291,1
244.0,97.33353953636237,0
244.5,99.9887940515733,0
244.7,92.37089664886213,1
245.0,95.14327495117088,1
244.8,87.29779602613846,0
244.5,87.29779602613846,0
244.5,84.26482981448916,0
243.4,91.96335811126708,0
243.3,84.7822423933027,1
243.5,45.24559670624518,1
243.4,100.0,1
243.7,100.0,0
244.1,73.35173393948969,1
244.1,100.0,1
244.6,83.20548203416988,0
244.6,73.46664913090882,0
244.5,46.5799301717969,0
244.3,46.57993017179693,0
244.3,12.782206237349241,1
244.2,0.0,1
244.2,28.03718340851975,1
244.2,28.03718340851975,1
244.2,41.98050090227376,0
244.3,54.74475354537569,0
244.4,19.791215705546048,1
244.2,24.603018275446768,0
244.2,0.0,0
243.5,89.5093114708942,1
243.7,100.0,0
243.9,91.67590488561798,0
243.8,99.07300654103969,0
243.9,99.07300654103969,1
243.9,100.0,0
244.0,91.60310406029741,0
243.2,89.38507814669218,0
243.5,90.51016299775259,0
243.5,90.51016299775259,1
243.9,85.75895175068598,0
243.7,84.34089184237841,0
243.7,75.26046225985358,1
243.6,75.26046225985358,1
243.6,96.12914387171419,0
243.8,89.02189991712179,1
243.9,99.60371264094181,1
244.0,100.0,1
245.1,42.05776173905254,1
244.6,42.05776173905254,0
244.6,5.437578273662547,1
244.3,0.0,1
244.7,11.125949367706623,0
244.4,11.12594936770667,1
