price_previous,ema100_previous,class
242.7,243.196788730931,1
243.6,243.1984617360954,1
243.5,243.2059823509734,0
243.8,243.21960454887298,1
243.8,243.23295700028004,1
243.7,243.24344502462958,0
243.9,243.2576857613686,0
243.8,243.26904448124196,0
243.8,243.28048818799888,0
243.7,243.28941517665172,1
243.4,243.29067523904556,1
243.5,243.29510120075506,1
243.7,243.31832599968052,0
243.4,243.33423429927083,1
243.6,243.34333429981152,1
243.4,243.3461699534798,1
243.5,243.3498359170736,1
243.7,243.3580095074276,1
243.8,243.36831135455623,0
243.9,243.38131913882043,1
243.7,243.38917921106997,0
243.8,243.3982440122856,1
243.8,243.40743922451642,0
243.5,243.4280617262874,0
243.3,243.4261872955911,1
243.5,243.42857866939048,0
243.6,243.43290288727312,1
243.7,243.44520989795586,1
243.4,243.4523268108566,0
243.4,243.45160054841358,1
243.6,243.4551589754741,1
243.5,243.4563568285833,1
243.7,243.4621111819273,0
245.2,243.79891034944708,1
245.1,243.82994300544357,0
245.5,243.8701414176561,0
245.4,244.06698771434986,0
245.6,244.10478228197974,1
245.1,244.1605821420248,1
245.2,244.18798273851326,1
245.8,244.29215725348308,0
246.2,245.8291511277565,0
246.2,245.8574713615745,0
246.4,245.85604198450312,0
246.3,245.86638279248183,0
246.0,245.87607307843425,1
246.5,245.9107613532351,1
246.5,245.92862768583853,0
246.5,245.94552040561916,1
246.8,246.02046517632968,1
246.3,246.04163667268475,0
246.4,246.05245192054863,1
246.2,246.0590926090496,0
243.3,244.254322216065,0
243.3,244.18481345280463,1
243.3,244.15737520939186,0
243.4,244.0854531053185,0
243.5,244.06549234972576,0
243.6,244.03414825579983,0
243.4,244.01353315183098,1
243.6,243.9979064878408,0
243.2,243.88286031894748,1
243.6,243.85491179066432,0
243.6,243.845215351992,1
243.6,243.83385144982952,0
243.7,243.82283330127632,0
243.8,243.8146333559607,1
243.5,243.8006551917408,0
243.8,243.79444397705845,1
243.6,243.78315571256888,0
243.9,243.7786513961876,0
243.4,243.62661089167355,0
243.8,243.62229653862755,0
243.8,243.61775770628597,0
243.7,243.61163846582176,0
243.5,243.6013700903672,1
243.6,243.59390507115882,0
243.6,243.58436189078486,1
243.6,243.57971296384312,1
243.7,243.57682638085092,0
243.8,243.57659697999665,0
243.7,243.5737720996549,1
243.7,243.57224280565552,0
243.7,243.570433882676,0
243.7,243.5689706919833,0
243.6,243.56312693721958,1
243.4,243.45556562196705,1
243.5,243.45396621440563,0
244.4,243.42345827477791,1
244.0,243.43766415086878,0
244.5,243.4630392727289,0
244.7,243.49156240093876,1
245.0,243.57290930380054,1
244.8,243.60340637005638,0
244.5,243.62673911589187,0
244.5,243.64929991512696,0
243.4,243.51850261103328,0
243.3,243.49592542280257,1
243.5,243.49600610749957,1
243.4,243.49317526037171,1
243.7,243.4978906238292,0
244.1,243.512602790038,1
244.1,243.5410269315197,1
244.6,243.6277891318433,0
244.6,243.64952012843827,0
244.5,243.669460434308,0
244.3,243.68349592644898,0
244.3,243.6978733121113,1
244.2,243.7087461509301,1
244.2,243.7275116317107,1
244.2,243.73903722122918,1
244.2,243.7509544053113,0
244.3,243.765235627629,0
244.4,243.78152416351418,1
244.2,243.79321984606514,0
244.2,243.8037541948537,0
243.5,243.73284957923732,1
243.7,243.73156148672714,0
243.9,243.73551672689067,0
243.8,243.73741344744647,0
243.9,243.74156271922902,1
243.9,243.74562982721366,0
244.0,243.751906508456,0
243.2,243.52681253462097,0
243.5,243.5216854810329,0
243.5,243.5216854810329,1
243.9,243.518438813644,0
243.7,243.51986470045483,0
243.7,243.52095243985409,1
243.6,243.51817896966287,1
243.6,243.51608024373226,0
243.8,243.52516221137554,1
243.9,243.5310351816962,1
244.0,243.5412513498301,1
245.1,243.65359815238145,1
244.6,243.70239291611657,0
244.6,243.72574573034674,1
244.3,243.74269551855275,1
244.7,243.7791260172029,0
244.4,243.79482958383943,1
