stoch_rsi_14_current,wpr14_previous,class
100.0,-54.54545454545549,1
95.6193041181328,-12.500000000000892,1
100.0,-23.529411764705984,0
100.0,-5.8823529411760775,1
91.26723929384715,-12.499999999999332,1
100.0,-21.428571428572152,0
91.04485588976624,-7.142857142856707,0
91.04485588976624,-14.285714285713414,0
80.65900828262838,-15.384615384614374,0
47.10473139803856,-23.07692307692375,1
18.114273800187064,-46.15384615384532,1
87.27427147493471,-41.66666666666706,1
50.63369496578653,-50.000000000002366,0
16.25870698135886,-74.99999999999824,1
0.0,-50.00000000000001,1
19.99722085346585,-74.99999999999824,1
52.247124095496886,-62.49999999999911,1
65.41630055570515,-37.500000000000895,1
77.31529121644724,-24.99999999999823,0
42.492268864146226,-12.499999999999115,1
73.85038129375035,-37.500000000000895,0
73.85038129375035,-24.99999999999823,1
48.20598456844496,-24.99999999999823,0
34.68016337260493,-83.33333333333412,0
59.07453707633842,-77.77777777777601,1
81.57748574983876,-55.55555555555521,0
81.57748574983876,-44.4444444444448,1
100.0,-14.285714285717187,1
21.344353790494093,-57.14285714285656,0
85.16067082974463,-57.14285714285656,1
47.872566859533364,-33.333333333334906,1
100.0,-50.0,1
100.0,-16.666666666669823,0
51.17347630761281,-57.81250000000021,1
60.38213367781202,-59.375000000000135,0
53.64109123823603,-53.125000000000036,0
56.73892330768643,-59.2592592592593,0
28.074346063089763,-40.909090909091375,1
27.14521603864653,-55.555555555556076,1
55.02432458915143,-30.769230769231612,1
49.9573019241618,-11.76470588235235,0
0.0,-80.00000000000115,0
40.685717256242974,-80.00000000000115,0
96.13692187877035,-5.5555555555552045,0
83.65620794864253,-23.80952380952355,0
88.33454660443716,-38.095238095238216,1
100.0,-14.285714285714672,1
100.0,-14.285714285714672,0
90.65426261383531,-14.285714285714672,1
45.71769207521586,-14.285714285713414,1
45.14023347990386,-58.33333333333294,0
0.0,-50.0,1
0.0,-66.66666666666825,0
92.20395515751265,-29.999999999998288,0
2.7141294901922466,-54.54545454545431,1
25.70314745084002,-74.99999999999824,0
46.63159785095691,-62.49999999999911,0
83.19099685973963,-50.00000000000001,0
16.708620916030778,-37.500000000000895,0
59.765692398602866,-62.49999999999911,1
37.79479690772285,-37.500000000000895,0
28.476996527708703,-60.00000000000227,1
83.94939056617491,-20.0000000000017,0
83.94939056617491,-20.0000000000017,1
100.0,-20.0000000000017,0
100.0,-10.000000000002274,0
48.37268506164109,-0.0,1
90.97026693738823,-30.000000000001133,0
60.409908302721284,-0.0,1
96.68050150455852,-20.0000000000017,0
54.879864698513906,-15.384615384614714,0
99.72813516405235,-63.63636363636294,0
99.72813516405235,-27.272727272725863,0
87.71818431464987,-27.272727272725863,0
61.85059786979043,-36.36363636363706,0
74.8558425022343,-54.54545454545431,1
74.8558425022343,-45.45454545454569,0
74.8558425022343,-45.45454545454569,1
88.80712605132376,-45.45454545454569,1
100.0,-36.36363636363706,0
84.38039864214826,-27.272727272725863,0
64.67527056395471,-40.000000000000576,1
64.67527056395471,-40.000000000000576,0
59.37525096117794,-57.14285714285889,0
4.7328939332397075,-57.14285714285889,0
4.7328939332397075,-66.66666666666825,1
100.0,-42.857142857141106,1
100.0,-28.57142857142741,0
88.98375557720291,-0.0,1
97.33353953636237,-30.43478260869539,0
99.9887940515733,-30.000000000000192,0
92.37089664886213,-23.333333333333908,1
95.14327495117088,-13.333333333333526,1
87.29779602613846,-19.999999999999808,0
87.29779602613846,-30.000000000000192,0
84.26482981448916,-30.000000000000192,0
91.96335811126708,-22.2222222222224,0
84.7822423933027,-33.333333333333336,1
45.24559670624518,-23.07692307692375,1
100.0,-44.4444444444448,1
100.0,-14.285714285717187,0
73.35173393948969,-9.09090909090862,1
100.0,-16.66666666666785,1
83.20548203416988,-21.052631578947604,0
73.46664913090882,-21.052631578947604,0
46.5799301717969,-26.31578947368413,0
46.57993017179693,-36.84210526315718,0
12.782206237349241,-41.1764705882349,1
0.0,-50.00000000000089,1
28.03718340851975,-61.53846153846187,1
28.03718340851975,-61.53846153846187,1
41.98050090227376,-61.53846153846187,0
54.74475354537569,-69.99999999999885,0
19.791215705546048,-59.999999999999424,1
24.603018275446768,-80.00000000000115,0
0.0,-75.00000000000179,0
89.5093114708942,-66.66666666666667,1
100.0,-41.66666666666706,0
91.67590488561798,-24.999999999998817,0
99.07300654103969,-19.999999999998863,0
99.07300654103969,-9.999999999999432,1
100.0,-9.999999999999432,0
91.60310406029741,-9.09090909090862,0
89.38507814669218,-33.333333333333336,0
90.51016299775259,-13.333333333332574,0
90.51016299775259,-13.333333333332574,1
85.75895175068598,-7.142857142856707,0
84.34089184237841,-21.428571428572152,0
75.26046225985358,-21.428571428572152,1
75.26046225985358,-28.57142857142886,1
96.12914387171419,-28.57142857142886,0
89.02189991712179,-28.57142857142741,1
99.60371264094181,-27.272727272725863,1
100.0,-18.18181818181724,1
42.05776173905254,-30.76923076923127,1
42.05776173905254,-50.00000000000055,0
5.437578273662547,-50.00000000000055,1
0.0,-61.538461538461455,1
11.125949367706623,-50.000000000000604,0
11.12594936770667,-68.18181818181765,1
