ema30_previous,sma10_previous,class
242.9144385936486,242.71,1
242.98529712205425,242.95,1
243.01850375934106,243.01,0
243.07295857572075,243.12000000000003,1
243.12591803017983,243.22000000000003,1
243.16900913273852,243.32,0
243.2222233899707,243.44,0
243.2645439303941,243.55,0
243.3041341133707,243.64000000000004,0
243.33673633013032,243.71,1
243.34586248731742,243.7,1
243.36493252760067,243.68,1
243.43955676419841,243.69,0
243.48380094054627,243.63,1
243.50802759313214,243.59,1
243.51103901776986,243.59,1
243.51638037919358,243.59,1
243.53831606654,243.56,1
243.56528816115448,243.57,0
243.59898958557525,243.58,1
243.61559564670355,243.59,0
243.6385908879724,243.63,1
243.6580847132489,243.66000000000003,0
243.6249990209944,243.66,0
243.564435182531,243.53000000000003,1
243.5572512959214,243.5,0
243.55900035080987,243.49,1
243.57855783038582,243.51,1
243.52979519327096,243.53000000000003,0
243.5214213098341,243.51,1
243.52850875478757,243.51,1
243.52666948028502,243.49,1
243.5378520944602,243.48999999999995,0
244.4607540082531,245.25,1
244.51612064941682,245.44,0
244.59977525694646,245.65,0
244.8740516610031,245.13,0
244.9420744841278,245.17,1
245.00309169998917,245.15,1
245.03193827759642,245.14,1
245.20260905760682,245.35,0
246.30332334604032,246.44,0
246.259489231279,246.32,0
245.99252418047746,245.78,0
246.0123613301241,245.78000000000003,0
245.9879062877316,245.75,1
246.0276145239743,246.0,1
246.06010885833803,246.14,0
246.0925246360728,246.22,1
246.22516331926442,246.43,1
246.2415524759692,246.49,0
246.25379274891387,246.52000000000004,1
246.25234010102352,246.49,0
243.21463646838947,243.40000000000003,0
243.26448111036132,243.42,1
243.28089761590496,243.41000000000003,0
243.32648786616485,243.40000000000003,0
243.34373575349878,243.42,0
243.39638398539182,243.48999999999995,0
243.39964405471613,243.49,1
243.41761487483325,243.47,0
243.42726740693783,243.47,1
243.43847632196517,243.43,0
243.4509150564587,243.45,1
243.46154236593262,243.45,0
243.47995350748016,243.47,0
243.50463737236697,243.48,1
243.50433818705292,243.48,0
243.5274488468061,243.54,1
243.5331384923867,243.57,0
243.56286053286743,243.64,0
243.45820252883306,243.41,0
243.48328075664506,243.40000000000003,0
243.50472318223603,243.42,0
243.51833061262766,243.44,0
243.518156918478,243.44,1
243.52343711728585,243.47,0
243.53293242687215,243.55,1
243.5382682930937,243.6,1
243.55374722686386,243.63,0
243.5746791326489,243.67,0
243.5878089799962,243.66,1
243.5990828143981,243.64999999999995,0
243.6066025265857,243.64999999999995,0
243.6136370960516,243.67,0
243.6109253068412,243.67,1
243.44512963700657,243.31000000000003,1
243.44564288236637,243.32,0
243.3278241255824,243.25,1
243.37421708908798,243.3,0
243.45592857880862,243.44,0
243.54728943736094,243.58,1
243.77734837128372,244.02,1
243.85644193397408,244.17,0
243.9090599954189,244.36000000000004,0
243.9582833432222,244.53000000000003,0
243.4449527612511,243.05000000000004,0
243.40234369508644,243.4,1
243.396536989618,243.38,1
243.38667114944485,243.39,1
243.39881450583863,243.42,0
243.4349719454776,243.48,1
243.50059506736,243.65,1
243.7787364802131,244.1,0
243.84584618770188,244.22,0
243.9001567717003,244.3,0
243.93806022124718,244.32,0
243.9815896951104,244.36000000000004,1
244.00980564679938,244.41,1
244.0487579907386,244.39,1
244.06860479992088,244.37,1
244.0861622437814,244.31,0
244.10601178417218,244.28000000000003,0
244.13607695205584,244.26,1
244.1482724278233,244.23,0
244.15867217268269,244.22,0
243.76964794867558,243.42,1
243.7511221222051,243.44,0
243.75568251648,243.48,0
243.74845244876752,243.52000000000004,0
243.751167227999,243.57,1
243.75370686018329,243.63,0
243.7645521100725,243.7,0
243.18844949648891,243.08,0
243.19741807780457,243.12,0
243.19741807780457,243.12,1
243.2873798290107,243.33,0
243.31198263316404,243.4,0
243.33398923361042,243.48999999999995,1
243.34812444047932,243.52,1
243.36134769851824,243.56,0
243.42990350741684,243.67,1
243.46527694348882,243.72000000000003,1
243.5048198352981,243.78000000000003,1
243.8712557949692,244.18,1
243.99727352745518,244.38,0
244.0523019226453,244.45,1
244.0793806299824,244.5,1
244.15436452698864,244.6,0
244.1833280151173,244.62,1
