sma10_current,sma200_current,class
242.71,243.0855,1
243.01,243.1065,1
243.12000000000003,243.112,0
243.22000000000003,243.1185,1
243.32,243.1245,1
243.44,243.1325,0
243.55,243.139,0
243.64000000000004,243.1455,0
243.71,243.152,0
243.7,243.157,1
243.68,243.1625,1
243.7,243.178,1
243.7,243.192,0
243.6,243.209,1
243.59,243.2205,1
243.59,243.231,1
243.56,243.238,1
243.57,243.2445,1
243.58,243.249,0
243.59,243.253,1
243.63,243.2575,0
243.66000000000003,243.2625,1
243.67,243.267,0
243.63,243.289,0
243.5,243.297,1
243.49,243.301,0
243.48,243.306,1
243.53,243.3225,1
243.51,243.3475,0
243.51,243.3505,1
243.49,243.354,1
243.48999999999995,243.358,1
243.51,243.3635,0
245.44,243.5275,1
245.65,243.5395,0
245.79,243.5515,0
245.17,243.5955,0
245.19,243.598,1
245.14,243.6045,1
245.19,243.6125,1
245.38,243.643,0
246.39,244.593,0
246.3,244.6505,0
245.78000000000003,244.78800000000004,0
245.76,244.805,0
245.79,244.8545,1
246.14,244.909,1
246.22,244.928,0
246.21000000000004,244.946,1
246.47000000000003,245.0145,1
246.52000000000004,245.0415,0
246.49,245.0535,1
246.45,245.0655,0
243.4,245.2155,0
243.41000000000003,245.17050000000003,1
243.40000000000003,245.158,0
243.42,245.1265,0
243.46,245.1195,0
243.49,245.10050000000004,0
243.47,245.094,1
243.49,245.0875,0
243.43,245.0315,1
243.45,245.016,0
243.45,245.007,1
243.47,244.998,0
243.48,244.98800000000003,0
243.48,244.978,1
243.54,244.971,0
243.57,244.963,1
243.64,244.958,0
243.67,244.9515,0
243.40000000000003,244.8865,0
243.42,244.8795,0
243.44,244.873,0
243.44,244.865,0
243.47,244.859,1
243.51,244.8535,0
243.6,244.841,1
243.63,244.833,1
243.67,244.824,0
243.66,244.815,0
243.64999999999995,244.807,1
243.64999999999995,244.7985,0
243.67,244.789,0
243.67,244.779,0
243.67,244.75800000000004,1
243.32,244.566,1
243.34,244.556,0
243.3,244.4475,1
243.44,244.44100000000003,0
243.58,244.435,0
243.71,244.428,1
244.17,244.412,1
244.36000000000004,244.406,0
244.53000000000003,244.3975,0
244.53000000000003,244.388,0
243.09,244.13,0
243.38,244.033,1
243.39,244.0185,1
243.42,244.00600000000003,1
243.48,243.996,0
243.54,243.9865,1
243.75,243.966,1
244.22,243.9405,0
244.3,243.933,0
244.32,243.92550000000003,0
244.36000000000004,243.917,0
244.41,243.9075,1
244.4,243.897,1
244.37,243.874,1
244.31,243.8625,1
244.28000000000003,243.8525,0
244.26,243.841,0
244.23,243.82800000000003,1
244.22,243.815,0
244.2,243.8035,0
243.42,243.6735,1
243.48,243.661,0
243.52000000000004,243.6565,0
243.57,243.652,0
243.63,243.6485,1
243.7,243.6455,0
243.77000000000004,243.6405,0
243.09,243.5285,0
243.13,243.534,0
243.13,243.534,1
243.4,243.5445,0
243.48999999999995,243.5475,0
243.52,243.5505,1
243.56,243.5545,1
243.64,243.5605,0
243.72000000000003,243.5685,1
243.78000000000003,243.5715,1
243.83,243.575,1
244.28,243.6035,1
244.45,243.61550000000003,0
244.5,243.6205,1
244.53,243.625,1
244.62,243.6345,0
244.61,243.64,1
