ema10_current,ema10_previous,class
242.7479209911617,242.71412565586436,1
243.19277496110772,243.10379487591626,1
243.33424129512343,243.19277496110772,0
243.44716267918275,243.33424129512343,1
243.52137108432208,243.44716267918275,1
243.62409828516158,243.52137108432208,0
243.6871421966221,243.62409828516158,0
243.7330759820916,243.6871421966221,0
243.74682875538662,243.7330759820916,0
243.68094518336272,243.74682875538662,1
243.62421664429863,243.68094518336272,1
243.6797099783551,243.60163179988075,1
243.70511265958461,243.68057527488227,0
243.5862533612204,243.61577470198813,1
243.5521236878136,243.58592895177216,1
243.5200166835776,243.52446483548383,1
243.5442695279754,243.5200166835776,1
243.5935897757516,243.5442695279754,1
243.65212452393232,243.5935897757516,0
243.66365295426186,243.65212452393232,1
243.69973851948325,243.66365295426186,0
243.72643927452896,243.69973851948325,1
243.72445593202275,243.72643927452896,0
243.5840360620896,243.59084244749508,0
243.45028644571119,243.4495929163659,1
243.47468329362832,243.45028644571119,0
243.4946443510149,243.47468329362832,1
243.5875123366237,243.55561245998678,1
243.45672908434034,243.47623816563598,0
243.48277834173297,243.45672908434034,1
243.48026195569247,243.48277834173297,1
243.52021432738465,243.48026195569247,1
243.5585502281311,243.52021432738465,0
245.50810452669404,245.53321954948075,1
245.5659307410485,245.50810452669404,0
245.55711287366313,245.5659307410485,0
245.22668104841838,245.12991604518257,0
245.24565936352226,245.22668104841838,1
245.2036240059114,245.2078806496128,1
245.25344772369567,245.2036240059114,1
245.45208632206402,245.4310849109149,0
246.32841625520317,246.41865419052056,0
246.21236019291774,246.1997872983417,0
245.83872175958703,245.7362154839397,0
245.86239747939118,245.83872175958703,0
245.92871817021057,245.87685030515075,1
246.2231095049664,246.11325995708577,1
246.29604361787418,246.2231095049664,0
246.29393916176159,246.29604361787418,1
246.5462437742421,246.56493715452262,1
246.49611484768258,246.50711977555991,0
246.4338043895158,246.49611484768258,1
246.36181748906208,246.4338043895158,0
243.37641283585307,243.3711712438205,0
243.40324521285584,243.42963990254498,1
243.3998313758376,243.40324521285584,0
243.4354882885344,243.41424973454428,0
243.4948765202517,243.4354882885344,0
243.50019558876545,243.52246127515772,0
243.512694248719,243.50019558876545,1
243.51603380013188,243.512694248719,0
243.36358347007842,243.39151836631362,1
243.4473852914805,243.40656829370056,0
243.4751334203021,243.4473852914805,1
243.52166584960904,243.4751334203021,0
243.57509585708831,243.52166584960904,0
243.5614420648904,243.57509585708831,1
243.6217590248139,243.5614420648904,0
243.6262742334359,243.6217590248139,1
243.69580914285018,243.6262742334359,0
243.6868606936474,243.69580914285018,0
243.4252531685399,243.34542740393653,0
243.49903655271262,243.4252531685399,0
243.54122295794483,243.49903655271262,0
243.53372787468217,243.54122295794483,0
243.55424874696445,243.53372787468217,1
243.57386234987632,243.55424874696445,0
243.6058634087236,243.5899098431678,1
243.63145054754384,243.6058634087236,1
243.67339109580487,243.63145054754384,0
243.67540528006856,243.67339109580487,0
243.6770532490116,243.67540528006856,1
243.6812253855549,243.6770532490116,0
243.69028654845218,243.6812253855549,0
243.67387081236998,243.69028654845218,0
243.6494507091071,243.66043975557545,1
243.37911578236424,243.3488013138351,1
243.4067423276598,243.37911578236424,0
243.45403016580346,243.31544699070977,1
243.68373967573535,243.45403016580346,0
243.90804745658886,243.68373967573535,0
244.03420275169705,243.90804745658886,1
244.48232238160404,244.35995771947742,1
244.5391886620677,244.48232238160404,0
244.58006802217602,244.5391886620677,0
244.54732838178035,244.58006802217602,0
243.27546065841813,243.21175779073772,0
243.39236570386976,243.3753495895052,1
243.3965775560289,243.39236570386976,1
243.46021666806632,243.3965775560289,1
243.59348370013961,243.46021666806632,0
243.66615672638144,243.59348370013961,1
243.90245075355125,243.77959338601846,1
244.3934105803183,244.30608611173585,0
244.435380861344,244.3934105803183,0
244.41641375591598,244.435380861344,0
244.40654281174577,244.41641375591598,0
244.3831085648328,244.40654281174577,1
244.31062866381862,244.3831085648328,1
244.2660992276292,244.2876905629889,1
244.23713839633845,244.2660992276292,1
244.24009638387054,244.23713839633845,0
244.2635221719869,244.24009638387054,0
244.24350129121933,244.2635221719869,1
244.23276816722571,244.24350129121933,0
244.20298090382286,244.23276816722571,0
243.44774812135643,243.39169214832455,1
243.58341676266312,243.4992596959261,0
243.63409072635716,243.58341676266312,0
243.69655685860582,243.63409072635716,0
243.750489310581,243.69655685860582,1
243.8156214786961,243.750489310581,0
243.850729616245,243.8156214786961,0
243.0978024922157,243.0938628480981,0
243.2223334674884,243.17940070676468,0
243.2223334674884,243.17940070676468,1
243.54469389076928,243.48602225867037,0
243.59834555003025,243.54469389076928,0
243.60711775406742,243.59834555003025,1
243.61711881023328,243.60711775406742,1
243.6911421403653,243.61711881023328,0
243.76636016075832,243.71940587343246,1
243.8257829214331,243.76636016075832,1
243.90794138184967,243.8257829214331,1
244.52553845914827,244.4744783595258,1
244.59302423718844,244.5673149042939,0
244.55386609474056,244.59302423718844,1
244.49799819973958,244.55386609474056,1
244.53205045954988,244.5544923880077,0
244.50521748676903,244.53205045954988,1
