price_current,ema50_previous,class
242.9,243.05081734269802,1
243.5,243.0801567765349,1
243.8,243.09723482203853,0
243.8,243.12724866225426,1
243.7,243.156699094496,1
243.9,243.1810730391989,0
243.8,243.2141750962919,0
243.8,243.2414438595034,0
243.7,243.26764325945183,0
243.4,243.28766645258773,1
243.4,243.2920716897411,1
244.0,243.30490584953125,1
243.8,243.3507402272872,0
243.5,243.37771325986583,1
243.4,243.38922113110297,1
243.5,243.38825726589275,1
243.7,243.39263933389682,1
243.8,243.40653350945578,1
243.9,243.42564520011646,0
243.7,243.44915619207558,1
243.8,243.46144762562298,0
243.8,243.477792216164,1
243.7,243.49349584237004,0
243.6,243.52442472476272,0
243.5,243.51255442376754,1
243.6,243.51574372563167,0
243.6,243.52518394693396,1
243.7,243.5545785459897,1
243.4,243.56219727325947,0
243.6,243.5552229905087,1
243.5,243.55697895166531,1
243.7,243.55474448297244,1
243.7,243.5598271723899,0
245.1,244.13457566301184,1
245.5,244.18102591608482,0
245.3,244.24318168121968,0
245.6,244.49865839231296,0
245.3,244.55473397200885,1
245.2,244.6246263992505,1
245.4,244.65700775575604,1
245.5,244.8000337612191,0
246.0,246.11119101088147,0
246.3,246.1010535779913,0
246.3,246.00222037498435,0
246.0,246.0194204556496,0
246.1,246.02153319613763,1
246.5,246.06322380568764,1
246.5,246.08648833757584,0
246.3,246.10699971877625,1
246.4,246.20774843612026,1
246.4,246.2252391078703,0
246.2,246.2333196869252,1
246.1,246.23139942716784,0
243.4,243.48892970336541,0
243.3,243.46644913507347,1
243.4,243.45194484822804,0
243.5,243.4249696349054,0
243.7,243.4193215270121,0
243.4,243.4213413881039,0
243.6,243.41068678503564,1
243.5,243.40829314679337,0
243.3,243.36018757137555,1
243.6,243.3540655555481,0
243.6,243.3612556220941,1
243.7,243.3712317520857,0
243.8,243.38719265139287,0
243.5,243.41503967685944,1
243.8,243.4226666918136,0
243.6,243.4436001301281,1
243.9,243.45464230130239,0
243.6,243.47824336277438,0
243.8,243.4535383943004,0
243.8,243.4738747829836,0
243.7,243.4928000608603,0
243.5,243.5033799701416,0
243.6,243.50386102766103,1
243.6,243.5082447888069,0
243.6,243.5177064639288,1
243.7,243.52154726678987,1
243.8,243.53038622929424,0
243.7,243.54280013444543,0
243.7,243.55141925652737,1
243.7,243.55970037382176,0
243.7,243.56765674141843,0
243.6,243.57468748923145,0
243.6,243.57729558812068,1
243.5,243.4786918402208,1
243.5,243.4807546650657,0
244.0,243.38654096331402,1
244.5,243.4136662072789,0
244.7,243.46363079689957,0
244.4,243.52131994420768,1
244.8,243.67285872345792,1
244.5,243.72565081729766,0
244.5,243.76031268948935,0
244.4,243.7936152725756,0
243.5,243.4785969895356,0
243.5,243.45285561946952,1
243.4,243.4577724455459,1
243.7,243.45673407018205,1
244.1,243.46750112130297,0
243.9,243.49598663110697,1
244.3,243.5502679699613,1
244.6,243.72280836140885,0
244.5,243.76641211403037,0
244.3,243.8031571362052,0
244.3,243.82939082912742,0
244.2,243.85398214441014,1
244.0,243.87736915796813,1
244.2,243.90048910839386,1
244.2,243.913461844291,1
244.3,243.9228578186069,0
244.4,243.93519328660145,0
244.2,243.95342100085227,1
244.2,243.96124994942073,0
244.1,243.96570385355844,0
243.7,243.78249283555442,1
243.9,243.7881330243901,0
243.8,243.79681520218614,0
243.9,243.8000081230579,0
243.9,243.8051565838701,1
244.0,243.81255756573015,0
243.9,243.82358988163492,0
243.1,243.3362586496526,0
243.4,243.32422517571862,0
243.4,243.32422517571862,1
243.7,243.35205431816294,0
243.7,243.36140400928653,0
243.6,243.3716142565921,1
243.6,243.3768889280473,1
243.9,243.38257035500945,0
243.9,243.41963891186245,1
244.0,243.4409310230653,1
244.2,243.4659233235105,1
244.6,243.69113701774154,1
244.6,243.77663953392852,0
244.3,243.8156778387047,1
244.2,243.83835249684574,1
244.4,243.8936252381765,0
244.4,243.91716470418132,1
