price_current,ema50_current,class
242.9,243.04244851562999,1
243.5,243.09723482203853,1
243.8,243.12724866225426,0
243.8,243.156699094496,1
243.7,243.1810730391989,1
243.9,243.2141750962919,0
243.8,243.2414438595034,0
243.8,243.26764325945183,0
243.7,243.28766645258773,0
243.4,243.2920716897411,1
243.4,243.29630417249646,1
244.0,243.3358460758752,1
243.8,243.36835825758973,0
243.5,243.3818952129344,1
243.4,243.3884166211081,1
243.5,243.39263933389682,1
243.7,243.40653350945578,1
243.8,243.42564520011646,1
243.9,243.44915619207558,0
243.7,243.46144762562298,1
243.8,243.477792216164,0
243.8,243.49349584237004,1
243.7,243.50588928220586,0
243.6,243.53107009325439,0
243.5,243.51574372563167,1
243.6,243.52518394693396,0
243.6,243.53548117421505,1
243.7,243.56641740178765,1
243.4,243.5552229905087,0
243.6,243.55697895166531,1
243.5,243.55474448297244,1
243.7,243.5598271723899,1
243.7,243.5647105406536,0
245.1,244.18102591608482,1
245.5,244.24318168121968,0
245.3,244.29321601201,0
245.6,244.55473397200885,0
245.3,244.59500498737748,1
245.2,244.65700775575604,1
245.4,244.69964402460653,1
245.5,244.8391419196336,0
246.0,246.10498976297816,0
246.3,246.1106962145661,0
246.3,246.0194204556496,0
246.0,246.0223405013616,0
246.1,246.03074637938067,1
246.5,246.08648833757584,1
246.5,246.10699971877625,0
246.3,246.11702277872755,1
246.4,246.21835573997515,1
246.4,246.2333196869252,0
246.2,246.23139942716784,1
246.1,246.2274737191914,0
243.4,243.47562457812992,0
243.3,243.45194484822804,1
243.4,243.44254453094032,0
243.5,243.4193215270121,0
243.7,243.4223516561689,0
243.4,243.41068678503564,0
243.6,243.40829314679337,1
243.5,243.40391262419402,0
243.3,243.35169122077892,1
243.6,243.3612556220941,0
243.6,243.3712317520857,1
243.7,243.38719265139287,0
243.8,243.41503967685944,0
243.5,243.4226666918136,1
243.8,243.4436001301281,0
243.6,243.45464230130239,1
243.9,243.47824336277438,0
243.6,243.48731337043762,0
243.8,243.4738747829836,0
243.8,243.4928000608603,0
243.7,243.5033799701416,0
243.5,243.50386102766103,0
243.6,243.5082447888069,1
243.6,243.5130702431192,0
243.6,243.52154726678987,1
243.7,243.53038622929424,1
243.8,243.54280013444543,0
243.7,243.55141925652737,0
243.7,243.55970037382176,1
243.7,243.56765674141843,0
243.7,243.57468748923145,0
243.6,243.5744529259767,0
243.6,243.580026773318,1
243.5,243.4807546650657,1
243.5,243.48089577871468,0
244.0,243.4136662072789,1
244.5,243.46363079689957,0
244.7,243.52131994420768,0
244.4,243.56314125002723,1
244.8,243.72565081729766,1
244.5,243.76031268948935,0
244.5,243.7936152725756,0
244.4,243.82169030338383,0
243.5,243.47943632327932,0
243.5,243.4577724455459,1
243.4,243.45673407018205,1
243.7,243.46750112130297,1
244.1,243.49598663110697,0
243.9,243.51489831947208,1
244.3,243.58457806898528,1
244.6,243.76641211403037,0
244.5,243.8031571362052,0
244.3,243.82939082912742,0
244.3,243.85398214441014,0
244.2,243.87736915796813,1
244.0,243.8895414750127,1
244.2,243.913461844291,1
244.2,243.9228578186069,1
244.3,243.93519328660145,0
244.4,243.95342100085227,0
244.2,243.96124994942073,1
244.2,243.96570385355844,0
244.1,243.9666751315292,0
243.7,243.7866210868114,1
243.9,243.79681520218614,0
243.8,243.8000081230579,0
243.9,243.8051565838701,0
243.9,243.81255756573015,1
244.0,243.82358988163492,0
243.9,243.82904077833697,0
243.1,243.32024394552025,0
243.4,243.32228789451136,0
243.4,243.32228789451136,1
243.7,243.36140400928653,0
243.7,243.3716142565921,0
243.6,243.3768889280473,1
243.6,243.38257035500945,1
243.9,243.4034753190044,0
243.9,243.4409310230653,1
244.0,243.4659233235105,1
244.2,243.49961948710109,1
244.6,243.73536917847224,1
244.6,243.8156778387047,0
244.3,243.83835249684574,1
244.2,243.85560277871136,1
244.4,243.91716470418132,0
244.4,243.93916744850443,1
