macd_12_26_current,wpr14_previous,class
-0.10579493543761488,-54.54545454545549,1
0.12682504136861894,-12.500000000000892,1
0.1905253506889153,-23.529411764705984,0
0.2345323651046556,-5.8823529411760775,1
0.2591456587062737,-12.499999999999332,1
0.2908785881535607,-21.428571428572152,0
0.3080925934912955,-7.142857142856707,0
0.3199307683841539,-14.285714285713414,0
0.3183861695091537,-15.384615384614374,0
0.2775441674219508,-23.07692307692375,1
0.2411417992104248,-46.15384615384532,1
0.22087050537811592,-41.66666666666706,1
0.18179074091452208,-50.000000000002366,0
0.05884000098657794,-74.99999999999824,1
0.0038309321667497898,-50.00000000000001,1
-0.03149576330866921,-74.99999999999824,1
-0.019570723288950376,-62.49999999999911,1
-0.0021188470064146263,-37.500000000000895,1
0.008904161459867055,-24.99999999999823,0
0.010205171747799113,-12.499999999999115,1
0.018729063130194845,-37.500000000000895,0
0.028469605969064563,-24.99999999999823,1
0.034647093511495086,-24.99999999999823,0
-0.006461932966459472,-83.33333333333412,0
-0.07566565891602295,-77.77777777777601,1
-0.06050809276126756,-55.55555555555521,0
-0.05105932405547264,-44.4444444444448,1
-0.007833523616511684,-14.285714285717187,1
-0.03882043863879403,-57.14285714285656,0
-0.022322784941934515,-57.14285714285656,1
-0.02013872107414727,-33.333333333334906,1
0.0015673193133807215,-50.0,1
0.016516134571872954,-16.666666666669823,0
0.7297572968053885,-57.81250000000021,1
0.7196259668604057,-59.375000000000135,0
0.6831804288678427,-53.125000000000036,0
0.17764630974522788,-59.2592592592593,0
0.13550047501192353,-40.909090909091375,1
0.05700402546034411,-55.555555555556076,1
0.03904333561837348,-30.769230769231612,1
0.05823667083575401,-11.76470588235235,0
0.02902046610179809,-80.00000000000115,0
-0.047556664614631934,-80.00000000000115,0
-0.13178172017259726,-5.5555555555552045,0
-0.108985576023656,-23.80952380952355,0
-0.06542863854653548,-38.095238095238216,1
0.09849970845419877,-14.285714285714672,1
0.15662089614417596,-14.285714285714672,0
0.1805880157879756,-14.285714285714672,1
0.23289430089923255,-14.285714285713414,1
0.1938630133359993,-58.33333333333294,0
0.160980668429346,-50.0,1
0.12336692143031767,-66.66666666666825,0
0.12625613980199546,-29.999999999998288,0
0.09067777347249263,-54.54545454545431,1
0.07783405358983941,-74.99999999999824,0
0.06203469308994159,-62.49999999999911,0
0.08024242127106618,-50.00000000000001,0
0.06881273874401472,-37.500000000000895,0
0.07276303079814284,-62.49999999999911,1
0.0605666422619322,-37.500000000000895,0
-0.03411377132721327,-60.00000000000227,1
-0.003013091751000729,-20.0000000000017,0
0.007005956479360975,-20.0000000000017,1
0.029581846751199237,-20.0000000000017,0
0.04921625113934169,-10.000000000002274,0
0.03825492998095115,-0.0,1
0.05172719668613013,-30.000000000001133,0
0.0484992841704468,-0.0,1
0.0846987068671865,-20.0000000000017,0
0.07733058353642264,-15.384615384614714,0
-0.037168028456505915,-63.63636363636294,0
-0.004310280983958137,-27.272727272725863,0
0.007219187602032663,-27.272727272725863,0
0.002255794306421421,-36.36363636363706,0
0.006299028708184551,-54.54545454545431,1
0.010017843220509805,-45.45454545454569,0
0.02404070627056853,-45.45454545454569,1
0.04285771744895328,-45.45454545454569,1
0.06943013003984788,-36.36363636363706,0
0.07394393191543712,-27.272727272725863,0
0.07814985831404897,-40.000000000000576,1
0.07266457982714769,-40.000000000000576,0
0.06406546134567748,-57.14285714285889,0
0.05271949072155735,-57.14285714285889,0
0.041259209393615486,-66.66666666666825,1
-0.05937556254858122,-42.857142857141106,1
-0.041197294957640906,-28.57142857142741,0
0.06274715405439224,-0.0,1
0.15582042757469594,-30.43478260869539,0
0.24538621995904464,-30.000000000000192,0
0.2935329607160213,-23.333333333333908,1
0.4436799919469081,-13.333333333333526,1
0.4375541252802577,-19.999999999999808,0
0.4230473103599763,-30.000000000000192,0
0.4161843280544133,-30.000000000000192,0
-0.1874557933959977,-22.2222222222224,0
0.06635131947479067,-33.333333333333336,1
0.07674353461939631,-23.07692307692375,1
0.10421059682659006,-44.4444444444448,1
0.17124704945547364,-14.285714285717187,0
0.1948408172316931,-9.09090909090862,1
0.252936323649692,-16.66666666666785,1
0.3793532015095025,-21.052631578947604,0
0.3671659246579111,-21.052631578947604,0
0.3402430245924961,-26.31578947368413,0
0.3106636093045836,-36.84210526315718,0
0.2654168359564437,-41.1764705882349,1
0.2165103130335524,-50.00000000000089,1
0.16493463663729813,-61.53846153846187,1
0.13543830961705794,-61.53846153846187,1
0.11386364032782124,-61.53846153846187,0
0.09449580349021858,-69.99999999999885,0
0.060957060129226186,-59.999999999999424,1
0.031672475444622705,-80.00000000000115,0
0.00155164240521799,-75.00000000000179,0
-0.23861531662586802,-66.66666666666667,1
-0.13532989786270375,-41.66666666666706,0
-0.09331999406211366,-24.999999999998817,0
-0.04870552330271494,-19.999999999998863,0
-0.010536825017112506,-9.999999999999432,1
0.02780711649523937,-9.999999999999432,0
0.0540932392585205,-9.09090909090862,0
-0.04817639738146795,-33.333333333333336,0
0.038522479356231536,-13.333333333332574,0
0.038522479356231536,-13.333333333332574,1
0.1896293242305376,-7.142857142856707,0
0.20410365901540214,-21.428571428572152,0
0.20584891528389448,-21.428571428572152,1
0.21152674575094466,-28.57142857142886,1
0.2269988632152149,-28.57142857142886,0
0.23257107149584044,-28.57142857142741,1
0.23418957531265505,-27.272727272725863,1
0.2500452101110397,-18.18181818181724,1
0.4171703530725495,-30.76923076923127,1
