price_previous,sma30_current,class
242.7,243.04666666666665,1
243.6,243.02,1
243.5,243.03333333333336,0
243.8,243.0533333333333,1
243.8,243.07333333333332,1
243.7,243.09333333333333,0
243.9,243.11,0
243.8,243.1266666666667,0
243.8,243.15,0
243.7,243.16666666666663,1
243.4,243.17666666666665,1
243.5,243.21,1
243.7,243.2633333333333,0
243.4,243.31666666666663,1
243.6,243.38333333333333,1
243.4,243.42666666666665,1
243.5,243.46,1
243.7,243.4933333333333,1
243.8,243.53333333333333,0
243.9,243.56666666666663,1
243.7,243.6033333333333,0
243.8,243.63333333333333,1
243.8,243.65666666666667,0
243.5,243.63666666666668,0
243.3,243.58666666666667,1
243.5,243.58333333333331,0
243.6,243.59000000000003,1
243.7,243.59333333333336,1
243.4,243.56333333333333,0
243.4,243.57,1
243.6,243.57,1
243.5,243.57,1
243.7,243.56666666666663,0
245.2,244.03333333333333,1
245.1,244.1,0
245.5,244.15666666666667,0
245.4,244.54666666666665,0
245.6,244.6,1
245.1,244.7,1
245.2,244.77666666666664,1
245.8,245.04333333333332,0
246.2,246.18666666666664,0
246.2,246.23666666666665,0
246.4,246.15,0
246.3,246.13333333333333,0
246.0,246.10333333333332,1
246.5,246.0966666666667,1
246.5,246.11000000000004,0
246.5,246.10333333333332,1
246.8,246.10666666666665,1
246.3,246.11666666666667,0
246.4,246.1233333333333,1
246.2,246.1266666666667,0
243.3,243.1133333333333,0
243.3,243.17333333333332,1
243.3,243.19333333333333,0
243.4,243.25666666666663,0
243.5,243.28333333333333,0
243.6,243.31666666666663,0
243.4,243.33333333333331,1
243.6,243.33666666666667,0
243.2,243.43,1
243.6,243.44666666666672,0
243.6,243.45000000000007,1
243.6,243.46000000000004,0
243.7,243.4733333333334,0
243.8,243.47333333333336,1
243.5,243.48666666666668,0
243.8,243.49000000000007,1
243.6,243.51,0
243.9,243.52,0
243.4,243.50333333333333,0
243.8,243.50666666666663,0
243.8,243.51,0
243.7,243.5133333333333,0
243.5,243.51333333333332,1
243.6,243.51666666666668,0
243.6,243.51666666666668,1
243.6,243.5333333333334,1
243.7,243.55000000000007,0
243.8,243.5666666666667,0
243.7,243.58,1
243.7,243.58333333333331,0
243.7,243.58666666666664,0
243.7,243.58666666666664,0
243.6,243.57666666666668,1
243.4,243.51,1
243.5,243.50333333333327,0
244.4,243.38,1
244.0,243.41,0
244.5,243.44666666666663,0
244.7,243.47333333333333,1
245.0,243.59666666666664,1
244.8,243.63333333333333,0
244.5,243.67,0
244.5,243.70666666666665,0
243.4,243.63,0
243.3,243.54,1
243.5,243.50666666666663,1
243.4,243.48,1
243.7,243.45,0
244.1,243.42,1
244.1,243.3766666666667,1
244.6,243.55000000000007,0
244.6,243.59000000000003,0
244.5,243.63,0
244.3,243.69666666666672,0
244.3,243.7433333333333,1
244.2,243.79333333333332,1
244.2,243.87,1
244.2,243.9,1
244.2,243.92,0
244.3,243.95666666666665,0
244.4,243.98333333333332,1
244.2,244.00666666666663,0
244.2,244.03333333333333,0
243.5,243.9833333333333,1
243.7,243.94666666666663,0
243.9,243.91333333333333,0
243.8,243.89,0
243.9,243.86666666666665,1
243.9,243.85,0
244.0,243.83666666666664,0
243.2,243.32333333333332,0
243.5,243.30666666666667,0
243.5,243.30666666666667,1
243.9,243.27999999999997,0
243.7,243.26999999999995,0
243.7,243.26,1
243.6,243.25,1
243.6,243.26666666666668,0
243.8,243.29333333333332,1
243.9,243.31,1
244.0,243.34333333333333,1
245.1,243.62,1
244.6,243.72666666666672,0
244.6,243.76333333333335,1
244.3,243.79333333333335,1
244.7,243.9,0
244.4,243.94333333333333,1
