price_previous,uosc_previous,class
242.7,21.379885046451914,1
243.6,28.3890230229244,1
243.5,25.79184034575511,0
243.8,27.410741074107047,1
243.8,25.458241947805533,1
243.7,22.059716360914866,0
243.9,22.53823196687541,0
243.8,17.008123195731017,0
243.8,18.001621612297242,0
243.7,21.294207393056475,1
243.4,18.823053158624145,1
243.5,19.400939442852376,1
243.7,22.734051092864657,0
243.4,19.806918388699184,1
243.6,23.976680400614004,1
243.4,16.410981582396726,1
243.5,17.598505696236007,1
243.7,25.244667205092536,1
243.8,25.249840853002485,0
243.9,24.48608887900327,1
243.7,20.68233353947642,0
243.8,23.03139518331161,1
243.8,25.313688402191204,0
243.5,26.07199817726034,0
243.3,23.841362363563217,1
243.5,31.831787260358386,0
243.6,33.67464714709917,1
243.7,25.12902520365177,1
243.4,34.5283789301762,0
243.4,38.083953960731904,1
243.6,45.29616724738735,1
243.5,38.155061019383176,1
243.7,41.79587880618865,0
245.2,16.78437534159132,1
245.1,11.016211916399515,0
245.5,10.700751923449292,0
245.4,25.46232298297667,0
245.6,25.58364296705452,1
245.1,25.773341714390234,1
245.2,20.504068649828078,1
245.8,18.12724943793112,0
246.2,26.85638496189079,0
246.2,10.411822660098213,0
246.4,27.989222883602626,0
246.3,25.024668661996568,0
246.0,18.11371851699863,1
246.5,17.01057028925865,1
246.5,18.533360537814385,0
246.5,23.974840469084764,1
246.8,30.05736330544499,1
246.3,24.4884357996983,0
246.4,21.20493225785105,1
246.2,22.597534560382535,0
243.3,33.06260287190153,0
243.3,54.05018125867856,1
243.3,40.04091994637346,0
243.4,31.2064848112204,0
243.5,29.467876039305487,0
243.6,28.43357734007535,0
243.4,31.432506261682025,1
243.6,33.68136187095412,0
243.2,34.19879062736174,1
243.6,37.75182677789487,0
243.6,35.26533304614739,1
243.6,35.51621465746649,0
243.7,35.2383180954608,0
243.8,30.00099267330749,1
243.5,33.81157340985156,0
243.8,41.478646253021104,1
243.6,35.67655987503232,0
243.9,42.090403875300176,0
243.4,19.91795366795364,0
243.8,24.090984102535906,0
243.8,23.367220712535282,0
243.7,22.030616651112343,0
243.5,20.930118181710338,1
243.6,23.598901098901,0
243.6,22.619047619047183,1
243.6,19.07207006191723,1
243.7,23.222917307625213,0
243.8,30.54741988643785,0
243.7,35.26624442880442,1
243.7,35.5825206580791,0
243.7,38.38355303274524,0
243.7,40.77758625813279,0
243.6,34.37470350558354,1
243.4,24.869169266583878,1
243.5,23.64773866535798,0
244.4,45.57283897040844,1
244.0,40.707841220730856,0
244.5,38.199920714206435,0
244.7,34.934560388860234,1
245.0,30.68327462737411,1
244.8,22.414338104076982,0
244.5,21.35090829231859,0
244.5,19.118047448054604,0
243.4,17.842639591114217,0
243.3,34.670474419431535,1
243.5,46.43433231459743,1
243.4,56.2979917565609,1
243.7,56.73128261177804,0
244.1,56.45098948670705,1
244.1,34.2869896061393,1
244.6,22.53983931420083,0
244.6,21.582156528700303,0
244.5,24.40108987600564,0
244.3,21.897842594564352,0
244.3,23.470062016355136,1
244.2,22.459849038908096,1
244.2,19.436342599255358,1
244.2,21.363808605188233,1
244.2,21.907519585081612,0
244.3,22.359463608892398,0
244.4,21.19047920468336,1
244.2,22.151191698592022,0
244.2,28.53547406734099,0
243.5,26.59404670959333,1
243.7,36.42787091953472,0
243.9,36.99339763163145,0
243.8,30.552163548508094,0
243.9,27.50345713227412,1
243.9,25.68820737495389,0
244.0,25.71765347360269,0
243.2,34.00538772919588,0
243.5,33.481268901568875,0
243.5,33.481268901568875,1
243.9,23.72247823860724,0
243.7,20.766228061634067,0
243.7,21.60682454800091,1
243.6,20.9438278518816,1
243.6,22.39925482890425,0
243.8,25.296009491734647,1
243.9,27.290729283839113,1
244.0,31.71212972033501,1
245.1,27.759254094145373,1
244.6,24.262813752372452,0
244.6,23.77513642819716,1
244.3,21.334289747762075,1
244.7,17.643596875088612,0
244.4,17.408876232405245,1
