ema50_previous,sma100_previous,class
243.05081734269802,243.301,1
243.0801567765349,243.291,1
243.09723482203853,243.296,0
243.12724866225426,243.302,1
243.156699094496,243.308,1
243.1810730391989,243.312,0
243.2141750962919,243.31600000000003,0
243.2414438595034,243.318,0
243.26764325945183,243.32100000000003,0
243.28766645258773,243.323,1
243.2920716897411,243.32000000000005,1
243.30490584953125,243.31400000000005,1
243.3507402272872,243.31900000000005,0
243.37771325986583,243.31800000000004,1
243.38922113110297,243.32,1
243.38825726589275,243.322,1
243.39263933389682,243.324,1
243.40653350945578,243.32800000000003,1
243.42564520011646,243.33300000000003,0
243.44915619207558,243.341,1
243.46144762562298,243.34600000000003,0
243.477792216164,243.34900000000002,1
243.49349584237004,243.353,0
243.52442472476272,243.36300000000003,0
243.51255442376754,243.36900000000003,1
243.51574372563167,243.372,0
243.52518394693396,243.375,1
243.5545785459897,243.377,1
243.56219727325947,243.38500000000008,0
243.5552229905087,243.38600000000002,1
243.55697895166531,243.38800000000003,1
243.55474448297244,243.389,1
243.5598271723899,243.392,0
244.13457566301184,243.551,1
244.18102591608482,243.568,0
244.24318168121968,243.59099999999995,0
244.49865839231296,243.72600000000003,0
244.55473397200885,243.75,1
244.6246263992505,243.792,1
244.65700775575604,243.81399999999996,1
244.8000337612191,243.89200000000002,0
246.11119101088147,245.59000000000003,0
246.1010535779913,245.627,0
246.00222037498435,245.679,0
246.0194204556496,245.68400000000003,0
246.02153319613763,245.703,1
246.06322380568764,245.748,1
246.08648833757584,245.768,0
246.10699971877625,245.786,1
246.20774843612026,245.854,1
246.2252391078703,245.881,0
246.2333196869252,245.893,1
246.23139942716784,245.90500000000003,0
243.48892970336541,244.915,0
243.46644913507347,244.831,1
243.45194484822804,244.799,0
243.4249696349054,244.701,0
243.4193215270121,244.67400000000006,0
243.4213413881039,244.62500000000003,0
243.41068678503564,244.59900000000005,1
243.40829314679337,244.57500000000005,0
243.36018757137555,244.41600000000003,1
243.3540655555481,244.38,0
243.3612556220941,244.365,1
243.3712317520857,244.344,0
243.38719265139287,244.317,0
243.41503967685944,244.292,1
243.4226666918136,244.267,0
243.4436001301281,244.247,1
243.45464230130239,244.223,0
243.47824336277438,244.201,0
243.4535383943004,243.917,0
243.4738747829836,243.892,0
243.4928000608603,243.866,0
243.5033799701416,243.84099999999998,0
243.50386102766103,243.815,1
243.5082447888069,243.791,0
243.5177064639288,243.75899999999996,1
243.52154726678987,243.743,1
243.53038622929424,243.72599999999997,0
243.54280013444543,243.711,0
243.55141925652737,243.69400000000002,1
243.55970037382176,243.681,0
243.56765674141843,243.667,0
243.57468748923145,243.654,0
243.57729558812068,243.631,1
243.4786918402208,243.414,1
243.4807546650657,243.406,0
243.38654096331402,243.421,1
243.4136662072789,243.42999999999995,0
243.46363079689957,243.44400000000002,0
243.52131994420768,243.457,1
243.67285872345792,243.505,1
243.72565081729766,243.525,0
243.76031268948935,243.543,0
243.7936152725756,243.56,0
243.4785969895356,243.529,0
243.45285561946952,243.518,1
243.4577724455459,243.51800000000003,1
243.45673407018205,243.51500000000004,1
243.46750112130297,243.51700000000002,0
243.49598663110697,243.52599999999998,1
243.5502679699613,243.54500000000004,1
243.72280836140885,243.581,0
243.76641211403037,243.589,0
243.8031571362052,243.59900000000002,0
243.82939082912742,243.604,0
243.85398214441014,243.611,1
243.87736915796813,243.614,1
243.90048910839386,243.625,1
243.913461844291,243.63200000000003,1
243.9228578186069,243.641,0
243.93519328660145,243.65200000000004,0
243.95342100085227,243.664,1
243.96124994942073,243.67500000000004,0
243.96570385355844,243.683,0
243.78249283555442,243.66600000000003,1
243.7881330243901,243.66600000000003,0
243.79681520218614,243.66800000000003,0
243.8000081230579,243.67000000000004,0
243.8051565838701,243.67300000000003,1
243.81255756573015,243.676,0
243.82358988163492,243.68,0
243.3362586496526,243.64499999999995,0
243.32422517571862,243.657,0
243.32422517571862,243.657,1
243.35205431816294,243.62500000000003,0
243.36140400928653,243.618,0
243.3716142565921,243.61000000000004,1
243.3768889280473,243.59600000000003,1
243.38257035500945,243.584,0
243.41963891186245,243.571,1
243.4409310230653,243.56600000000003,1
243.4659233235105,243.569,1
243.69113701774154,243.63100000000003,1
243.77663953392852,243.669,0
243.8156778387047,243.687,1
243.83835249684574,243.705,1
243.8936252381765,243.733,0
243.91716470418132,243.74400000000009,1
