wpr14_current,uosc_previous,class
-22.222222222220818,21.379885046451914,1
-23.529411764705984,28.3890230229244,1
-5.8823529411760775,25.79184034575511,0
-12.499999999999332,27.410741074107047,1
-21.428571428572152,25.458241947805533,1
-7.142857142856707,22.059716360914866,0
-14.285714285713414,22.53823196687541,0
-15.384615384614374,17.008123195731017,0
-23.07692307692375,18.001621612297242,0
-46.15384615384532,21.294207393056475,1
-46.15384615384532,18.823053158624145,1
-0.0,19.400939442852376,1
-33.33333333333176,22.734051092864657,0
-62.49999999999911,19.806918388699184,1
-74.99999999999824,23.976680400614004,1
-62.49999999999911,16.410981582396726,1
-37.500000000000895,17.598505696236007,1
-24.99999999999823,25.244667205092536,1
-12.499999999999115,25.249840853002485,0
-37.500000000000895,24.48608887900327,1
-24.99999999999823,20.68233353947642,0
-24.99999999999823,23.03139518331161,1
-37.500000000000895,25.313688402191204,0
-66.66666666666825,26.07199817726034,0
-55.55555555555521,23.841362363563217,1
-44.4444444444448,31.831787260358386,0
-28.571428571430317,33.67464714709917,1
-14.285714285717187,25.12902520365177,1
-57.14285714285656,34.5283789301762,0
-33.333333333334906,38.083953960731904,1
-50.0,45.29616724738735,1
-16.666666666669823,38.155061019383176,1
-16.666666666669823,41.79587880618865,0
-59.375000000000135,16.78437534159132,1
-53.125000000000036,11.016211916399515,0
-56.24999999999986,10.700751923449292,0
-40.909090909091375,25.46232298297667,0
-54.54545454545431,25.58364296705452,1
-30.769230769231612,25.773341714390234,1
-15.384615384614714,20.504068649828078,1
-29.41176470588255,18.12724943793112,0
-93.33333333333373,26.85638496189079,0
-73.33333333333294,10.411822660098213,0
-23.80952380952355,27.989222883602626,0
-38.095238095238216,25.024668661996568,0
-33.33333333333378,18.11371851699863,1
-14.285714285714672,17.01057028925865,1
-14.285714285714672,18.533360537814385,0
-23.80952380952355,23.974840469084764,1
-50.0,30.05736330544499,1
-50.0,24.4884357996983,0
-66.66666666666825,21.20493225785105,1
-81.81818181818275,22.597534560382535,0
-19.999999999998863,33.06260287190153,0
-74.99999999999824,54.05018125867856,1
-62.49999999999911,40.04091994637346,0
-50.00000000000001,31.2064848112204,0
-25.000000000001783,29.467876039305487,0
-62.49999999999911,28.43357734007535,0
-37.500000000000895,31.432506261682025,1
-50.00000000000001,33.68136187095412,0
-50.0,34.19879062736174,1
-20.0000000000017,37.75182677789487,0
-20.0000000000017,35.26533304614739,1
-10.000000000002274,35.51621465746649,0
-0.0,35.2383180954608,0
-30.000000000001133,30.00099267330749,1
-0.0,33.81157340985156,0
-20.0000000000017,41.478646253021104,1
-15.384615384614714,35.67655987503232,0
-38.461538461538964,42.090403875300176,0
-27.272727272725863,19.91795366795364,0
-27.272727272725863,24.090984102535906,0
-36.36363636363706,23.367220712535282,0
-54.54545454545431,22.030616651112343,0
-45.45454545454569,20.930118181710338,1
-45.45454545454569,23.598901098901,0
-45.45454545454569,22.619047619047183,1
-36.36363636363706,19.07207006191723,1
-27.272727272725863,23.222917307625213,0
-40.000000000000576,30.54741988643785,0
-40.000000000000576,35.26624442880442,1
-57.14285714285889,35.5825206580791,0
-57.14285714285889,38.38355303274524,0
-71.42857142857258,40.77758625813279,0
-66.66666666666825,34.37470350558354,1
-28.57142857142741,24.869169266583878,1
-16.66666666666588,23.64773866535798,0
-30.43478260869539,45.57283897040844,1
-30.000000000000192,40.707841220730856,0
-23.333333333333908,38.199920714206435,0
-33.333333333333336,34.934560388860234,1
-19.999999999999808,30.68327462737411,1
-30.000000000000192,22.414338104076982,0
-30.000000000000192,21.35090829231859,0
-33.333333333333336,19.118047448054604,0
-16.666666666667194,17.842639591114217,0
-23.07692307692375,34.670474419431535,1
-44.4444444444448,46.43433231459743,1
-14.285714285717187,56.2979917565609,1
-9.09090909090862,56.73128261177804,0
-27.272727272725863,56.45098948670705,1
-7.692307692307187,34.2869896061393,1
-21.052631578947604,22.53983931420083,0
-26.31578947368413,21.582156528700303,0
-36.84210526315718,24.40108987600564,0
-41.1764705882349,21.897842594564352,0
-50.00000000000089,23.470062016355136,1
-71.42857142857113,22.459849038908096,1
-61.53846153846187,19.436342599255358,1
-61.53846153846187,21.363808605188233,1
-69.99999999999885,21.907519585081612,0
-59.999999999999424,22.359463608892398,0
-80.00000000000115,21.19047920468336,1
-75.00000000000179,22.151191698592022,0
-87.50000000000091,28.53547406734099,0
-41.66666666666706,26.59404670959333,1
-24.999999999998817,36.42787091953472,0
-19.999999999998863,36.99339763163145,0
-9.999999999999432,30.552163548508094,0
-9.999999999999432,27.50345713227412,1
-9.09090909090862,25.68820737495389,0
-18.18181818181724,25.71765347360269,0
-39.999999999999616,34.00538772919588,0
-27.272727272725863,33.481268901568875,0
-27.272727272725863,33.481268901568875,1
-21.428571428572152,23.72247823860724,0
-21.428571428572152,20.766228061634067,0
-28.57142857142886,21.60682454800091,1
-28.57142857142886,20.9438278518816,1
-7.142857142856707,22.39925482890425,0
-27.272727272725863,25.296009491734647,1
-18.18181818181724,27.290729283839113,1
-0.0,31.71212972033501,1
-50.00000000000055,27.759254094145373,1
-50.00000000000055,24.262813752372452,0
-61.538461538461455,23.77513642819716,1
-70.83333333333387,21.334289747762075,1
-68.18181818181765,17.643596875088612,0
-68.18181818181765,17.408876232405245,1
