price_current,mom10_current,class
242.9,0.30000000000001137,1
243.5,0.8000000000000114,1
243.8,1.0,0
243.8,1.1000000000000227,1
243.7,1.0,1
243.9,1.200000000000017,0
243.8,0.9000000000000057,0
243.8,0.8000000000000114,0
243.7,0.19999999999998866,0
243.4,-0.19999999999998866,1
243.4,-0.09999999999999433,1
244.0,0.19999999999998866,1
243.8,-0.09999999999999433,0
243.5,-0.19999999999998866,1
243.4,0.0,1
243.5,-0.5,1
243.7,0.0,1
243.8,0.0,1
243.9,0.30000000000001137,0
243.7,0.2999999999999829,1
243.8,0.30000000000001137,0
243.8,0.20000000000001705,1
243.7,0.2999999999999829,0
243.6,-0.09999999999999433,0
243.5,-0.19999999999998866,1
243.6,-0.09999999999999433,0
243.6,0.09999999999999433,1
243.7,0.19999999999998866,1
243.4,-0.19999999999998866,0
243.6,-0.09999999999999433,1
243.5,-0.19999999999998866,1
243.7,0.19999999999998866,1
243.7,0.09999999999999433,0
245.1,1.6999999999999886,1
245.5,1.5999999999999943,0
245.3,-0.8999999999999773,0
245.6,0.5,0
245.3,-0.19999999999998866,1
245.2,0.2999999999999829,1
245.4,0.5999999999999943,1
245.5,0.5,0
246.0,-0.30000000000001137,0
246.3,-0.3999999999999773,0
246.3,0.10000000000002274,0
246.0,-0.09999999999999433,0
246.1,0.7999999999999828,1
246.5,0.8000000000000114,1
246.5,0.09999999999999433,0
246.3,0.0,1
246.4,0.30000000000001137,1
246.4,-0.09999999999999433,0
246.2,-0.30000000000001137,1
246.1,-0.4000000000000057,0
243.4,-0.09999999999999433,0
243.3,-0.19999999999998866,1
243.4,0.0,0
243.5,0.19999999999998866,0
243.7,0.3999999999999773,0
243.4,-0.4000000000000057,0
243.6,0.2999999999999829,1
243.5,0.19999999999998866,0
243.3,-0.2999999999999829,1
243.6,0.0,0
243.6,0.09999999999999433,1
243.7,0.0,0
243.8,0.30000000000001137,0
243.5,0.30000000000001137,1
243.8,0.5,0
243.6,0.4000000000000057,1
243.9,0.5999999999999943,0
243.6,0.0,0
243.8,0.20000000000001705,0
243.8,0.30000000000001137,0
243.7,0.19999999999998866,0
243.5,0.19999999999998866,0
243.6,0.4000000000000057,1
243.6,0.4000000000000057,0
243.6,0.19999999999998866,1
243.7,0.2999999999999829,1
243.8,0.0,0
243.7,-0.10000000000002274,0
243.7,0.0,1
243.7,0.19999999999998866,0
243.7,0.09999999999999433,0
243.6,0.0,0
243.6,0.0,1
243.5,0.19999999999998866,1
243.5,0.30000000000001137,0
244.0,0.9000000000000057,1
244.5,1.1999999999999886,0
244.7,1.5999999999999943,0
244.4,1.200000000000017,1
244.8,2.200000000000017,1
244.5,1.6999999999999886,0
244.5,0.09999999999999433,0
244.4,0.4000000000000057,0
243.5,1.1999999999999886,0
243.5,0.19999999999998866,1
243.4,0.0,1
243.7,0.19999999999998866,1
244.1,0.7999999999999828,0
243.9,0.5,1
244.3,0.8000000000000114,1
244.6,0.9000000000000057,0
244.5,0.4000000000000057,0
244.3,0.4000000000000057,0
244.3,0.6000000000000227,0
244.2,0.09999999999999433,1
244.0,-0.30000000000001137,1
244.2,-0.6000000000000227,1
244.2,-0.4000000000000057,1
244.3,-0.2999999999999829,0
244.4,-0.09999999999999433,0
244.2,-0.10000000000002274,1
244.2,-0.10000000000002274,0
244.1,-0.09999999999999433,0
243.7,0.19999999999998866,1
243.9,0.5,0
243.8,0.4000000000000057,0
243.9,0.5999999999999943,0
243.9,0.5999999999999943,1
244.0,0.8000000000000114,0
243.9,0.5,0
243.1,-0.09999999999999433,0
243.4,0.5999999999999943,0
243.4,0.5999999999999943,1
243.7,0.8999999999999773,0
243.7,0.3999999999999773,0
243.6,0.4000000000000057,1
243.6,0.5,1
243.9,0.4000000000000057,0
243.9,0.5,1
244.0,0.30000000000001137,1
244.2,0.2999999999999829,1
244.6,1.0,1
244.6,0.7999999999999828,0
244.3,0.4000000000000057,1
244.2,0.19999999999998866,1
244.4,-0.09999999999999433,0
244.4,-0.7999999999999828,1
