cci20_current,stoch_rsi_14_previous,class
-5.2461893588155135,83.93754063278692,1
99.64844030261105,100.0,1
110.09598665324188,95.6193041181328,0
118.13748784129135,100.0,1
102.77251972195542,100.0,1
101.60461917177555,91.26723929384715,0
100.3399432682205,100.0,0
89.68626710730992,91.04485588976624,0
68.27101198753904,91.04485588976627,0
32.394986720875075,80.65900828262838,1
17.376334972152776,47.10473139803854,1
56.60882274233385,21.14328396361089,1
46.12032989732397,37.71240329969313,0
-21.389936685779873,0.0,1
-22.542948732960976,30.89166434935492,1
-20.4578161690408,0.0,1
-5.570503072135273,19.99722085346585,1
22.473355404484664,52.247124095496886,1
35.34707220893523,65.41630055570515,0
21.45386919838161,77.31529121644729,1
12.885520981862042,42.492268864146226,0
17.67550166287405,73.85038129375035,1
4.125630396320813,73.85038129375035,0
-2.0737227803129046,0.0,0
-25.677066905842857,24.28660159413655,1
-2.338440862321084,59.07453707633842,0
10.547870455276616,81.57748574983876,1
12.258992914290946,100.0,1
-14.242332073244302,43.946570765172176,0
0.9703462195385196,21.344353790494136,1
10.238648264406,85.1606708297445,1
19.323507012039247,47.872566859533435,1
22.83960877370644,100.0,0
109.76007684580786,70.48002307213666,1
129.27469851050364,51.17347630761283,0
116.8335175603984,60.38213367781202,0
41.128358894923416,35.33658083910636,0
5.13969696346237,56.738923307686385,1
-40.87334261773007,9.551159609367305,1
-17.44594112402482,27.14521603864653,1
33.85398713794782,100.0,0
-20.739605309821133,0.0,0
-9.215831673515432,28.756051257656274,0
25.89207121538188,100.0,0
4.899010655049458,96.13692187877035,0
10.991475998205106,84.15408982058239,1
36.012724055309526,100.0,1
26.147137271377325,100.0,0
27.29378253288497,100.0,1
29.7656349240886,100.0,1
14.143147764342453,31.103224557005788,0
2.0851578464506475,45.14023347990386,1
-7.261784423761567,0.0,0
4.780772878864045,78.71121629459716,0
6.085607295325249,2.7141294901922466,1
7.188800424040278,2.7141294901922466,0
2.1009215482277104,24.515437246073876,0
13.61464718202567,46.63159785095691,0
0.20043701683465748,62.11121912149045,0
7.924009113693473,16.70862091603072,1
7.531457996277207,59.7656923986028,0
-10.411599856539748,3.608995139268009,1
10.140571851998343,83.94939056617491,0
8.22626594311218,83.94939056617491,1
9.765658378716743,83.94939056617491,0
14.775753384074203,100.0,0
2.1417909680533183,100.0,1
9.911069303424178,48.37268506164109,0
9.208627722924962,90.97026693738823,1
18.145792771847308,60.409908302721284,0
5.850694705330643,96.68050150455852,0
9.652149004273683,54.67971582219765,0
20.26930105213196,99.72813516405235,0
13.115409356906445,99.72813516405235,0
0.833927506682864,87.71818431464987,0
0.939608246004676,61.85059786979043,1
3.1367038261502755,74.8558425022343,0
3.4611657206133217,74.8558425022343,1
5.674975250800742,74.8558425022343,1
11.796352820485128,88.80712605132376,0
10.130429276936669,100.0,0
11.943945899210016,84.38039864214826,1
9.425589734790103,64.67527056395471,0
12.83912261043683,64.67527056395471,0
7.65208519321725,59.37525096117794,0
-3.198362438428628,4.7328939332397075,1
3.243530777866139,91.20842341977463,1
3.8957750319798015,100.0,0
53.23339883118257,100.0,1
81.26922607053814,88.98375557720291,0
74.21045323853883,97.33353953636237,0
63.40041732585371,99.9887940515733,1
72.71933333719154,100.0,1
53.48038510436458,95.14327495117088,0
47.84670512663989,87.29779602613846,0
33.988418858753775,87.29779602613846,0
-0.8910111586722304,87.31825139682074,0
12.392035230359134,73.55320541789546,1
13.509100802101527,84.7822423933027,1
25.668331938763128,45.24559670624518,1
47.22420794620932,100.0,0
42.381220758079394,100.0,1
48.90305073382071,88.89314561000013,1
57.30386052527028,83.20548203416988,0
40.55640701603382,83.20548203416988,0
30.855470731062226,73.46664913090882,0
23.595819521913274,46.57993017179693,0
16.19296836541758,46.57993017179693,1
4.502136624000659,12.782206237349241,1
7.772618861589832,28.03718340851975,1
2.7048614745744044,28.03718340851975,1
10.71052978113523,28.03718340851975,0
9.698608741341415,41.98050090227376,0
0.6776176913504856,54.74475354537572,1
-8.931676518642751,19.791215705546048,0
-9.510773940587145,24.603018275446768,0
-9.49549615052686,65.86169952882888,1
4.75144124788355,96.99007430814251,0
10.296391239332738,100.0,0
11.884766391672391,91.67590488561798,0
13.592463685693614,99.07300654103969,1
21.434841484245624,99.07300654103969,0
19.8635981471046,100.0,0
11.257494564432543,95.0612461296213,0
27.25157464553147,100.0,0
27.25157464553147,100.0,1
41.91020903772641,100.0,0
34.01671443472049,85.75895175068598,0
17.0666316563346,84.34089184237841,1
19.222055811979352,75.26046225985358,1
29.773144487819053,75.26046225985358,0
29.379781247449113,77.52234619578424,1
35.21259547724794,89.02189991712179,1
40.734461919147456,99.60371264094181,1
53.98320106426594,90.92470966997251,1
38.219495655535404,42.05776173905254,0
21.17743824044208,42.05776173905257,1
7.177210102232031,5.4375782736624965,1
20.735353093439898,41.903373211795305,0
11.970500309451449,11.12594936770667,1
