price_current,ema30_previous,class
242.9,242.9144385936486,1
243.5,242.98529712205425,1
243.8,243.01850375934106,0
243.8,243.07295857572075,1
243.7,243.12591803017983,1
243.9,243.16900913273852,0
243.8,243.2222233899707,0
243.8,243.2645439303941,0
243.7,243.3041341133707,0
243.4,243.33673633013032,1
243.4,243.34586248731742,1
244.0,243.36493252760067,1
243.8,243.43955676419841,0
243.5,243.48380094054627,1
243.4,243.50802759313214,1
243.5,243.51103901776986,1
243.7,243.51638037919358,1
243.8,243.53831606654,1
243.9,243.56528816115448,0
243.7,243.59898958557525,1
243.8,243.61559564670355,0
243.8,243.6385908879724,1
243.7,243.6580847132489,0
243.6,243.6249990209944,0
243.5,243.564435182531,1
243.6,243.5572512959214,0
243.6,243.55900035080987,1
243.7,243.57855783038582,1
243.4,243.52979519327096,0
243.6,243.5214213098341,1
243.5,243.52850875478757,1
243.7,243.52666948028502,1
243.7,243.5378520944602,0
245.1,244.4607540082531,1
245.5,244.51612064941682,0
245.3,244.59977525694646,0
245.6,244.8740516610031,0
245.3,244.9420744841278,1
245.2,245.00309169998917,1
245.4,245.03193827759642,1
245.5,245.20260905760682,0
246.0,246.30332334604032,0
246.3,246.259489231279,0
246.3,245.99252418047746,0
246.0,246.0123613301241,0
246.1,245.9879062877316,1
246.5,246.0276145239743,1
246.5,246.06010885833803,0
246.3,246.0925246360728,1
246.4,246.22516331926442,1
246.4,246.2415524759692,0
246.2,246.25379274891387,1
246.1,246.25234010102352,0
243.4,243.21463646838947,0
243.3,243.26448111036132,1
243.4,243.28089761590496,0
243.5,243.32648786616485,0
243.7,243.34373575349878,0
243.4,243.39638398539182,0
243.6,243.39964405471613,1
243.5,243.41761487483325,0
243.3,243.42726740693783,1
243.6,243.43847632196517,0
243.6,243.4509150564587,1
243.7,243.46154236593262,0
243.8,243.47995350748016,0
243.5,243.50463737236697,1
243.8,243.50433818705292,0
243.6,243.5274488468061,1
243.9,243.5331384923867,0
243.6,243.56286053286743,0
243.8,243.45820252883306,0
243.8,243.48328075664506,0
243.7,243.50472318223603,0
243.5,243.51833061262766,0
243.6,243.518156918478,1
243.6,243.52343711728585,0
243.6,243.53293242687215,1
243.7,243.5382682930937,1
243.8,243.55374722686386,0
243.7,243.5746791326489,0
243.7,243.5878089799962,1
243.7,243.5990828143981,0
243.7,243.6066025265857,0
243.6,243.6136370960516,0
243.6,243.6109253068412,1
243.5,243.44512963700657,1
243.5,243.44564288236637,0
244.0,243.3278241255824,1
244.5,243.37421708908798,0
244.7,243.45592857880862,0
244.4,243.54728943736094,1
244.8,243.77734837128372,1
244.5,243.85644193397408,0
244.5,243.9090599954189,0
244.4,243.9582833432222,0
243.5,243.4449527612511,0
243.5,243.40234369508644,1
243.4,243.396536989618,1
243.7,243.38667114944485,1
244.1,243.39881450583863,0
243.9,243.4349719454776,1
244.3,243.50059506736,1
244.6,243.7787364802131,0
244.5,243.84584618770188,0
244.3,243.9001567717003,0
244.3,243.93806022124718,0
244.2,243.9815896951104,1
244.0,244.00980564679938,1
244.2,244.0487579907386,1
244.2,244.06860479992088,1
244.3,244.0861622437814,0
244.4,244.10601178417218,0
244.2,244.13607695205584,1
244.2,244.1482724278233,0
244.1,244.15867217268269,0
243.7,243.76964794867558,1
243.9,243.7511221222051,0
243.8,243.75568251648,0
243.9,243.74845244876752,0
243.9,243.751167227999,1
244.0,243.75370686018329,0
243.9,243.7645521100725,0
243.1,243.18844949648891,0
243.4,243.19741807780457,0
243.4,243.19741807780457,1
243.7,243.2873798290107,0
243.7,243.31198263316404,0
243.6,243.33398923361042,1
243.6,243.34812444047932,1
243.9,243.36134769851824,0
243.9,243.42990350741684,1
244.0,243.46527694348882,1
244.2,243.5048198352981,1
244.6,243.8712557949692,1
244.6,243.99727352745518,0
244.3,244.0523019226453,1
244.2,244.0793806299824,1
244.4,244.15436452698864,0
244.4,244.1833280151173,1
