ema20_previous,sma200_current,class
242.80494008222905,243.0855,1
242.9735719306936,243.1065,1
243.02817124666146,243.112,0
243.10911759592483,243.1185,1
243.18830584822425,243.1245,1
243.24745301310742,243.1325,0
243.32299027329418,243.139,0
243.3803219293884,243.1455,0
243.43368119754837,243.152,0
243.47541036069975,243.157,1
243.4831061194764,243.1625,1
243.4959031496912,243.178,1
243.5896667964339,243.192,0
243.62481730125285,243.209,1
243.62870159974887,243.2205,1
243.582892164194,243.231,1
243.57499767236592,243.238,1
243.58541488616103,243.2445,1
243.60585156366957,243.249,0
243.6368412400411,243.253,1
243.63988082045898,243.2575,0
243.65513026612962,243.2625,1
243.668927383641,243.267,0
243.61136159673583,243.289,0
243.5360683833497,243.297,1
243.53263329922112,243.301,0
243.5390491754857,243.306,1
243.5724850856665,243.3225,1
243.496092165583,243.3475,0
243.4824772213984,243.3505,1
243.49515763676848,243.354,1
243.49561881421917,243.358,1
243.51805922863358,243.3635,0
244.81806398135518,243.5275,1
244.865743807797,243.5395,0
244.9529290156389,243.5515,0
245.1783164513054,243.5955,0
245.25567103400329,243.598,1
245.29822466314442,243.6045,1
245.30821094057927,243.6125,1
245.34270306406464,243.643,0
246.39915846957436,244.593,0
246.28039620981326,244.6505,0
245.88114214902456,244.78800000000004,0
245.91805783334868,244.805,0
245.89144822143643,244.8545,1
245.98850985045692,244.909,1
246.04466204697792,244.928,0
246.09546641525884,244.946,1
246.30929454768696,245.0145,1
246.33322832528802,245.0415,0
246.3559530000833,245.0535,1
246.35597803129951,245.0655,0
243.2851107520689,245.2155,0
243.35144098069063,245.17050000000003,1
243.3510051490398,245.158,0
243.39164023291127,245.1265,0
243.41386236904182,245.1195,0
243.47282361897427,245.10050000000004,0
243.46588803621484,245.094,1
243.4801483739834,245.0875,0
243.42995816325836,245.0315,1
243.43941772418876,245.016,0
243.4576868138441,245.007,1
243.46826491104267,244.998,0
243.4962859986712,244.98800000000003,0
243.53264999060036,244.978,1
243.53102823747517,244.971,0
243.561107905178,244.963,1
243.56778745378688,244.958,0
243.6053778230587,244.9515,0
243.43341967851242,244.8865,0
243.47725870881715,244.8795,0
243.51543482358952,244.873,0
243.53450022922726,244.865,0
243.52972672332132,244.859,1
243.53641941633828,244.8535,0
243.5436316920596,244.841,1
243.55048787212868,244.833,1
243.56323935261327,244.824,0
243.5887635252758,244.815,0
243.5963819356714,244.807,1
243.60773809253936,244.7985,0
243.61950048044707,244.789,0
243.63014264093502,244.779,0
243.63466389959882,244.75800000000004,1
243.3919082094387,244.566,1
243.3992271261044,244.556,0
243.30149203616463,244.4475,1
243.3799187624617,244.44100000000003,0
243.50593417329483,244.435,0
243.64494681463356,244.428,1
243.9569343878308,244.412,1
244.05805512794174,244.406,0
244.11651058343682,244.3975,0
244.16791108290508,244.388,0
243.3085189720704,244.13,0
243.2692667032982,244.033,1
243.30165569150776,244.0185,1
243.3139973557042,244.00600000000003,1
243.35671059146011,243.996,0
243.4423777568309,243.9865,1
243.61828912021068,243.966,1
243.98626163883515,243.9405,0
244.06405391858522,243.933,0
244.12193806068558,243.92550000000003,0
244.15079849893291,243.917,0
244.179885863592,243.9075,1
244.19370365394352,243.897,1
244.20042475824815,243.874,1
244.21079869360514,243.8625,1
244.22316017469691,243.8525,0
244.24238041160982,243.841,0
244.27226949887117,243.82800000000003,1
244.27282553840038,243.815,0
244.26737754262746,243.8035,0
243.6010388386833,243.6735,1
243.60751389556057,243.661,0
243.6309064056638,243.6565,0
243.64105947834895,243.652,0
243.6597694012546,243.6485,1
243.67520965695155,243.6455,0
243.7031665309972,243.6405,0
243.07158298150074,243.5285,0
243.110795002005,243.534,0
243.110795002005,243.534,1
243.2985766221217,243.5445,0
243.35168511790573,243.5475,0
243.3982478919212,243.5505,1
243.4323400762957,243.5545,1
243.45723430681159,243.5605,0
243.54907212003056,243.5685,1
243.5914204416193,243.5715,1
243.6481860179817,243.575,1
244.11850550148483,243.6035,1
244.2441792258726,243.61550000000003,0
244.3003834654829,243.6205,1
244.3122491032734,243.625,1
244.36961512845642,243.6345,0
244.38292331426982,243.64,1
