price_current,sma200_previous,class
242.9,243.0835,1
243.5,243.101,1
243.8,243.1065,0
243.8,243.112,1
243.7,243.1185,1
243.9,243.1245,0
243.8,243.1325,0
243.8,243.139,0
243.7,243.1455,0
243.4,243.152,1
243.4,243.157,1
244.0,243.17,1
243.8,243.1845,0
243.5,243.2035,1
243.4,243.215,1
243.5,243.22550000000004,1
243.7,243.231,1
243.8,243.238,1
243.9,243.2445,0
243.7,243.249,1
243.8,243.253,0
243.8,243.2575,1
243.7,243.2625,0
243.6,243.2855,0
243.5,243.2935,1
243.6,243.297,0
243.6,243.301,1
243.7,243.3175,1
243.4,243.3445,0
243.6,243.3475,1
243.5,243.3505,1
243.7,243.354,1
243.7,243.358,0
245.1,243.5165,1
245.5,243.5275,0
245.3,243.5395,0
245.6,243.5915,0
245.3,243.5955,1
245.2,243.5995,1
245.4,243.6045,1
245.5,243.6315,0
246.0,244.579,0
246.3,244.6355,0
246.3,244.771,0
246.0,244.78800000000004,0
246.1,244.8385,1
246.5,244.89,1
246.5,244.909,0
246.3,244.928,1
246.4,245.0005,1
246.4,245.0285,0
246.2,245.0415,1
246.1,245.0535,0
243.4,245.218,0
243.3,245.1855,1
243.4,245.17050000000003,0
243.5,245.13500000000005,0
243.7,245.1265,0
243.4,245.11,0
243.6,245.10050000000004,1
243.5,245.094,0
243.3,245.0415,1
243.6,245.024,0
243.6,245.016,1
243.7,245.007,0
243.8,244.998,0
243.5,244.98800000000003,1
243.8,244.978,0
243.6,244.971,1
243.9,244.963,0
243.6,244.958,0
243.8,244.8935,0
243.8,244.8865,0
243.7,244.8795,0
243.5,244.873,0
243.6,244.865,1
243.6,244.859,0
243.6,244.8475,1
243.7,244.841,1
243.8,244.833,0
243.7,244.824,0
243.7,244.815,1
243.7,244.807,0
243.7,244.7985,0
243.6,244.789,0
243.6,244.7695,1
243.5,244.5765,1
243.5,244.566,0
244.0,244.455,1
244.5,244.4475,0
244.7,244.44100000000003,0
244.4,244.435,1
244.8,244.4175,1
244.5,244.412,0
244.5,244.406,0
244.4,244.3975,0
243.5,244.1475,0
243.5,244.0465,1
243.4,244.033,1
243.7,244.0185,1
244.1,244.00600000000003,0
243.9,243.996,1
244.3,243.9705,1
244.6,243.949,0
244.5,243.9405,0
244.3,243.933,0
244.3,243.92550000000003,0
244.2,243.917,1
244.0,243.9075,1
244.2,243.88550000000004,1
244.2,243.874,1
244.3,243.8625,0
244.4,243.8525,0
244.2,243.841,1
244.2,243.82800000000003,0
244.1,243.815,0
243.7,243.68,1
243.9,243.6665,0
243.8,243.661,0
243.9,243.6565,0
243.9,243.652,1
244.0,243.6485,0
243.9,243.6455,0
243.1,243.5275,0
243.4,243.5315,0
243.4,243.5315,1
243.7,243.541,0
243.7,243.5445,0
243.6,243.5475,1
243.6,243.5505,1
243.9,243.5545,0
243.9,243.5655,1
244.0,243.5685,1
244.2,243.5715,1
244.6,243.5975,1
244.6,243.609,0
244.3,243.61550000000003,1
244.2,243.6205,1
244.4,243.6315,0
244.4,243.6345,1
