adi14_previous,stoch_rsi_14_current,class
29.49350703497163,100.0,1
27.33001566438905,95.6193041181328,1
28.138500306321497,100.0,0
28.88923604525876,100.0,1
29.839196304385656,91.26723929384715,1
30.127138022428827,100.0,0
30.39451247489746,91.04485588976624,0
30.64278875218976,91.04485588976624,0
29.65413273155519,80.65900828262838,0
28.7360949981088,47.10473139803856,1
26.808864225706376,18.114273800187064,1
23.357547893495926,87.27427147493471,1
24.263916931273553,50.63369496578653,0
23.099130809294962,16.25870698135886,1
20.347613516425785,0.0,1
17.624687130911788,19.99722085346585,1
16.909175483037668,52.247124095496886,1
16.711535284196447,65.41630055570515,1
17.33874074742248,77.31529121644724,0
18.274806785425405,42.492268864146226,1
18.52174525658243,73.85038129375035,0
18.167628804815713,73.85038129375035,1
17.838806385318048,48.20598456844496,0
14.047811285716715,34.68016337260493,0
12.590495292347144,59.07453707633842,1
11.723718980900244,81.57748574983876,0
11.781263603796566,81.57748574983876,1
11.993563461893716,100.0,1
10.348523684005812,21.344353790494093,0
9.84139887985757,85.16067082974463,1
9.479940862592802,47.872566859533364,1
9.669916171077272,100.0,1
9.846321814670004,100.0,0
36.52739609974017,51.17347630761281,1
36.066683634769795,60.38213367781202,0
35.901222962108825,53.64109123823603,0
30.784253475909622,56.73892330768643,0
30.407514357618858,28.074346063089763,1
28.696111592936987,27.14521603864653,1
27.828190657430497,55.02432458915143,1
27.777909474020287,49.9573019241618,0
20.94931758949373,0.0,0
21.726828807740823,40.685717256242974,0
20.850100747130746,96.13692187877035,0
21.022582531595226,83.65620794864253,0
18.96465301825261,88.33454660443716,1
17.64296552108821,100.0,1
18.029949940459744,100.0,0
17.774539048536305,90.65426261383531,1
19.521597386233346,45.71769207521586,1
17.83628053099605,45.14023347990386,0
16.85596897350981,0.0,1
16.43903175848917,0.0,0
27.351905880629463,92.20395515751265,0
24.396514368889193,2.7141294901922466,1
23.5180218814308,25.70314745084002,0
20.313481744341985,46.63159785095691,0
18.921429054368943,83.19099685973963,0
18.333946911158463,16.708620916030778,0
17.202181312156974,59.765692398602866,1
16.527741506593383,37.79479690772285,0
16.255569177702306,28.476996527708703,1
15.199733703992365,83.94939056617491,0
14.799968119111641,83.94939056617491,1
14.428757218865249,100.0,0
14.084061382922178,100.0,0
14.132824171475516,48.37268506164109,1
13.345742014891947,90.97026693738823,0
12.614880012350055,60.409908302721284,1
11.936222438561153,96.68050150455852,0
12.060965966298456,54.879864698513906,0
10.508742724530194,99.72813516405235,0
10.551203324066408,99.72813516405235,0
11.592449135621335,87.71818431464987,0
12.559320246350902,61.85059786979043,0
12.074671102857986,74.8558425022343,1
11.62463975532885,74.8558425022343,0
10.818716270723105,74.8558425022343,1
10.894874503855435,88.80712605132376,1
10.965592863192592,100.0,0
11.471529205555143,84.38039864214826,0
11.941327237748899,64.67527056395471,1
12.816823244868123,64.67527056395471,0
13.62978382290741,59.37525096117794,0
15.187370909879633,4.7328939332397075,0
17.210901329108648,4.7328939332397075,1
14.66350116158429,100.0,1
13.647362654291612,100.0,0
18.43783559312172,88.98375557720291,1
19.612686809556244,97.33353953636237,0
21.5913002090508,99.9887940515733,0
23.42858408001002,92.37089664886213,1
28.103873545614746,95.14327495117088,1
29.967589134721035,87.29779602613846,0
31.34619330779241,87.29779602613846,0
32.62632575421583,84.26482981448916,0
20.223506211936744,91.96335811126708,0
14.575185601099449,84.7822423933027,1
14.166002276412636,45.24559670624518,1
13.78604633206057,100.0,1
12.916829735310811,100.0,0
13.554546592099786,73.35173393948969,1
15.423272252521436,100.0,1
22.18564036177448,83.20548203416988,0
24.034625244078985,73.46664913090882,0
24.433777777973873,46.5799301717969,0
24.804419416590573,46.57993017179693,0
24.335039209540483,12.782206237349241,1
23.89918616013681,0.0,1
22.6391366890462,28.03718340851975,1
22.225102817930544,28.03718340851975,1
21.3864821100137,41.98050090227376,0
21.278555190048625,54.74475354537569,0
21.17833733579531,19.791215705546048,1
20.594244309146553,24.603018275446768,0
19.582386587333122,0.0,0
26.633500708305892,89.5093114708942,1
24.21716023652717,100.0,0
22.662838967734423,91.67590488561798,0
21.31852480705852,99.07300654103969,0
20.07023308643088,99.07300654103969,1
18.85586140719128,100.0,0
17.7821959635366,91.60310406029741,0
29.25380614078433,89.38507814669218,0
26.561938597080665,90.51016299775259,0
26.561938597080665,90.51016299775259,1
22.64447630571141,85.75895175068598,0
22.225217024745675,84.34089184237841,0
21.40025334139247,75.26046225985358,1
20.250489922857888,75.26046225985358,1
19.182852462790052,96.12914387171419,0
18.491834369966604,89.02189991712179,1
18.068313226042694,99.60371264094181,1
17.981200619141127,100.0,1
24.98727059245132,42.05776173905254,1
25.77062932335507,42.05776173905254,0
26.14294611517559,5.437578273662547,1
26.186910541257912,0.0,1
25.845676933774147,11.125949367706623,0
26.037022757697486,11.12594936770667,1
