sma100_previous,cci20_current,class
243.301,-5.2461893588155135,1
243.291,99.64844030261105,1
243.296,110.09598665324188,0
243.302,118.13748784129135,1
243.308,102.77251972195542,1
243.312,101.60461917177555,0
243.31600000000003,100.3399432682205,0
243.318,89.68626710730992,0
243.32100000000003,68.27101198753904,0
243.323,32.394986720875075,1
243.32000000000005,17.376334972152776,1
243.31400000000005,56.60882274233385,1
243.31900000000005,46.12032989732397,0
243.31800000000004,-21.389936685779873,1
243.32,-22.542948732960976,1
243.322,-20.4578161690408,1
243.324,-5.570503072135273,1
243.32800000000003,22.473355404484664,1
243.33300000000003,35.34707220893523,0
243.341,21.45386919838161,1
243.34600000000003,12.885520981862042,0
243.34900000000002,17.67550166287405,1
243.353,4.125630396320813,0
243.36300000000003,-2.0737227803129046,0
243.36900000000003,-25.677066905842857,1
243.372,-2.338440862321084,0
243.375,10.547870455276616,1
243.377,12.258992914290946,1
243.38500000000008,-14.242332073244302,0
243.38600000000002,0.9703462195385196,1
243.38800000000003,10.238648264406,1
243.389,19.323507012039247,1
243.392,22.83960877370644,0
243.551,109.76007684580786,1
243.568,129.27469851050364,0
243.59099999999995,116.8335175603984,0
243.72600000000003,41.128358894923416,0
243.75,5.13969696346237,1
243.792,-40.87334261773007,1
243.81399999999996,-17.44594112402482,1
243.89200000000002,33.85398713794782,0
245.59000000000003,-20.739605309821133,0
245.627,-9.215831673515432,0
245.679,25.89207121538188,0
245.68400000000003,4.899010655049458,0
245.703,10.991475998205106,1
245.748,36.012724055309526,1
245.768,26.147137271377325,0
245.786,27.29378253288497,1
245.854,29.7656349240886,1
245.881,14.143147764342453,0
245.893,2.0851578464506475,1
245.90500000000003,-7.261784423761567,0
244.915,4.780772878864045,0
244.831,6.085607295325249,1
244.799,7.188800424040278,0
244.701,2.1009215482277104,0
244.67400000000006,13.61464718202567,0
244.62500000000003,0.20043701683465748,0
244.59900000000005,7.924009113693473,1
244.57500000000005,7.531457996277207,0
244.41600000000003,-10.411599856539748,1
244.38,10.140571851998343,0
244.365,8.22626594311218,1
244.344,9.765658378716743,0
244.317,14.775753384074203,0
244.292,2.1417909680533183,1
244.267,9.911069303424178,0
244.247,9.208627722924962,1
244.223,18.145792771847308,0
244.201,5.850694705330643,0
243.917,9.652149004273683,0
243.892,20.26930105213196,0
243.866,13.115409356906445,0
243.84099999999998,0.833927506682864,0
243.815,0.939608246004676,1
243.791,3.1367038261502755,0
243.75899999999996,3.4611657206133217,1
243.743,5.674975250800742,1
243.72599999999997,11.796352820485128,0
243.711,10.130429276936669,0
243.69400000000002,11.943945899210016,1
243.681,9.425589734790103,0
243.667,12.83912261043683,0
243.654,7.65208519321725,0
243.631,-3.198362438428628,1
243.414,3.243530777866139,1
243.406,3.8957750319798015,0
243.421,53.23339883118257,1
243.42999999999995,81.26922607053814,0
243.44400000000002,74.21045323853883,0
243.457,63.40041732585371,1
243.505,72.71933333719154,1
243.525,53.48038510436458,0
243.543,47.84670512663989,0
243.56,33.988418858753775,0
243.529,-0.8910111586722304,0
243.518,12.392035230359134,1
243.51800000000003,13.509100802101527,1
243.51500000000004,25.668331938763128,1
243.51700000000002,47.22420794620932,0
243.52599999999998,42.381220758079394,1
243.54500000000004,48.90305073382071,1
243.581,57.30386052527028,0
243.589,40.55640701603382,0
243.59900000000002,30.855470731062226,0
243.604,23.595819521913274,0
243.611,16.19296836541758,1
243.614,4.502136624000659,1
243.625,7.772618861589832,1
243.63200000000003,2.7048614745744044,1
243.641,10.71052978113523,0
243.65200000000004,9.698608741341415,0
243.664,0.6776176913504856,1
243.67500000000004,-8.931676518642751,0
243.683,-9.510773940587145,0
243.66600000000003,-9.49549615052686,1
243.66600000000003,4.75144124788355,0
243.66800000000003,10.296391239332738,0
243.67000000000004,11.884766391672391,0
243.67300000000003,13.592463685693614,1
243.676,21.434841484245624,0
243.68,19.8635981471046,0
243.64499999999995,11.257494564432543,0
243.657,27.25157464553147,0
243.657,27.25157464553147,1
243.62500000000003,41.91020903772641,0
243.618,34.01671443472049,0
243.61000000000004,17.0666316563346,1
243.59600000000003,19.222055811979352,1
243.584,29.773144487819053,0
243.571,29.379781247449113,1
243.56600000000003,35.21259547724794,1
243.569,40.734461919147456,1
243.63100000000003,53.98320106426594,1
243.669,38.219495655535404,0
243.687,21.17743824044208,1
243.705,7.177210102232031,1
243.733,20.735353093439898,0
243.74400000000009,11.970500309451449,1
