sma20_current,wpr14_previous,class
242.86999999999995,-54.54545454545549,1
242.94,-12.500000000000892,1
242.965,-23.529411764705984,0
243.01000000000005,-5.8823529411760775,1
243.045,-12.499999999999332,1
243.09,-21.428571428572152,0
243.13,-7.142857142856707,0
243.175,-14.285714285713414,0
243.23,-15.384615384614374,0
243.28,-23.07692307692375,1
243.315,-46.15384615384532,1
243.40999999999997,-41.66666666666706,1
243.51,-50.000000000002366,0
243.62,-74.99999999999824,1
243.645,-50.00000000000001,1
243.635,-74.99999999999824,1
243.63,-62.49999999999911,1
243.63,-37.500000000000895,1
243.64,-24.99999999999823,0
243.63,-12.499999999999115,1
243.63,-37.500000000000895,0
243.63,-24.99999999999823,1
243.63,-24.99999999999823,0
243.605,-83.33333333333412,0
243.58,-77.77777777777601,1
243.58,-55.55555555555521,0
243.5900000000001,-44.4444444444448,1
243.61,-14.285714285717187,1
243.49499999999995,-57.14285714285656,0
243.49999999999997,-57.14285714285656,1
243.5,-33.333333333334906,1
243.51,-50.0,1
243.52,-16.666666666669823,0
244.305,-57.81250000000021,1
244.39500000000004,-59.375000000000135,0
244.48,-53.125000000000036,0
245.21,-59.2592592592593,0
245.315,-40.909090909091375,1
245.4650000000001,-55.555555555556076,1
245.425,-30.769230769231612,1
245.31,-11.76470588235235,0
246.345,-80.00000000000115,0
246.335,-80.00000000000115,0
246.04,-5.5555555555552045,0
246.005,-23.80952380952355,0
245.92,-38.095238095238216,1
245.965,-14.285714285714672,1
245.99,-14.285714285714672,0
245.99500000000003,-14.285714285714672,1
246.11,-14.285714285713414,1
246.195,-58.33333333333294,0
246.245,-50.0,1
246.295,-66.66666666666825,0
243.23,-29.999999999998288,0
243.27500000000003,-54.54545454545431,1
243.29,-74.99999999999824,0
243.385,-62.49999999999911,0
243.43,-50.00000000000001,0
243.445,-37.500000000000895,0
243.45,-62.49999999999911,1
243.455,-37.500000000000895,0
243.445,-60.00000000000227,1
243.47000000000003,-20.0000000000017,0
243.46000000000004,-20.0000000000017,1
243.48,-20.0000000000017,0
243.505,-10.000000000002274,0
243.51,-0.0,1
243.525,-30.000000000001133,0
243.53500000000003,-0.0,1
243.555,-20.0000000000017,0
243.55,-15.384615384614714,0
243.52,-63.63636363636294,0
243.545,-27.272727272725863,0
243.55,-27.272727272725863,0
243.545,-36.36363636363706,0
243.545,-54.54545454545431,1
243.54000000000005,-45.45454545454569,0
243.53500000000008,-45.45454545454569,1
243.53000000000003,-45.45454545454569,1
243.54000000000005,-36.36363636363706,0
243.53000000000003,-27.272727272725863,0
243.535,-40.000000000000576,1
243.545,-40.000000000000576,0
243.555,-57.14285714285889,0
243.57,-57.14285714285889,0
243.61000000000004,-66.66666666666825,1
243.44,-42.857142857141106,1
243.43,-28.57142857142741,0
243.335,-0.0,1
243.4,-30.43478260869539,0
243.485,-30.000000000000192,0
243.545,-23.333333333333908,1
243.74,-13.333333333333526,1
243.795,-19.999999999999808,0
243.84500000000003,-30.000000000000192,0
243.89,-30.000000000000192,0
243.435,-22.2222222222224,0
243.205,-33.333333333333336,1
243.215,-23.07692307692375,1
243.235,-44.4444444444448,1
243.285,-14.285714285717187,0
243.36499999999995,-9.09090909090862,1
243.56,-16.66666666666785,1
243.805,-21.052631578947604,0
243.86000000000004,-21.052631578947604,0
243.90000000000003,-26.31578947368413,0
243.95000000000005,-36.84210526315718,0
243.99,-41.1764705882349,1
244.025,-50.00000000000089,1
244.105,-61.53846153846187,1
244.14999999999995,-61.53846153846187,1
244.19,-61.53846153846187,0
244.23999999999995,-69.99999999999885,0
244.265,-59.999999999999424,1
244.27,-80.00000000000115,0
244.28,-75.00000000000179,0
243.775,-66.66666666666667,1
243.735,-41.66666666666706,0
243.715,-24.999999999998817,0
243.695,-19.999999999998863,0
243.67,-9.999999999999432,1
243.66,-9.999999999999432,0
243.64499999999992,-9.09090909090862,0
243.08,-33.333333333333336,0
243.08,-13.333333333332574,0
243.08,-13.333333333332574,1
243.19499999999996,-7.142857142856707,0
243.23999999999995,-21.428571428572152,0
243.29,-21.428571428572152,1
243.32,-28.57142857142886,1
243.365,-28.57142857142886,0
243.425,-28.57142857142741,1
243.485,-27.272727272725863,1
243.54,-18.18181818181724,1
243.90000000000003,-30.76923076923127,1
244.04500000000007,-50.00000000000055,0
244.08500000000004,-50.00000000000055,1
244.12500000000009,-61.538461538461455,1
244.225,-50.000000000000604,0
244.24999999999997,-68.18181818181765,1
