sma20_current,macd_12_26_current,class
242.86999999999995,-0.10579493543761488,1
242.94,0.12682504136861894,1
242.965,0.1905253506889153,0
243.01000000000005,0.2345323651046556,1
243.045,0.2591456587062737,1
243.09,0.2908785881535607,0
243.13,0.3080925934912955,0
243.175,0.3199307683841539,0
243.23,0.3183861695091537,0
243.28,0.2775441674219508,1
243.315,0.2411417992104248,1
243.40999999999997,0.22087050537811592,1
243.51,0.18179074091452208,0
243.62,0.05884000098657794,1
243.645,0.0038309321667497898,1
243.635,-0.03149576330866921,1
243.63,-0.019570723288950376,1
243.63,-0.0021188470064146263,1
243.64,0.008904161459867055,0
243.63,0.010205171747799113,1
243.63,0.018729063130194845,0
243.63,0.028469605969064563,1
243.63,0.034647093511495086,0
243.605,-0.006461932966459472,0
243.58,-0.07566565891602295,1
243.58,-0.06050809276126756,0
243.5900000000001,-0.05105932405547264,1
243.61,-0.007833523616511684,1
243.49499999999995,-0.03882043863879403,0
243.49999999999997,-0.022322784941934515,1
243.5,-0.02013872107414727,1
243.51,0.0015673193133807215,1
243.52,0.016516134571872954,0
244.305,0.7297572968053885,1
244.39500000000004,0.7196259668604057,0
244.48,0.6831804288678427,0
245.21,0.17764630974522788,0
245.315,0.13550047501192353,1
245.4650000000001,0.05700402546034411,1
245.425,0.03904333561837348,1
245.31,0.05823667083575401,0
246.345,0.02902046610179809,0
246.335,-0.047556664614631934,0
246.04,-0.13178172017259726,0
246.005,-0.108985576023656,0
245.92,-0.06542863854653548,1
245.965,0.09849970845419877,1
245.99,0.15662089614417596,0
245.99500000000003,0.1805880157879756,1
246.11,0.23289430089923255,1
246.195,0.1938630133359993,0
246.245,0.160980668429346,1
246.295,0.12336692143031767,0
243.23,0.12625613980199546,0
243.27500000000003,0.09067777347249263,1
243.29,0.07783405358983941,0
243.385,0.06203469308994159,0
243.43,0.08024242127106618,0
243.445,0.06881273874401472,0
243.45,0.07276303079814284,1
243.455,0.0605666422619322,0
243.445,-0.03411377132721327,1
243.47000000000003,-0.003013091751000729,0
243.46000000000004,0.007005956479360975,1
243.48,0.029581846751199237,0
243.505,0.04921625113934169,0
243.51,0.03825492998095115,1
243.525,0.05172719668613013,0
243.53500000000003,0.0484992841704468,1
243.555,0.0846987068671865,0
243.55,0.07733058353642264,0
243.52,-0.037168028456505915,0
243.545,-0.004310280983958137,0
243.55,0.007219187602032663,0
243.545,0.002255794306421421,0
243.545,0.006299028708184551,1
243.54000000000005,0.010017843220509805,0
243.53500000000008,0.02404070627056853,1
243.53000000000003,0.04285771744895328,1
243.54000000000005,0.06943013003984788,0
243.53000000000003,0.07394393191543712,0
243.535,0.07814985831404897,1
243.545,0.07266457982714769,0
243.555,0.06406546134567748,0
243.57,0.05271949072155735,0
243.61000000000004,0.041259209393615486,1
243.44,-0.05937556254858122,1
243.43,-0.041197294957640906,0
243.335,0.06274715405439224,1
243.4,0.15582042757469594,0
243.485,0.24538621995904464,0
243.545,0.2935329607160213,1
243.74,0.4436799919469081,1
243.795,0.4375541252802577,0
243.84500000000003,0.4230473103599763,0
243.89,0.4161843280544133,0
243.435,-0.1874557933959977,0
243.205,0.06635131947479067,1
243.215,0.07674353461939631,1
243.235,0.10421059682659006,1
243.285,0.17124704945547364,0
243.36499999999995,0.1948408172316931,1
243.56,0.252936323649692,1
243.805,0.3793532015095025,0
243.86000000000004,0.3671659246579111,0
243.90000000000003,0.3402430245924961,0
243.95000000000005,0.3106636093045836,0
243.99,0.2654168359564437,1
244.025,0.2165103130335524,1
244.105,0.16493463663729813,1
244.14999999999995,0.13543830961705794,1
244.19,0.11386364032782124,0
244.23999999999995,0.09449580349021858,0
244.265,0.060957060129226186,1
244.27,0.031672475444622705,0
244.28,0.00155164240521799,0
243.775,-0.23861531662586802,1
243.735,-0.13532989786270375,0
243.715,-0.09331999406211366,0
243.695,-0.04870552330271494,0
243.67,-0.010536825017112506,1
243.66,0.02780711649523937,0
243.64499999999992,0.0540932392585205,0
243.08,-0.04817639738146795,0
243.08,0.038522479356231536,0
243.08,0.038522479356231536,1
243.19499999999996,0.1896293242305376,0
243.23999999999995,0.20410365901540214,0
243.29,0.20584891528389448,1
243.32,0.21152674575094466,1
243.365,0.2269988632152149,0
243.425,0.23257107149584044,1
243.485,0.23418957531265505,1
243.54,0.2500452101110397,1
243.90000000000003,0.4171703530725495,1
244.04500000000007,0.3862044937837936,0
244.08500000000004,0.3424731753056278,1
244.12500000000009,0.28585439547961755,1
244.225,0.25111569541053314,0
244.24999999999997,0.2188186964293664,1
