sma10_previous,wpr14_current,class
242.71,-22.222222222220818,1
242.95,-23.529411764705984,1
243.01,-5.8823529411760775,0
243.12000000000003,-12.499999999999332,1
243.22000000000003,-21.428571428572152,1
243.32,-7.142857142856707,0
243.44,-14.285714285713414,0
243.55,-15.384615384614374,0
243.64000000000004,-23.07692307692375,0
243.71,-46.15384615384532,1
243.7,-46.15384615384532,1
243.68,-0.0,1
243.69,-33.33333333333176,0
243.63,-62.49999999999911,1
243.59,-74.99999999999824,1
243.59,-62.49999999999911,1
243.59,-37.500000000000895,1
243.56,-24.99999999999823,1
243.57,-12.499999999999115,0
243.58,-37.500000000000895,1
243.59,-24.99999999999823,0
243.63,-24.99999999999823,1
243.66000000000003,-37.500000000000895,0
243.66,-66.66666666666825,0
243.53000000000003,-55.55555555555521,1
243.5,-44.4444444444448,0
243.49,-28.571428571430317,1
243.51,-14.285714285717187,1
243.53000000000003,-57.14285714285656,0
243.51,-33.333333333334906,1
243.51,-50.0,1
243.49,-16.666666666669823,1
243.48999999999995,-16.666666666669823,0
245.25,-59.375000000000135,1
245.44,-53.125000000000036,0
245.65,-56.24999999999986,0
245.13,-40.909090909091375,0
245.17,-54.54545454545431,1
245.15,-30.769230769231612,1
245.14,-15.384615384614714,1
245.35,-29.41176470588255,0
246.44,-93.33333333333373,0
246.32,-73.33333333333294,0
245.78,-23.80952380952355,0
245.78000000000003,-38.095238095238216,0
245.75,-33.33333333333378,1
246.0,-14.285714285714672,1
246.14,-14.285714285714672,0
246.22,-23.80952380952355,1
246.43,-50.0,1
246.49,-50.0,0
246.52000000000004,-66.66666666666825,1
246.49,-81.81818181818275,0
243.40000000000003,-19.999999999998863,0
243.42,-74.99999999999824,1
243.41000000000003,-62.49999999999911,0
243.40000000000003,-50.00000000000001,0
243.42,-25.000000000001783,0
243.48999999999995,-62.49999999999911,0
243.49,-37.500000000000895,1
243.47,-50.00000000000001,0
243.47,-50.0,1
243.43,-20.0000000000017,0
243.45,-20.0000000000017,1
243.45,-10.000000000002274,0
243.47,-0.0,0
243.48,-30.000000000001133,1
243.48,-0.0,0
243.54,-20.0000000000017,1
243.57,-15.384615384614714,0
243.64,-38.461538461538964,0
243.41,-27.272727272725863,0
243.40000000000003,-27.272727272725863,0
243.42,-36.36363636363706,0
243.44,-54.54545454545431,0
243.44,-45.45454545454569,1
243.47,-45.45454545454569,0
243.55,-45.45454545454569,1
243.6,-36.36363636363706,1
243.63,-27.272727272725863,0
243.67,-40.000000000000576,0
243.66,-40.000000000000576,1
243.64999999999995,-57.14285714285889,0
243.64999999999995,-57.14285714285889,0
243.67,-71.42857142857258,0
243.67,-66.66666666666825,1
243.31000000000003,-28.57142857142741,1
243.32,-16.66666666666588,0
243.25,-30.43478260869539,1
243.3,-30.000000000000192,0
243.44,-23.333333333333908,0
243.58,-33.333333333333336,1
244.02,-19.999999999999808,1
244.17,-30.000000000000192,0
244.36000000000004,-30.000000000000192,0
244.53000000000003,-33.333333333333336,0
243.05000000000004,-16.666666666667194,0
243.4,-23.07692307692375,1
243.38,-44.4444444444448,1
243.39,-14.285714285717187,1
243.42,-9.09090909090862,0
243.48,-27.272727272725863,1
243.65,-7.692307692307187,1
244.1,-21.052631578947604,0
244.22,-26.31578947368413,0
244.3,-36.84210526315718,0
244.32,-41.1764705882349,0
244.36000000000004,-50.00000000000089,1
244.41,-71.42857142857113,1
244.39,-61.53846153846187,1
244.37,-61.53846153846187,1
244.31,-69.99999999999885,0
244.28000000000003,-59.999999999999424,0
244.26,-80.00000000000115,1
244.23,-75.00000000000179,0
244.22,-87.50000000000091,0
243.42,-41.66666666666706,1
243.44,-24.999999999998817,0
243.48,-19.999999999998863,0
243.52000000000004,-9.999999999999432,0
243.57,-9.999999999999432,1
243.63,-9.09090909090862,0
243.7,-18.18181818181724,0
243.08,-39.999999999999616,0
243.12,-27.272727272725863,0
243.12,-27.272727272725863,1
243.33,-21.428571428572152,0
243.4,-21.428571428572152,0
243.48999999999995,-28.57142857142886,1
243.52,-28.57142857142886,1
243.56,-7.142857142856707,0
243.67,-27.272727272725863,1
243.72000000000003,-18.18181818181724,1
243.78000000000003,-0.0,1
244.18,-50.00000000000055,1
244.38,-50.00000000000055,0
244.45,-61.538461538461455,1
244.5,-70.83333333333387,1
244.6,-68.18181818181765,0
244.62,-68.18181818181765,1
