stoch_rsi_14_current,uosc_current,class
100.0,21.73981761800549,1
95.6193041181328,25.79184034575511,1
100.0,27.410741074107047,0
100.0,25.458241947805533,1
91.26723929384715,22.059716360914866,1
100.0,22.53823196687541,0
91.04485588976624,17.008123195731017,0
91.04485588976624,18.001621612297242,0
80.65900828262838,21.294207393056475,0
47.10473139803856,18.823053158624145,1
18.114273800187064,18.40018779047218,1
87.27427147493471,24.898530091291583,1
50.63369496578653,20.041599065123695,0
16.25870698135886,22.632547091945906,1
0.0,15.68505663134856,1
19.99722085346585,17.598505696236007,1
52.247124095496886,25.244667205092536,1
65.41630055570515,25.249840853002485,1
77.31529121644724,24.48608887900327,0
42.492268864146226,20.68233353947642,1
73.85038129375035,23.03139518331161,0
73.85038129375035,25.313688402191204,1
48.20598456844496,27.7983641514426,0
34.68016337260493,32.136985555576594,0
59.07453707633842,31.831787260358386,1
81.57748574983876,33.67464714709917,0
81.57748574983876,30.50520907663741,1
100.0,27.385426892815772,1
21.344353790494093,38.083953960731904,0
85.16067082974463,45.29616724738735,1
47.872566859533364,38.155061019383176,1
100.0,41.79587880618865,1
100.0,42.747729538901595,0
51.17347630761281,11.016211916399515,1
60.38213367781202,10.700751923449292,0
53.64109123823603,11.397583103340258,0
56.73892330768643,25.58364296705452,0
28.074346063089763,26.44745501293643,1
27.14521603864653,20.504068649828078,1
55.02432458915143,20.10329201522816,1
49.9573019241618,16.042671807504803,0
0.0,18.091746962714303,0
40.685717256242974,13.347815385319764,0
96.13692187877035,25.024668661996568,0
83.65620794864253,22.66507885341846,0
88.33454660443716,19.125336279995143,1
100.0,18.533360537814385,1
100.0,23.974840469084764,0
90.65426261383531,26.17734288287027,1
45.71769207521586,21.78115975099018,1
45.14023347990386,21.20493225785105,0
0.0,22.597534560382535,1
0.0,17.862198395321165,0
92.20395515751265,42.98227227399214,0
2.7141294901922466,40.04091994637346,1
25.70314745084002,38.65157398992244,0
46.63159785095691,29.467876039305487,0
83.19099685973963,25.602943840185226,0
16.708620916030778,31.432506261682025,0
59.765692398602866,33.68136187095412,1
37.79479690772285,33.28713458506989,0
28.476996527708703,30.263857267044934,1
83.94939056617491,35.26533304614739,0
83.94939056617491,35.51621465746649,1
100.0,35.2383180954608,0
100.0,30.00099267330749,0
48.37268506164109,33.81157340985156,1
90.97026693738823,41.478646253021104,0
60.409908302721284,35.67655987503232,1
96.68050150455852,42.090403875300176,0
54.879864698513906,44.50969795231997,0
99.72813516405235,24.090984102535906,0
99.72813516405235,23.367220712535282,0
87.71818431464987,22.030616651112343,0
61.85059786979043,20.930118181710338,0
74.8558425022343,23.598901098901,1
74.8558425022343,20.58849779661936,0
74.8558425022343,19.07207006191723,1
88.80712605132376,23.222917307625213,1
100.0,30.54741988643785,0
84.38039864214826,35.26624442880442,0
64.67527056395471,35.5825206580791,1
64.67527056395471,38.38355303274524,0
59.37525096117794,40.77758625813279,0
4.7328939332397075,37.97508151814147,0
4.7328939332397075,39.402789901124265,1
100.0,23.64773866535798,1
100.0,26.14139814600563,0
88.98375557720291,40.707841220730856,1
97.33353953636237,38.199920714206435,0
99.9887940515733,34.934560388860234,0
92.37089664886213,31.093998491570744,1
95.14327495117088,22.414338104076982,1
87.29779602613846,21.35090829231859,0
87.29779602613846,19.118047448054604,0
84.26482981448916,19.248889408464443,0
91.96335811126708,19.21139380253013,0
84.7822423933027,46.43433231459743,1
45.24559670624518,56.2979917565609,1
100.0,56.73128261177804,1
100.0,56.45098948670705,0
73.35173393948969,43.778893660313855,1
100.0,27.796629444037556,1
83.20548203416988,21.582156528700303,0
73.46664913090882,24.40108987600564,0
46.5799301717969,21.897842594564352,0
46.57993017179693,23.470062016355136,0
12.782206237349241,22.459849038908096,1
0.0,17.539360562863887,1
28.03718340851975,21.363808605188233,1
28.03718340851975,21.907519585081612,1
41.98050090227376,22.359463608892398,0
54.74475354537569,21.19047920468336,0
19.791215705546048,22.151191698592022,1
24.603018275446768,28.53547406734099,0
0.0,26.705413759481825,0
89.5093114708942,32.89703926646609,1
100.0,36.99339763163145,0
91.67590488561798,30.552163548508094,0
99.07300654103969,27.50345713227412,0
99.07300654103969,25.68820737495389,1
100.0,25.71765347360269,0
91.60310406029741,23.572125142941925,0
89.38507814669218,31.488374427887784,0
90.51016299775259,28.90510468289171,0
90.51016299775259,28.90510468289171,1
85.75895175068598,20.766228061634067,0
84.34089184237841,21.60682454800091,0
75.26046225985358,20.9438278518816,1
75.26046225985358,22.39925482890425,1
96.12914387171419,30.2793265847447,0
89.02189991712179,27.290729283839113,1
99.60371264094181,31.71212972033501,1
100.0,33.113674577969014,1
42.05776173905254,25.780138262747503,1
42.05776173905254,23.77513642819716,0
5.437578273662547,21.334289747762075,1
0.0,18.502682733675357,1
11.125949367706623,17.408876232405245,0
11.12594936770667,19.015269484327774,1
