adi14_previous,stoch_rsi_14_previous,class
29.49350703497163,83.93754063278692,1
27.33001566438905,100.0,1
28.138500306321497,95.6193041181328,0
28.88923604525876,100.0,1
29.839196304385656,100.0,1
30.127138022428827,91.26723929384715,0
30.39451247489746,100.0,0
30.64278875218976,91.04485588976624,0
29.65413273155519,91.04485588976627,0
28.7360949981088,80.65900828262838,1
26.808864225706376,47.10473139803854,1
23.357547893495926,21.14328396361089,1
24.263916931273553,37.71240329969313,0
23.099130809294962,0.0,1
20.347613516425785,30.89166434935492,1
17.624687130911788,0.0,1
16.909175483037668,19.99722085346585,1
16.711535284196447,52.247124095496886,1
17.33874074742248,65.41630055570515,0
18.274806785425405,77.31529121644729,1
18.52174525658243,42.492268864146226,0
18.167628804815713,73.85038129375035,1
17.838806385318048,73.85038129375035,0
14.047811285716715,0.0,0
12.590495292347144,24.28660159413655,1
11.723718980900244,59.07453707633842,0
11.781263603796566,81.57748574983876,1
11.993563461893716,100.0,1
10.348523684005812,43.946570765172176,0
9.84139887985757,21.344353790494136,1
9.479940862592802,85.1606708297445,1
9.669916171077272,47.872566859533435,1
9.846321814670004,100.0,0
36.52739609974017,70.48002307213666,1
36.066683634769795,51.17347630761283,0
35.901222962108825,60.38213367781202,0
30.784253475909622,35.33658083910636,0
30.407514357618858,56.738923307686385,1
28.696111592936987,9.551159609367305,1
27.828190657430497,27.14521603864653,1
27.777909474020287,100.0,0
20.94931758949373,0.0,0
21.726828807740823,28.756051257656274,0
20.850100747130746,100.0,0
21.022582531595226,96.13692187877035,0
18.96465301825261,84.15408982058239,1
17.64296552108821,100.0,1
18.029949940459744,100.0,0
17.774539048536305,100.0,1
19.521597386233346,100.0,1
17.83628053099605,31.103224557005788,0
16.85596897350981,45.14023347990386,1
16.43903175848917,0.0,0
27.351905880629463,78.71121629459716,0
24.396514368889193,2.7141294901922466,1
23.5180218814308,2.7141294901922466,0
20.313481744341985,24.515437246073876,0
18.921429054368943,46.63159785095691,0
18.333946911158463,62.11121912149045,0
17.202181312156974,16.70862091603072,1
16.527741506593383,59.7656923986028,0
16.255569177702306,3.608995139268009,1
15.199733703992365,83.94939056617491,0
14.799968119111641,83.94939056617491,1
14.428757218865249,83.94939056617491,0
14.084061382922178,100.0,0
14.132824171475516,100.0,1
13.345742014891947,48.37268506164109,0
12.614880012350055,90.97026693738823,1
11.936222438561153,60.409908302721284,0
12.060965966298456,96.68050150455852,0
10.508742724530194,54.67971582219765,0
10.551203324066408,99.72813516405235,0
11.592449135621335,99.72813516405235,0
12.559320246350902,87.71818431464987,0
12.074671102857986,61.85059786979043,1
11.62463975532885,74.8558425022343,0
10.818716270723105,74.8558425022343,1
10.894874503855435,74.8558425022343,1
10.965592863192592,88.80712605132376,0
11.471529205555143,100.0,0
11.941327237748899,84.38039864214826,1
12.816823244868123,64.67527056395471,0
13.62978382290741,64.67527056395471,0
15.187370909879633,59.37525096117794,0
17.210901329108648,4.7328939332397075,1
14.66350116158429,91.20842341977463,1
13.647362654291612,100.0,0
18.43783559312172,100.0,1
19.612686809556244,88.98375557720291,0
21.5913002090508,97.33353953636237,0
23.42858408001002,99.9887940515733,1
28.103873545614746,100.0,1
29.967589134721035,95.14327495117088,0
31.34619330779241,87.29779602613846,0
32.62632575421583,87.29779602613846,0
20.223506211936744,87.31825139682074,0
14.575185601099449,73.55320541789546,1
14.166002276412636,84.7822423933027,1
13.78604633206057,45.24559670624518,1
12.916829735310811,100.0,0
13.554546592099786,100.0,1
15.423272252521436,88.89314561000013,1
22.18564036177448,83.20548203416988,0
24.034625244078985,83.20548203416988,0
24.433777777973873,73.46664913090882,0
24.804419416590573,46.57993017179693,0
24.335039209540483,46.57993017179693,1
23.89918616013681,12.782206237349241,1
22.6391366890462,28.03718340851975,1
22.225102817930544,28.03718340851975,1
21.3864821100137,28.03718340851975,0
21.278555190048625,41.98050090227376,0
21.17833733579531,54.74475354537572,1
20.594244309146553,19.791215705546048,0
19.582386587333122,24.603018275446768,0
26.633500708305892,65.86169952882888,1
24.21716023652717,96.99007430814251,0
22.662838967734423,100.0,0
21.31852480705852,91.67590488561798,0
20.07023308643088,99.07300654103969,1
18.85586140719128,99.07300654103969,0
17.7821959635366,100.0,0
29.25380614078433,95.0612461296213,0
26.561938597080665,100.0,0
26.561938597080665,100.0,1
22.64447630571141,100.0,0
22.225217024745675,85.75895175068598,0
21.40025334139247,84.34089184237841,1
20.250489922857888,75.26046225985358,1
19.182852462790052,75.26046225985358,0
18.491834369966604,77.52234619578424,1
18.068313226042694,89.02189991712179,1
17.981200619141127,99.60371264094181,1
24.98727059245132,90.92470966997251,1
25.77062932335507,42.05776173905254,0
26.14294611517559,42.05776173905257,1
26.186910541257912,5.4375782736624965,1
25.845676933774147,41.903373211795305,0
26.037022757697486,11.12594936770667,1
