ema30_previous,ema200_current,class
242.9144385936486,243.17811443537647,1
242.98529712205425,243.1933459797288,1
243.01850375934106,243.2010954335464,0
243.07295857572075,243.209079250263,1
243.12591803017983,243.21583286519532,1
243.16900913273852,243.2251322735149,0
243.2222233899707,243.2328769176945,0
243.2645439303941,243.24054450073783,0
243.3041341133707,243.24714076454683,0
243.33673633013032,243.25021911142517,1
243.34586248731742,243.2534225639321,1
243.36493252760067,243.26808485911803,1
243.43955676419841,243.28197290890552,0
243.48380094054627,243.29364627052482,1
243.50802759313214,243.30128581252617,1
243.51103901776986,243.307490484158,1
243.51638037919358,243.31357635472497,1
243.53831606654,243.32044095829545,1
243.56528816115448,243.32760933844415,0
243.59898958557525,243.3325606057296,1
243.61559564670355,243.33861336749587,0
243.6385908879724,243.34476163872287,1
243.6580847132489,243.34969797230028,0
243.6249990209944,243.36802615136082,0
243.564435182531,243.36950207796414,1
243.5572512959214,243.37304147719482,0
243.55900035080987,243.37685713041512,1
243.57855783038582,243.3905189710545,1
243.52979519327096,243.40151501920658,0
243.5214213098341,243.40442440981647,1
243.52850875478757,243.40646556233645,1
243.52666948028502,243.41063219057838,1
243.5378520944602,243.4152245676712,0
244.4607540082531,243.63323011555946,1
244.51612064941682,243.6555426029863,0
244.59977525694646,243.6756430258617,0
244.8740516610031,243.78647319094304,0
244.9420744841278,243.80231183892272,1
245.00309169998917,243.83102294148858,1
245.03193827759642,243.8491264286509,1
245.20260905760682,243.91028934954895,0
246.30332334604032,245.18199677075197,0
246.259489231279,245.236674674194,0
245.99252418047746,245.3294006245415,0
246.0123613301241,245.34136827730995,0
245.9879062877316,245.375140199488,1
246.0276145239743,245.4212968492035,1
246.06010885833803,245.43794817983886,0
246.0925246360728,245.4521323039492,1
246.22516331926442,245.5210302663626,1
246.2415524759692,245.54581640464676,0
246.25379274891387,245.55606335685874,1
246.25234010102352,245.56521332447159,0
243.21463646838947,244.834333234004,0
243.26448111036132,244.77997663331814,1
243.28089761590496,244.76235212388653,0
243.32648786616485,244.7143552881337,0
243.34373575349878,244.70208189744443,0
243.39638398539182,244.67238046061885,0
243.39964405471613,244.6596854409755,1
243.41761487483325,244.6461217150597,0
243.42726740693783,244.55441364795558,1
243.43847632196517,244.53071026543304,0
243.4509150564587,244.51864621974252,1
243.46154236593262,244.5076972391832,0
243.47995350748016,244.49754075668758,0
243.50463737236697,244.4845002590923,1
243.50433818705292,244.4755090079956,0
243.5274488468061,244.46430570044043,1
243.5331384923867,244.4571333588858,0
243.56286053286743,244.44658010144832,0
243.45820252883306,244.33517016923562,0
243.48328075664506,244.3276647896797,0
243.50472318223603,244.31939480158763,0
243.51833061262766,244.30874984434516,0
243.518156918478,244.2998287757349,1
243.52343711728585,244.29115220992267,0
243.53293242687215,244.2735915629912,1
243.5382682930937,244.2653924091177,1
243.55374722686386,244.25795839184812,0
243.5746791326489,244.24960332002442,0
243.5878089799962,244.2416428551354,1
243.5990828143981,244.2336058629061,0
243.6066025265857,244.22533736885697,0
243.6136370960516,244.21600038755852,0
243.6109253068412,244.19729119488719,1
243.44512963700657,244.02673608962624,1
243.44564288236637,244.01838021558385,0
243.3278241255824,243.9138514134928,1
243.37421708908798,243.9176591704376,0
243.45592857880862,243.92357482495086,0
243.54728943736094,243.92613507071147,1
243.77734837128372,243.94607357889316,1
243.85644193397408,243.94971645322295,0
243.9090599954189,243.95254440031627,0
243.9582833432222,243.95403771186488,0
243.4449527612511,243.76171689983872,0
243.40234369508644,243.7060902707865,1
243.396536989618,243.698528254014,1
243.38667114944485,243.69464949960042,1
243.39881450583863,243.69556811899145,0
243.4349719454776,243.6946432840854,1
243.50059506736,243.6984073436652,1
243.7787364802131,243.7259243286216,0
243.84584618770188,243.7312905349166,0
243.9001567717003,243.7346132963731,0
243.93806022124718,243.737591523634,0
243.9815896951104,243.73923362002532,1
244.00980564679938,243.73855785550563,1
244.0487579907386,243.74056688508657,1
244.06860479992088,243.7415564321067,1
244.0861622437814,243.74399836560193,0
244.10601178417218,243.74694381828903,0
244.13607695205584,243.7474027053993,1
244.1482724278233,243.74785702646872,0
244.15867217268269,243.74777900989318,0
243.76964794867558,243.6785659452428,1
243.7511221222051,243.67710871712399,0
243.75568251648,243.6769298924438,0
243.74845244876752,243.67774787198908,0
243.751167227999,243.67886918432689,1
243.75370686018329,243.6811301001497,0
243.7645521100725,243.6817505506377,0
243.18844949648891,243.54160063129586,0
243.19741807780457,243.5414856496717,0
243.19741807780457,243.5414856496717,1
243.2873798290107,243.5500049294603,0
243.31198263316404,243.55243183340087,0
243.33398923361042,243.55383956416782,1
243.34812444047932,243.55554475955554,1
243.36134769851824,243.56084100623642,0
243.42990350741684,243.5690480145738,1
243.46527694348882,243.57427050970742,1
243.5048198352981,243.58158682541253,1
243.8712557949692,243.64007765481801,1
243.99727352745518,243.6628061645771,0
244.0523019226453,243.6707037612065,1
244.0793806299824,243.67737201396287,1
244.15436452698864,243.69757533526607,0
244.1833280151173,243.70627773081958,1
