sma20_current,uosc_current,class
242.86999999999995,21.73981761800549,1
242.94,25.79184034575511,1
242.965,27.410741074107047,0
243.01000000000005,25.458241947805533,1
243.045,22.059716360914866,1
243.09,22.53823196687541,0
243.13,17.008123195731017,0
243.175,18.001621612297242,0
243.23,21.294207393056475,0
243.28,18.823053158624145,1
243.315,18.40018779047218,1
243.40999999999997,24.898530091291583,1
243.51,20.041599065123695,0
243.62,22.632547091945906,1
243.645,15.68505663134856,1
243.635,17.598505696236007,1
243.63,25.244667205092536,1
243.63,25.249840853002485,1
243.64,24.48608887900327,0
243.63,20.68233353947642,1
243.63,23.03139518331161,0
243.63,25.313688402191204,1
243.63,27.7983641514426,0
243.605,32.136985555576594,0
243.58,31.831787260358386,1
243.58,33.67464714709917,0
243.5900000000001,30.50520907663741,1
243.61,27.385426892815772,1
243.49499999999995,38.083953960731904,0
243.49999999999997,45.29616724738735,1
243.5,38.155061019383176,1
243.51,41.79587880618865,1
243.52,42.747729538901595,0
244.305,11.016211916399515,1
244.39500000000004,10.700751923449292,0
244.48,11.397583103340258,0
245.21,25.58364296705452,0
245.315,26.44745501293643,1
245.4650000000001,20.504068649828078,1
245.425,20.10329201522816,1
245.31,16.042671807504803,0
246.345,18.091746962714303,0
246.335,13.347815385319764,0
246.04,25.024668661996568,0
246.005,22.66507885341846,0
245.92,19.125336279995143,1
245.965,18.533360537814385,1
245.99,23.974840469084764,0
245.99500000000003,26.17734288287027,1
246.11,21.78115975099018,1
246.195,21.20493225785105,0
246.245,22.597534560382535,1
246.295,17.862198395321165,0
243.23,42.98227227399214,0
243.27500000000003,40.04091994637346,1
243.29,38.65157398992244,0
243.385,29.467876039305487,0
243.43,25.602943840185226,0
243.445,31.432506261682025,0
243.45,33.68136187095412,1
243.455,33.28713458506989,0
243.445,30.263857267044934,1
243.47000000000003,35.26533304614739,0
243.46000000000004,35.51621465746649,1
243.48,35.2383180954608,0
243.505,30.00099267330749,0
243.51,33.81157340985156,1
243.525,41.478646253021104,0
243.53500000000003,35.67655987503232,1
243.555,42.090403875300176,0
243.55,44.50969795231997,0
243.52,24.090984102535906,0
243.545,23.367220712535282,0
243.55,22.030616651112343,0
243.545,20.930118181710338,0
243.545,23.598901098901,1
243.54000000000005,20.58849779661936,0
243.53500000000008,19.07207006191723,1
243.53000000000003,23.222917307625213,1
243.54000000000005,30.54741988643785,0
243.53000000000003,35.26624442880442,0
243.535,35.5825206580791,1
243.545,38.38355303274524,0
243.555,40.77758625813279,0
243.57,37.97508151814147,0
243.61000000000004,39.402789901124265,1
243.44,23.64773866535798,1
243.43,26.14139814600563,0
243.335,40.707841220730856,1
243.4,38.199920714206435,0
243.485,34.934560388860234,0
243.545,31.093998491570744,1
243.74,22.414338104076982,1
243.795,21.35090829231859,0
243.84500000000003,19.118047448054604,0
243.89,19.248889408464443,0
243.435,19.21139380253013,0
243.205,46.43433231459743,1
243.215,56.2979917565609,1
243.235,56.73128261177804,1
243.285,56.45098948670705,0
243.36499999999995,43.778893660313855,1
243.56,27.796629444037556,1
243.805,21.582156528700303,0
243.86000000000004,24.40108987600564,0
243.90000000000003,21.897842594564352,0
243.95000000000005,23.470062016355136,0
243.99,22.459849038908096,1
244.025,17.539360562863887,1
244.105,21.363808605188233,1
244.14999999999995,21.907519585081612,1
244.19,22.359463608892398,0
244.23999999999995,21.19047920468336,0
244.265,22.151191698592022,1
244.27,28.53547406734099,0
244.28,26.705413759481825,0
243.775,32.89703926646609,1
243.735,36.99339763163145,0
243.715,30.552163548508094,0
243.695,27.50345713227412,0
243.67,25.68820737495389,1
243.66,25.71765347360269,0
243.64499999999992,23.572125142941925,0
243.08,31.488374427887784,0
243.08,28.90510468289171,0
243.08,28.90510468289171,1
243.19499999999996,20.766228061634067,0
243.23999999999995,21.60682454800091,0
243.29,20.9438278518816,1
243.32,22.39925482890425,1
243.365,30.2793265847447,0
243.425,27.290729283839113,1
243.485,31.71212972033501,1
243.54,33.113674577969014,1
243.90000000000003,25.780138262747503,1
244.04500000000007,23.77513642819716,0
244.08500000000004,21.334289747762075,1
244.12500000000009,18.502682733675357,1
244.225,17.408876232405245,0
244.24999999999997,19.015269484327774,1
