adi14_current,wpr14_previous,class
28.5086304682157,-54.54545454545549,1
28.138500306321486,-12.500000000000892,1
28.889236045258755,-23.529411764705984,0
29.839196304385656,-5.8823529411760775,1
30.1271380224288,-12.499999999999332,1
30.39451247489746,-21.428571428572152,0
30.64278875218976,-7.142857142856707,0
29.654132731555194,-14.285714285713414,0
28.736094998108808,-15.384615384614374,0
26.808864225706376,-23.07692307692375,1
25.01929279418984,-46.15384615384532,1
23.82751702419544,-41.66666666666706,1
24.669145416417518,-50.000000000002366,0
21.868108022296845,-74.99999999999824,1
18.93572576097408,-50.00000000000001,1
16.909175483037668,-74.99999999999824,1
16.71153528419644,-62.49999999999911,1
17.33874074742247,-37.500000000000895,1
18.274806785425397,-24.99999999999823,0
18.521745256582424,-12.499999999999115,1
18.167628804815713,-37.500000000000895,0
17.838806385318048,-24.99999999999823,1
16.68817326665854,-24.99999999999823,0
14.074892976867886,-83.33333333333412,0
11.723718980900257,-77.77777777777601,1
11.781263603796566,-55.55555555555521,0
12.217731914307196,-44.4444444444448,1
12.321318526539313,-14.285714285717187,1
9.841398879857568,-57.14285714285656,0
9.479940862592802,-57.14285714285656,1
9.669916171077269,-33.333333333334906,1
9.846321814669997,-50.0,1
10.01012705514896,-16.666666666669823,0
36.066683634769795,-57.81250000000021,1
35.901222962108825,-59.375000000000135,0
35.747580908923624,-53.125000000000036,0
30.407514357618858,-59.2592592592593,0
29.630795677328607,-40.909090909091375,1
27.828190657430497,-55.555555555556076,1
27.49926336354553,-30.769230769231612,1
28.178075905958515,-11.76470588235235,0
20.97154111331691,-80.00000000000115,0
22.22618143909097,-80.00000000000115,0
21.022582531595226,-5.5555555555552045,0
20.640385946514307,-23.80952380952355,0
18.443075284331172,-38.095238095238216,1
18.029949940459744,-14.285714285714672,1
17.77453904853629,-14.285714285714672,0
17.75913036032934,-14.285714285714672,1
18.89200066982739,-14.285714285713414,1
16.85596897350981,-58.33333333333294,0
16.43903175848917,-50.0,1
16.289187371129106,-66.66666666666825,0
26.36142655977246,-29.999999999998288,0
23.5180218814308,-54.54545454545431,1
22.27543432637408,-74.99999999999824,0
18.921429054368936,-62.49999999999911,0
18.61680868381536,-50.00000000000001,0
17.202181312156945,-37.500000000000895,0
16.52774150659339,-62.49999999999911,1
15.901475972855765,-37.500000000000895,0
16.360571372737304,-60.00000000000227,1
14.799968119111641,-20.0000000000017,0
14.428757218865249,-20.0000000000017,1
14.084061382922178,-20.0000000000017,0
14.132824171475525,-10.000000000002274,0
13.34574201489194,-0.0,1
12.614880012350055,-30.000000000001133,0
11.936222438561153,-0.0,1
12.060965966298456,-20.0000000000017,0
11.728211985074987,-15.384615384614714,0
10.551203324066408,-63.63636363636294,0
11.592449135621324,-27.272727272725863,0
12.559320246350902,-27.272727272725863,0
12.074671102857986,-36.36363636363706,0
11.624639755328849,-54.54545454545431,1
11.206753504051797,-45.45454545454569,0
10.894874503855425,-45.45454545454569,1
10.965592863192587,-45.45454545454569,1
11.471529205555123,-36.36363636363706,0
11.941327237748927,-27.272727272725863,0
12.816823244868123,-40.000000000000576,1
13.6297838229074,-40.000000000000576,0
15.187370909879636,-57.14285714285889,0
16.633701776353846,-57.14285714285889,0
17.047087438593024,-66.66666666666825,1
13.647362654291616,-42.857142857141106,1
12.703805468948413,-28.57142857142741,0
19.612686809556244,-0.0,1
21.5913002090508,-30.43478260869539,0
23.42858408001002,-30.000000000000192,0
24.812100966834027,-23.333333333333908,1
29.967589134721035,-13.333333333333526,1
31.34619330779241,-19.999999999999808,0
32.62632575421583,-30.000000000000192,0
32.74811854588482,-30.000000000000192,0
19.198150644333147,-22.2222222222224,0
14.166002276412605,-33.333333333333336,1
13.786046332060563,-23.07692307692375,1
12.916829735310724,-44.4444444444448,1
13.554546592099767,-14.285714285717187,0
14.14671224483238,-9.09090909090862,1
16.677219901394473,-16.66666666666785,1
24.034625244078974,-21.052631578947604,0
24.433777777973873,-21.052631578947604,0
24.80441941659055,-26.31578947368413,0
24.33503920954046,-36.84210526315718,0
23.89918616013681,-41.1764705882349,1
23.085019319478427,-50.00000000000089,1
22.225102817930544,-61.53846153846187,1
21.386482110013713,-61.53846153846187,1
21.2785551900486,-61.53846153846187,0
21.178337335795323,-69.99999999999885,0
20.594244309146546,-59.999999999999424,1
19.582386587333122,-80.00000000000115,0
18.642804417077798,-75.00000000000179,0
25.380583426642843,-66.66666666666667,1
22.66283896773444,-41.66666666666706,0
21.318524807058505,-24.999999999998817,0
20.07023308643088,-19.999999999998863,0
18.85586140719128,-9.999999999999432,1
17.7821959635366,-9.999999999999432,0
16.7852209087144,-9.09090909090862,0
28.047482860480557,-33.333333333333336,0
25.182504638209327,-13.333333333332574,0
25.182504638209327,-13.333333333332574,1
22.225217024745675,-7.142857142856707,0
21.40025334139247,-21.428571428572152,0
20.250489922857888,-21.428571428572152,1
19.182852462790045,-28.57142857142886,1
18.512652009814406,-28.57142857142886,0
18.068313226042694,-28.57142857142741,1
17.981200619141127,-27.272727272725863,1
18.19813323954607,-18.18181818181724,1
25.539220006270078,-30.76923076923127,1
26.142946115175576,-50.00000000000055,0
26.186910541257912,-50.00000000000055,1
25.63961220031826,-61.538461538461455,1
26.037022757697468,-50.000000000000604,0
25.60473829445279,-68.18181818181765,1
